rank,team,record,points_for,points_against,streak,waiver,moves,year,league_id
1,Voldemort,12-1-0,1381.38,1018.10,W-6,11,50,2019,322794
2,Patty Primetimes,10-3-0,1473.08,1208.42,L-1,9,19,2019,322794
3,ThreatLevelMidnight,7-6-0,1275.96,1276.72,W-1,10,60,2019,322794
4,Post Mahomes,8-5-0,1322.84,1289.78,L-1,12,43,2019,322794
5,Pop Lockett Drop it,10-3-0,1361.30,1164.14,W-1,8,25,2019,322794
6,Big Sack Jack,7-6-0,1303.94,1300.72,W-2,4,11,2019,322794
7,Ginger FC,4-9-0,1181.24,1254.02,L-2,5,20,2019,322794
8,Malle ❤️ 🐸,4-9-0,1130.30,1329.96,W-1,3,9,2019,322794
9,The Big Gronkowski,6-7-0,1161.42,1268.02,L-1,6,12,2019,322794
10,Joe Mantegna,4-9-0,1203.44,1362.56,L-3,1,8,2019,322794
11,Uncle Rico,2-11-0,1167.28,1317.34,L-1,7,18,2019,322794
12,malle_dips_pouches,4-9-0,1144.70,1317.10,W-1,2,8,2019,322794
