year,week,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,loser,margin,is_playoffs
2022,1,Joe Mantegna,8-6-0 | 10th,118.46,115.68,Post Mahomes,7-7-0 | 9th,96.58,121.87,Joe Mantegna,Post Mahomes,21.88,False
2022,1,Pop Lockett Drop it,4-10-0 | 12th,100.0,114.13,Big Sack Jack,10-4-0 | 4th,105.02,116.61,Big Sack Jack,Pop Lockett Drop it,5.02,False
2022,1,The Big Gronkowski,9-5-0 | 2nd,99.18,115.3,Voldemort,10-4-0 | 3rd,156.38,120.51,Voldemort,The Big Gronkowski,57.2,False
2022,1,ThreatLevelMidnight,8-6-0 | 6th,66.36,113.4,Ginger FC,8-6-0 | 5th,126.72,120.43,Ginger FC,ThreatLevelMidnight,60.36,False
2022,1,Uncle Rico,5-9-0 | 7th,138.4,122.18,Malle ❤️ 🐸,4-10-0 | 8th,104.82,111.41,Uncle Rico,Malle ❤️ 🐸,33.58,False
2022,1,malle_dips_pouches,8-6-0 | 1st,106.32,124.32,Patty Primetimes,3-11-0 | 11th,104.7,118.12,malle_dips_pouches,Patty Primetimes,1.62,False
2022,2,Joe Mantegna,8-6-0 | 10th,121.86,121.37,Pop Lockett Drop it,4-10-0 | 12th,76.66,105.76,Joe Mantegna,Pop Lockett Drop it,45.2,False
2022,2,Malle ❤️ 🐸,4-10-0 | 8th,124.82,111.69,Voldemort,10-4-0 | 3rd,122.68,127.8,Malle ❤️ 🐸,Voldemort,2.14,False
2022,2,Post Mahomes,7-7-0 | 9th,80.3,115.31,Ginger FC,8-6-0 | 5th,88.18,115.33,Ginger FC,Post Mahomes,7.88,False
2022,2,The Big Gronkowski,9-5-0 | 2nd,109.84,118.91,Big Sack Jack,10-4-0 | 4th,145.66,115.74,Big Sack Jack,The Big Gronkowski,35.82,False
2022,2,ThreatLevelMidnight,8-6-0 | 6th,102.38,105.34,Patty Primetimes,3-11-0 | 11th,91.88,110.56,ThreatLevelMidnight,Patty Primetimes,10.5,False
2022,2,Uncle Rico,5-9-0 | 7th,95.5,125.14,malle_dips_pouches,8-6-0 | 1st,168.52,120.96,malle_dips_pouches,Uncle Rico,73.02,False
2022,3,Malle ❤️ 🐸,4-10-0 | 8th,132.7,109.46,Big Sack Jack,10-4-0 | 4th,85.5,115.93,Malle ❤️ 🐸,Big Sack Jack,47.2,False
2022,3,Pop Lockett Drop it,4-10-0 | 12th,89.18,83.2,Ginger FC,8-6-0 | 5th,79.36,119.0,Pop Lockett Drop it,Ginger FC,9.82,False
2022,3,The Big Gronkowski,9-5-0 | 2nd,95.3,122.48,Joe Mantegna,8-6-0 | 10th,104.58,114.6,Joe Mantegna,The Big Gronkowski,9.28,False
2022,3,ThreatLevelMidnight,8-6-0 | 6th,61.54,101.75,Post Mahomes,7-7-0 | 9th,82.24,109.65,Post Mahomes,ThreatLevelMidnight,20.7,False
2022,3,Uncle Rico,5-9-0 | 7th,114.08,122.7,Patty Primetimes,3-11-0 | 11th,89.66,107.11,Uncle Rico,Patty Primetimes,24.42,False
2022,3,Voldemort,10-4-0 | 3rd,82.0,133.61,malle_dips_pouches,8-6-0 | 1st,157.92,121.98,malle_dips_pouches,Voldemort,75.92,False
2022,4,Big Sack Jack,10-4-0 | 4th,120.68,109.57,malle_dips_pouches,8-6-0 | 1st,102.36,121.83,Big Sack Jack,malle_dips_pouches,18.32,False
2022,4,Malle ❤️ 🐸,4-10-0 | 8th,114.66,112.13,Joe Mantegna,8-6-0 | 10th,118.9,111.46,Joe Mantegna,Malle ❤️ 🐸,4.24,False
2022,4,Pop Lockett Drop it,4-10-0 | 12th,98.62,102.84,Post Mahomes,7-7-0 | 9th,105.2,111.92,Post Mahomes,Pop Lockett Drop it,6.58,False
2022,4,The Big Gronkowski,9-5-0 | 2nd,130.82,116.88,Ginger FC,8-6-0 | 5th,113.98,99.7,The Big Gronkowski,Ginger FC,16.84,False
2022,4,Uncle Rico,5-9-0 | 7th,115.86,123.03,ThreatLevelMidnight,8-6-0 | 6th,164.68,110.0,ThreatLevelMidnight,Uncle Rico,48.82,False
2022,4,Voldemort,10-4-0 | 3rd,130.82,121.07,Patty Primetimes,3-11-0 | 11th,107.04,108.17,Voldemort,Patty Primetimes,23.78,False
2022,5,Big Sack Jack,10-4-0 | 4th,101.58,110.01,Patty Primetimes,3-11-0 | 11th,107.38,102.71,Patty Primetimes,Big Sack Jack,5.8,False
2022,5,Joe Mantegna,8-6-0 | 10th,111.52,114.83,malle_dips_pouches,8-6-0 | 1st,122.06,125.27,malle_dips_pouches,Joe Mantegna,10.54,False
2022,5,Malle ❤️ 🐸,4-10-0 | 8th,76.16,114.86,Ginger FC,8-6-0 | 5th,182.3,119.68,Ginger FC,Malle ❤️ 🐸,106.14,False
2022,5,The Big Gronkowski,9-5-0 | 2nd,119.14,120.35,Post Mahomes,7-7-0 | 9th,80.84,108.98,The Big Gronkowski,Post Mahomes,38.3,False
2022,5,ThreatLevelMidnight,8-6-0 | 6th,75.16,109.03,Pop Lockett Drop it,4-10-0 | 12th,109.16,106.32,Pop Lockett Drop it,ThreatLevelMidnight,34.0,False
2022,5,Uncle Rico,5-9-0 | 7th,106.48,113.96,Voldemort,10-4-0 | 3rd,155.78,126.06,Voldemort,Uncle Rico,49.3,False
2022,6,Ginger FC,8-6-0 | 5th,111.08,129.39,malle_dips_pouches,8-6-0 | 1st,106.7,106.54,Ginger FC,malle_dips_pouches,4.38,False
2022,6,Joe Mantegna,8-6-0 | 10th,69.22,109.74,Patty Primetimes,3-11-0 | 11th,67.14,91.46,Joe Mantegna,Patty Primetimes,2.08,False
2022,6,Malle ❤️ 🐸,4-10-0 | 8th,75.0,106.8,Post Mahomes,7-7-0 | 9th,95.36,102.56,Post Mahomes,Malle ❤️ 🐸,20.36,False
2022,6,The Big Gronkowski,9-5-0 | 2nd,102.3,116.83,Pop Lockett Drop it,4-10-0 | 12th,87.74,106.52,The Big Gronkowski,Pop Lockett Drop it,14.56,False
2022,6,Uncle Rico,5-9-0 | 7th,107.82,110.78,Big Sack Jack,10-4-0 | 4th,115.0,100.49,Big Sack Jack,Uncle Rico,7.18,False
2022,6,Voldemort,10-4-0 | 3rd,122.86,122.19,ThreatLevelMidnight,8-6-0 | 6th,118.78,101.18,Voldemort,ThreatLevelMidnight,4.08,False
2022,7,Ginger FC,8-6-0 | 5th,109.46,120.52,Patty Primetimes,3-11-0 | 11th,102.76,99.79,Ginger FC,Patty Primetimes,6.7,False
2022,7,Malle ❤️ 🐸,4-10-0 | 8th,80.5,102.37,Pop Lockett Drop it,4-10-0 | 12th,81.52,99.42,Pop Lockett Drop it,Malle ❤️ 🐸,1.02,False
