year,week,team_1,team_2,team_1_score,team_2_score,team_1_projected,team_2_projected,winner,loser,margin,is_tied,is_playoffs,status
2026,1,The Big Gronkowski,ThreatLevelMidnight,84.52,92.46,103.07,112.57,ThreatLevelMidnight,The Big Gronkowski,7.939999999999998,False,False,postevent
2026,1,Malle ❤️ 🐸,Ginger FC 🏆🏆,120.52,164.54,108.97,109.68,Ginger FC 🏆🏆,Malle ❤️ 🐸,44.019999999999996,False,False,postevent
2026,1,Voldemort,Pop Lockett Drop it,98.6,169.76,108.42,115.26,Pop Lockett Drop it,Voldemort,71.16,False,False,postevent
2026,1,Joe Mantegna,malle_dips_pouches,111.76,149.44,109.7,114.19,malle_dips_pouches,Joe Mantegna,37.67999999999999,False,False,postevent
2026,1,Post Mahomes,Buttermilk Puuump,98.36,71.4,93.99,109.32,Post Mahomes,Buttermilk Puuump,26.959999999999994,False,False,postevent
2026,1,Uncle Rico,Patty Primetimes,107.46,149.86,106.62,107.96,Patty Primetimes,Uncle Rico,42.40000000000002,False,False,postevent
2026,2,The Big Gronkowski,Joe Mantegna,96.42,107.32,107.65,107.24,Joe Mantegna,The Big Gronkowski,10.899999999999991,False,False,postevent
2026,2,Malle ❤️ 🐸,Uncle Rico,138.16,80.2,91.16,96.4,Malle ❤️ 🐸,Uncle Rico,57.959999999999994,False,False,postevent
2026,2,Voldemort,ThreatLevelMidnight,131.98,132.88,109.31,108.76,ThreatLevelMidnight,Voldemort,0.9000000000000057,False,False,postevent
2026,2,Pop Lockett Drop it,Buttermilk Puuump,113.88,97.86,117.37,112.37,Pop Lockett Drop it,Buttermilk Puuump,16.019999999999996,False,False,postevent
2026,2,Post Mahomes,Patty Primetimes,99.78,113.82,101.11,119.31,Patty Primetimes,Post Mahomes,14.039999999999992,False,False,postevent
2026,2,Ginger FC 🏆🏆,malle_dips_pouches,103.82,124.58,113.47,114.08,malle_dips_pouches,Ginger FC 🏆🏆,20.760000000000005,False,False,postevent
