rank,team,record,points_for,points_against,streak,waiver,moves
,The Big Gronkowski,0-0-0,0.00,0.00,-,6,-
,Malle ❤️ 🐸,0-0-0,0.00,0.00,-,9,-
,Voldemort,0-0-0,0.00,0.00,-,4,-
,Joe Mantegna,0-0-0,0.00,0.00,-,10,-
,ThreatLevelMidnight,0-0-0,0.00,0.00,-,7,1
,Pop Lockett Drop it,0-0-0,0.00,0.00,-,5,-
,Post Mahomes,0-0-0,0.00,0.00,-,3,-
,Ginger FC 🏆🏆,0-0-0,0.00,0.00,-,1,-
,malle_dips_pouches,0-0-0,0.00,0.00,-,12,1
,Uncle Rico,0-0-0,0.00,0.00,-,2,-
,Patty Primetimes,0-0-0,0.00,0.00,-,11,-
,Buttermilk Puuump,0-0-0,0.00,0.00,-,8,-
