rank,team,record,points_for,points_against,streak,waiver,moves,year,league_id
1.0,Pop Lockett Drop it,8-5-0,1480.2,1358.9,W-1,11,20,2018,941496
2.0,Voldemort,7-6-0,1326.32,1290.02,W-2,12,60,2018,941496
3.0,Big Sack Jack,8-5-0,1382.44,1392.16,W-1,1,9,2018,941496
4.0,malle_dips_pouches,11-2-0,1360.18,1158.34,W-4,9,17,2018,941496
5.0,The Big Gronkowski,7-6-0,1262.4,1301.6,L-1,6,19,2018,941496
6.0,PickUpYourBratsMalle,7-6-0,1353.82,1336.14,L-1,10,47,2018,941496
7.0,Post Mahomes,6-7-0,1445.26,1344.48,L-2,7,23,2018,941496
8.0,Uncle Rico,6-7-0,1258.28,1269.34,W-3,2,5,2018,941496
9.0,Joe Mantegna,4-9-0,1362.98,1331.04,L-2,3,4,2018,941496
10.0,Dillon Panthers,6-7-0,1325.56,1357.88,L-3,5,7,2018,941496
11.0,Ginger FC,4-9-0,1185.84,1446.08,W-2,8,23,2018,941496
12.0,Malle ❤️ 🐸,4-9-0,1207.54,1364.84,L-3,4,7,2018,941496
1.0,Voldemort,12-1-0,1381.38,1018.1,W-6,11,50,2019,322794
2.0,Patty Primetimes,10-3-0,1473.08,1208.42,L-1,9,19,2019,322794
3.0,ThreatLevelMidnight,7-6-0,1275.96,1276.72,W-1,10,60,2019,322794
4.0,Post Mahomes,8-5-0,1322.84,1289.78,L-1,12,43,2019,322794
5.0,Pop Lockett Drop it,10-3-0,1361.3,1164.14,W-1,8,25,2019,322794
6.0,Big Sack Jack,7-6-0,1303.94,1300.72,W-2,4,11,2019,322794
7.0,Ginger FC,4-9-0,1181.24,1254.02,L-2,5,20,2019,322794
8.0,Malle ❤️ 🐸,4-9-0,1130.3,1329.96,W-1,3,9,2019,322794
9.0,The Big Gronkowski,6-7-0,1161.42,1268.02,L-1,6,12,2019,322794
10.0,Joe Mantegna,4-9-0,1203.44,1362.56,L-3,1,8,2019,322794
11.0,Uncle Rico,2-11-0,1167.28,1317.34,L-1,7,18,2019,322794
12.0,malle_dips_pouches,4-9-0,1144.7,1317.1,W-1,2,8,2019,322794
1.0,Malle ❤️ 🐸,8-5-0,1613.8,1498.24,W-1,3,7,2020,510142
2.0,Uncle Rico,8-5-0,1397.84,1289.48,W-1,12,28,2020,510142
3.0,Pop Lockett Drop it,10-3-0,1524.84,1454.32,W-2,10,25,2020,510142
4.0,Voldemort,9-4-0,1559.46,1341.8,L-1,8,39,2020,510142
5.0,The Big Gronkowski,8-5-0,1456.5,1424.62,W-3,7,8,2020,510142
6.0,Joe Mantegna,7-6-0,1388.14,1429.74,L-1,9,14,2020,510142
7.0,Patty Primetimes,3-10-0,1264.36,1487.94,L-6,1,8,2020,510142
8.0,Post Mahomes,6-7-0,1437.74,1303.58,W-4,6,29,2020,510142
9.0,ThreatLevelMidnight,3-10-0,1444.0,1681.46,L-5,11,63,2020,510142
10.0,Big Sack Jack,6-7-0,1370.7,1360.7,L-1,5,11,2020,510142
11.0,malle_dips_pouches,5-8-0,1400.02,1525.52,W-1,2,19,2020,510142
12.0,Ginger FC,5-8-0,1457.8,1517.8,L-2,4,21,2020,510142
1.0,Voldemort,9-5-0,1683.0,1484.4,L-2,9,36,2021,410355
2.0,ThreatLevelMidnight,11-3-0,1618.28,1468.22,W-4,12,37,2021,410355
3.0,Post Mahomes,8-6-0,1592.92,1606.62,W-3,10,42,2021,410355
4.0,Malle ❤️ 🐸,11-3-0,1586.24,1371.46,W-2,6,12,2021,410355
5.0,The Big Gronkowski,7-7-0,1696.54,1635.06,L-1,1,4,2021,410355
6.0,Joe Mantegna,9-5-0,1573.76,1410.58,W-7,7,19,2021,410355
7.0,Uncle Rico,4-10-0,1505.98,1600.5,L-7,4,36,2021,410355
8.0,Patty Primetimes,6-8-0,1462.18,1615.56,W-1,5,17,2021,410355
9.0,Pop Lockett Drop it,7-7-0,1443.06,1407.38,W-1,11,28,2021,410355
10.0,Big Sack Jack,3-11-0,1405.86,1671.22,L-1,2,15,2021,410355
11.0,Ginger FC,5-9-0,1625.4,1695.5,L-7,8,21,2021,410355
12.0,malle_dips_pouches,4-10-0,1374.7,1601.42,L-6,3,15,2021,410355
1.0,malle_dips_pouches,8-6-0,1657.12,1441.28,L-2,2,12,2022,854563
2.0,The Big Gronkowski,9-5-0,1585.04,1542.28,W-1,9,8,2022,854563
3.0,Voldemort,10-4-0,1744.96,1569.98,W-4,11,51,2022,854563
4.0,Big Sack Jack,10-4-0,1581.92,1469.26,W-5,1,2,2022,854563
5.0,Ginger FC,8-6-0,1547.14,1477.58,W-1,12,17,2022,854563
6.0,ThreatLevelMidnight,8-6-0,1495.22,1496.62,W-3,10,55,2022,854563
7.0,Uncle Rico,5-9-0,1614.04,1769.76,W-2,4,27,2022,854563
8.0,Malle ❤️ 🐸,4-10-0,1444.38,1594.34,L-2,5,11,2022,854563
9.0,Post Mahomes,7-7-0,1380.72,1418.88,L-1,3,34,2022,854563
