canonical_team,team_weeks,actual_wins,expected_wins,bad_beats,severe_bad_beats,brutal_bad_beats,lucky_wins,severe_lucky_wins,avg_score,avg_expected_win_rate,total_bad_beat_value,actual_win_rate,expected_win_rate,wins_below_expected,bad_beat_rate,lucky_win_rate
Uncle Rico,109,42,50.18181818181818,12,3,3,11,4,104.742752293578,0.4603836530442035,8.181818181818182,0.3853211009174312,0.4603836530442035,8.18181818181818,0.11009174311926606,0.10091743119266056
Buttermilk Puuump,42,15,18.272727272727273,4,1,1,3,1,103.52142857142856,0.4350649350649351,3.2727272727272725,0.35714285714285715,0.4350649350649351,3.2727272727272734,0.09523809523809523,0.07142857142857142
Dillon Panthers,26,10,12.181818181818182,4,1,1,1,1,93.22384615384615,0.46853146853146854,2.1818181818181817,0.38461538461538464,0.46853146853146854,2.1818181818181817,0.15384615384615385,0.038461538461538464
Malle ❤️ 🐸,122,54,56.04545454545455,14,2,2,12,3,101.87918032786885,0.4593889716840537,2.0454545454545454,0.4426229508196721,0.4593889716840537,2.0454545454545467,0.11475409836065574,0.09836065573770492
Big Sack Jack,80,41,41.81818181818182,12,5,5,9,0,103.05250000000001,0.5227272727272727,0.8181818181818189,0.5125,0.5227272727272727,0.8181818181818201,0.15,0.1125
Post Mahomes,122,70,70.68181818181819,16,1,1,11,2,110.73606557377049,0.5793591654247392,0.6818181818181817,0.5737704918032787,0.5793591654247392,0.681818181818187,0.13114754098360656,0.09016393442622951
Patty Primetimes,96,47,47.45454545454545,9,0,0,12,2,106.46645833333334,0.4943181818181818,0.454545454545455,0.4895833333333333,0.4943181818181818,0.45454545454545325,0.09375,0.125
Ginger FC,122,54,54.27272727272727,12,1,1,16,3,102.13393442622952,0.44485842026825634,0.27272727272727315,0.4426229508196721,0.44485842026825634,0.2727272727272734,0.09836065573770492,0.13114754098360656
ThreatLevelMidnight,122,70,70.0909090909091,16,7,7,8,1,108.86540983606557,0.5745156482861401,0.09090909090909105,0.5737704918032787,0.5745156482861401,0.09090909090909349,0.13114754098360656,0.06557377049180328
Hello Harvard,13,5,4.909090909090909,0,0,0,1,0,83.92153846153846,0.3776223776223776,-0.09090909090909097,0.38461538461538464,0.3776223776223776,-0.09090909090909083,0.0,0.07692307692307693
Voldemort,122,73,72.4090909090909,17,2,2,13,2,110.6116393442623,0.5935171385991058,-0.5909090909090907,0.5983606557377049,0.5935171385991058,-0.5909090909090935,0.13934426229508196,0.10655737704918032
The Big Gronkowski,122,62,60.68181818181818,13,2,2,14,5,105.18688524590164,0.49739195230998506,-1.3181818181818188,0.5081967213114754,0.49739195230998506,-1.3181818181818201,0.10655737704918032,0.11475409836065574
Joe Mantegna,122,61,56.63636363636363,14,2,2,17,4,102.17524590163934,0.4642324888226527,-4.363636363636363,0.5,0.4642324888226527,-4.363636363636367,0.11475409836065574,0.13934426229508196
Pop Lockett Drop it,122,67,61.81818181818182,9,2,2,14,4,105.40983606557377,0.5067064083457526,-5.181818181818182,0.5491803278688525,0.5067064083457526,-5.18181818181818,0.07377049180327869,0.11475409836065574
malle_dips_pouches,122,61,54.54545454545455,14,0,0,24,8,101.4988524590164,0.44709388971684055,-6.454545454545454,0.5,0.44709388971684055,-6.454545454545453,0.11475409836065574,0.19672131147540983
