year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2020,12,Uncle Rico,Voldemort,171.52,176.74,Uncle Rico,Voldemort,-5.219999999999999,0,1,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,0.9090909090909091,1,1,1,0,0
2024,14,ThreatLevelMidnight,Voldemort,148.6,176.08,ThreatLevelMidnight,Voldemort,-27.480000000000018,0,1,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,0.9090909090909091,1,1,1,0,0
2021,14,The Big Gronkowski,Joe Mantegna,148.08,153.3,The Big Gronkowski,Joe Mantegna,-5.219999999999999,0,1,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,0.9090909090909091,1,1,1,0,0
2024,13,Buttermilk Puuump,Pop Lockett Drop it,139.74,158.18,Buttermilk Puuump,Pop Lockett Drop it,-18.439999999999998,0,1,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,0.9090909090909091,1,1,1,0,0
2021,1,The Big Gronkowski,Malle ❤️ 🐸,139.34,140.56,The Big Gronkowski,Malle ❤️ 🐸,-1.2199999999999989,0,1,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,0.9090909090909091,1,1,1,0,0
2024,6,Pop Lockett Drop it,malle_dips_pouches,134.58,160.44,Pop Lockett Drop it,malle_dips_pouches,-25.859999999999985,0,1,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,0.9090909090909091,1,1,1,0,0
2019,5,Big Sack Jack,Post Mahomes,134.12,153.04,Big Sack Jack,Post Mahomes,-18.919999999999987,0,1,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,0.9090909090909091,1,1,1,0,0
2018,9,Joe Mantegna,Pop Lockett Drop it,134.1,138.2,Joe Mantegna,Pop Lockett Drop it,-4.099999999999994,0,1,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,0.9090909090909091,1,1,1,0,0
2022,6,ThreatLevelMidnight,Voldemort,118.78,122.86,ThreatLevelMidnight,Voldemort,-4.079999999999998,0,1,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,0.9090909090909091,1,1,1,0,0
2020,1,Ginger FC,Pop Lockett Drop it,137.88,149.56,Ginger FC,Pop Lockett Drop it,-11.680000000000007,0,1,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,0.8181818181818182,1,1,1,0,0
