year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2017,1,Dillon Panthers,Ginger FC,65.24,71.94,Dillon Panthers,Ginger FC,-6.700000000000003,0,1,0,3.0,8.0,0.0,0.2727272727272727,9.0,12.0,0.2727272727272727,0,0,0,0,0
2017,1,Ginger FC,Dillon Panthers,71.94,65.24,Ginger FC,Dillon Panthers,6.700000000000003,1,0,0,5.0,6.0,0.0,0.45454545454545453,7.0,12.0,-0.5454545454545454,0,0,0,1,0
2017,1,Little Red Fournette,Pop Lockett Drop it,103.54,58.74,Post Mahomes,Pop Lockett Drop it,44.800000000000004,1,0,0,9.0,2.0,0.0,0.8181818181818182,3.0,12.0,-0.18181818181818177,0,0,0,0,0
2017,1,Pop Lockett Drop it,Little Red Fournette,58.74,103.54,Pop Lockett Drop it,Post Mahomes,-44.800000000000004,0,1,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,0.09090909090909091,0,0,0,0,0
2017,1,PickUpYourBratsMalle,malle_dips_pouches,82.12,68.68,ThreatLevelMidnight,malle_dips_pouches,13.439999999999998,1,0,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,-0.36363636363636365,0,0,0,0,0
2017,1,malle_dips_pouches,PickUpYourBratsMalle,68.68,82.12,malle_dips_pouches,ThreatLevelMidnight,-13.439999999999998,0,1,0,4.0,7.0,0.0,0.36363636363636365,8.0,12.0,0.36363636363636365,0,0,0,0,0
2017,1,The Big Gronkowski,Malle ❤️ 🐸,108.02,78.62,The Big Gronkowski,Malle ❤️ 🐸,29.39999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,1,Malle ❤️ 🐸,The Big Gronkowski,78.62,108.02,Malle ❤️ 🐸,The Big Gronkowski,-29.39999999999999,0,1,0,6.0,5.0,0.0,0.5454545454545454,6.0,12.0,0.5454545454545454,1,0,0,0,0
2017,1,Ur The Best Bellows,Hello Harvard,48.22,132.38,Joe Mantegna,Hello Harvard,-84.16,0,1,0,0.0,11.0,0.0,0.0,12.0,12.0,0.0,0,0,0,0,0
2017,1,Hello Harvard,Ur The Best Bellows,132.38,48.22,Hello Harvard,Joe Mantegna,84.16,1,0,0,11.0,0.0,0.0,1.0,1.0,12.0,0.0,0,0,0,0,0
2017,1,Voldemort,Big Sack Jack,98.88,61.7,Voldemort,Big Sack Jack,37.17999999999999,1,0,0,8.0,3.0,0.0,0.7272727272727273,4.0,12.0,-0.2727272727272727,0,0,0,0,0
2017,1,Big Sack Jack,Voldemort,61.7,98.88,Big Sack Jack,Voldemort,-37.17999999999999,0,1,0,2.0,9.0,0.0,0.18181818181818182,10.0,12.0,0.18181818181818182,0,0,0,0,0
2017,2,Dillon Panthers,Hello Harvard,131.92,61.28,Dillon Panthers,Hello Harvard,70.63999999999999,1,0,0,11.0,0.0,0.0,1.0,1.0,12.0,0.0,0,0,0,0,0
2017,2,Hello Harvard,Dillon Panthers,61.28,131.92,Hello Harvard,Dillon Panthers,-70.63999999999999,0,1,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,0.09090909090909091,0,0,0,0,0
