year,week,fantasy_team,opponent,actual_score,yahoo_team_score,optimal_score,points_left_on_bench,lineup_efficiency_pct,avoidable_start_count,missed_start_count,should_have_benched,should_have_started,opponent_score,canonical_team,canonical_opponent,actual_win,actual_loss,actual_tie,optimal_win,optimal_loss,optimal_tie,manager_caused_loss,manager_caused_nonwin,actual_margin,optimal_margin,loss_margin,optimization_gain,would_have_won_by,bench_points_exceeded_loss_margin
2024,5,Ginger FC,Joe Mantegna,76.86,76.86,128.16,51.3,59.97,3,3,Jordan Love (QB) | Amari Cooper (WR) | Deebo Samuel Sr. (WR),Brandon Aiyuk (WR) | Brian Thomas Jr. (WR) | Kirk Cousins (QB),102.18,Ginger FC,Joe Mantegna,0,1,0,1,0,0,1,1,-25.320000000000007,25.97999999999999,25.320000000000007,51.3,25.97999999999999,1
2024,9,Pop Lockett Drop it,Voldemort,102.5,102.5,153.6,51.1,66.73,3,3,Kenneth Walker III (RB) | Jonathan Taylor (RB) | Puka Nacua (WR),Chase Brown (RB) | DeAndre Hopkins (WR) | J.K. Dobbins (RB),119.54,Pop Lockett Drop it,Voldemort,0,1,0,1,0,0,1,1,-17.040000000000006,34.05999999999999,17.040000000000006,51.099999999999994,34.05999999999999,1
2020,2,The Big Gronkowski,Voldemort,96.88,96.88,146.98,50.1,65.91,4,4,Drew Brees (QB) | Ronald Jones (RB) | Darius Slayton (WR) | Allen Robinson (WR),James Conner (RB) | Jared Goff (QB) | Jonnu Smith (TE) | Odell Beckham Jr. (WR),144.0,The Big Gronkowski,Voldemort,0,1,0,1,0,0,1,1,-47.120000000000005,2.9799999999999898,47.120000000000005,50.099999999999994,2.9799999999999898,1
2018,12,Joe Mantegna,Uncle Rico,67.8,67.8,117.4,49.6,57.75,3,3,Patrick Mahomes (QB) | Ito Smith (RB) | (Empty) (FLEX),Deshaun Watson (QB) | Frank Gore (RB) | Jared Cook (TE),83.2,Joe Mantegna,Uncle Rico,0,1,0,1,0,0,1,1,-15.400000000000006,34.2,15.400000000000006,49.60000000000001,34.2,1
2024,12,Voldemort,malle_dips_pouches,88.8,88.8,138.0,49.2,64.35,4,4,Brian Robinson (RB) | Sam LaPorta (TE) | Rhamondre Stevenson (RB) | Josh Downs (WR),Antonio Gibson (RB) | Courtland Sutton (WR) | Jaylen Waddle (WR) | Pat Freiermuth (TE),99.32,Voldemort,malle_dips_pouches,0,1,0,1,0,0,1,1,-10.519999999999996,38.68000000000001,10.519999999999996,49.2,38.68000000000001,1
2024,6,ThreatLevelMidnight,Ginger FC,77.46,77.46,125.8,48.34,61.57,2,2,Kyler Murray (QB) | James Conner (RB),Baker Mayfield (QB) | Chris Godwin Jr. (WR),103.52,ThreatLevelMidnight,Ginger FC,0,1,0,1,0,0,1,1,-26.060000000000002,22.28,26.060000000000002,48.34,22.28,1
2019,7,Joe Mantegna,Patty Primetimes,78.94,78.94,127.06,48.12,62.13,4,4,Carson Wentz (QB) | David Montgomery (RB) | Austin Hooper (TE) | Auden Tate (FLEX),Duke Johnson (RB) | Jimmy Graham (TE) | M. Valdes-Scantling (WR) | Matthew Stafford (QB),118.52,Joe Mantegna,Patty Primetimes,0,1,0,1,0,0,1,1,-39.58,8.540000000000006,39.58,48.120000000000005,8.540000000000006,1
2021,14,malle_dips_pouches,Pop Lockett Drop it,47.68,47.68,95.34,47.66,50.01,3,3,Taylor Heinicke (QB) | D'Andre Swift (RB) | Jerry Jeudy (WR),Aaron Jones Sr. (RB) | Ryan Tannehill (QB) | James Conner (RB),88.76,malle_dips_pouches,Pop Lockett Drop it,0,1,0,1,0,0,1,1,-41.080000000000005,6.579999999999998,41.080000000000005,47.660000000000004,6.579999999999998,1
2018,2,Joe Mantegna,Big Sack Jack,97.6,97.6,144.64,47.04,67.48,3,3,Deshaun Watson (QB) | Jamison Crowder (WR) | Corey Davis (WR),Keelan Cole Sr. (WR) | O.J. Howard (TE) | Patrick Mahomes (QB),107.4,Joe Mantegna,Big Sack Jack,0,1,0,1,0,0,1,1,-9.800000000000011,37.23999999999998,9.800000000000011,47.03999999999999,37.23999999999998,1
2017,3,Hello Harvard,Pop Lockett Drop it,69.86,69.86,116.56,46.7,59.93,3,3,Buccaneers - DEF (DEF) | Ty Montgomery II (RB) | Chris Johnson (FLEX),Jaguars - DEF (DEF) | Jordan Howard (RB) | Pierre Garcon (WR),71.26,Hello Harvard,Pop Lockett Drop it,0,1,0,1,0,0,1,1,-1.4000000000000057,45.3,1.4000000000000057,46.7,45.3,1
