canonical_team,team_weeks,actual_wins,actual_losses,manager_caused_losses,total_points_left,avg_points_left_per_week,avg_lineup_efficiency_pct,avoidable_starts,missed_starts,worst_week_points_left,avg_optimization_gain,manager_caused_loss_rate,manager_caused_loss_week_rate,wins_with_optimal_lineup
The Big Gronkowski,124,66,58,24,1774.94,14.314032258064517,88.18629032258065,223,223,50.1,14.314032258064517,0.41379310344827586,0.1935483870967742,90
Voldemort,124,75,49,22,1704.28,13.744193548387097,88.94645161290323,218,218,52.8,13.744193548387097,0.4489795918367347,0.1774193548387097,97
Patty Primetimes,98,36,62,22,1335.5,13.627551020408163,88.41836734693878,185,185,43.84,13.627551020408163,0.3548387096774194,0.22448979591836735,58
Post Mahomes,124,70,54,22,1387.68,11.190967741935484,90.77927419354837,191,191,38.64,11.190967741935484,0.4074074074074074,0.1774193548387097,92
Ginger FC 🏆🏆,124,51,73,22,1362.12,10.984838709677419,90.28314516129032,184,184,63.7,10.98483870967742,0.3013698630136986,0.1774193548387097,73
Uncle Rico,111,46,65,21,1560.3,14.056756756756757,88.17918918918919,190,190,40.5,14.056756756756755,0.3230769230769231,0.1891891891891892,67
Malle ❤️ 🐸,124,54,70,21,1644.5,13.262096774193548,88.56008064516129,222,222,41.02,13.262096774193548,0.3,0.1693548387096774,75
malle_dips_pouches,124,65,59,20,1725.86,13.918225806451613,88.00903225806452,240,240,48.5,13.918225806451614,0.3389830508474576,0.16129032258064516,85
Joe Mantegna,124,65,59,19,1758.14,14.178548387096775,88.00370967741935,233,233,49.6,14.178548387096773,0.3220338983050847,0.1532258064516129,84
Big Sack Jack,80,41,39,15,975.46,12.19325,89.758875,141,141,41.32,12.19325,0.38461538461538464,0.1875,56
ThreatLevelMidnight,124,70,54,14,1614.68,13.021612903225806,89.55040322580645,186,186,50.6,13.021612903225806,0.25925925925925924,0.11290322580645161,84
Pop Lockett Drop it,124,67,57,13,1456.32,11.744516129032258,90.12975806451612,184,184,51.1,11.74451612903226,0.22807017543859648,0.10483870967741936,80
Buttermilk Puuump,44,23,21,11,620.42,14.100454545454545,88.1525,76,76,34.72,14.100454545454545,0.5238095238095238,0.25,34
Dillon Panthers,26,10,16,5,373.04,14.34769230769231,86.855,56,56,44.6,14.34769230769231,0.3125,0.19230769230769232,15
Hello Harvard,13,5,8,2,190.10000000000002,14.623076923076924,85.38692307692307,24,24,46.7,14.623076923076923,0.25,0.15384615384615385,7
