player,player_position,missed_start_count,total_fantasy_points,avg_fantasy_points,max_fantasy_points
Jakobi Meyers,WR,26,327.6,12.600000000000001,24.6
Jerry Jeudy,WR,22,288.1,13.095454545454546,36.0
Tyler Boyd,WR,18,230.16,12.786666666666667,25.5
Kareem Hunt,RB,18,202.8,11.266666666666667,23.4
Jared Goff,QB,17,430.32,25.312941176470588,33.44
Jamaal Williams,RB,17,208.3,12.25294117647059,23.7
Matthew Stafford,QB,16,440.15999999999997,27.509999999999998,37.56
Hollywood Brown,WR,16,213.1,13.31875,20.3
Christian Kirk,WR,16,207.22,12.95125,20.8
Romeo Doubs,WR,16,202.6,12.6625,26.8
Tony Pollard,RB,16,182.4,11.4,21.5
Nyheim Miller-Hines,RB,16,157.1,9.81875,26.0
Pat Freiermuth,TE,16,142.2,8.8875,15.8
J.K. Dobbins,RB,15,231.4,15.426666666666668,23.5
Latavius Murray,RB,15,211.5,14.1,27.7
Courtland Sutton,WR,15,203.0,13.533333333333333,25.7
Michael Pittman Jr.,WR,15,202.1,13.473333333333333,19.7
Dalton Schultz,TE,15,179.6,11.973333333333333,22.0
Hunter Henry,TE,15,169.7,11.313333333333333,25.0
T.J. Hockenson,TE,15,102.6,6.84,19.1
Kirk Cousins,QB,14,382.54,27.324285714285715,43.36
Duke Johnson,RB,14,133.6,9.542857142857143,20.6
Derek Carr,QB,13,296.48,22.806153846153848,41.58
Mike Williams,WR,13,214.1,16.46923076923077,32.5
DeVonta Smith,WR,13,182.6,14.046153846153846,26.9
Kenyan Drake,RB,13,162.8,12.523076923076925,23.9
Sterling Shepard,WR,13,156.0,12.0,20.8
Jonnu Smith,TE,13,149.0,11.461538461538462,22.4
Emmanuel Sanders,WR,13,142.1,10.930769230769231,18.9
Eric Ebron,TE,13,122.0,9.384615384615385,25.1
Nico Collins,WR,12,178.6,14.883333333333333,32.3
Curtis Samuel,WR,12,162.7,13.558333333333332,19.8
Jamison Crowder,WR,12,155.8,12.983333333333334,21.6
Devin Singletary,RB,12,153.5,12.791666666666666,20.0
Tyler Allgeier,RB,12,128.0,10.666666666666666,22.9
Tyjae Spears,RB,12,94.9,7.908333333333334,14.9
Dak Prescott,QB,11,334.34000000000003,30.394545454545458,41.4
Adam Thielen,WR,11,185.7,16.88181818181818,26.0
Calvin Ridley,WR,11,185.0,16.818181818181817,33.5
Rhamondre Stevenson,RB,11,182.1,16.554545454545455,25.4
Deebo Samuel Sr.,WR,11,179.9,16.354545454545455,27.4
Brandon Aiyuk,WR,11,168.9,15.354545454545455,24.3
George Pickens,WR,11,168.4,15.30909090909091,24.9
Brandin Cooks,WR,11,134.5,12.227272727272727,15.9
Josh Downs,WR,11,128.6,11.69090909090909,20.2
Rachaad White,RB,11,123.9,11.263636363636364,26.1
Zach Ertz,TE,11,113.8,10.345454545454546,24.8
Mohamed Sanu,WR,11,98.3,8.936363636363636,14.1
Jordan Love,QB,10,253.7,25.369999999999997,33.76
DeAndre Hopkins,WR,10,166.3,16.630000000000003,32.8
Amari Cooper,WR,10,137.8,13.780000000000001,30.0
Alexander Mattison,RB,10,128.9,12.89,22.8
Gus Edwards,RB,10,121.9,12.190000000000001,28.4
Mecole Hardman Jr.,WR,10,112.5,11.25,19.1
Jarvis Landry,WR,10,107.8,10.78,16.9
Drake London,WR,10,106.78,10.678,20.6
Jaylen Warren,RB,10,103.0,10.3,15.4
DJ Moore,WR,10,101.6,10.16,20.9
Kyler Murray,QB,9,230.14,25.571111111111108,34.8
Aaron Rodgers,QB,9,182.2,20.244444444444444,26.34
David Montgomery,RB,9,138.92,15.435555555555554,28.9
Zack Moss,RB,9,130.0,14.444444444444445,32.5
Michael Carter,RB,9,126.5,14.055555555555555,27.7
Marvin Jones Jr.,WR,9,125.3,13.922222222222222,33.3
Cole Kmet,TE,9,122.3,13.588888888888889,24.1
Tyler Lockett,WR,9,121.6,13.511111111111111,18.1
Brian Robinson,RB,9,114.8,12.755555555555555,27.9
Michael Gallup,WR,9,111.8,12.422222222222222,17.3
Adrian Peterson,RB,9,111.7,12.411111111111111,17.7
Zach Charbonnet,RB,9,109.3,12.144444444444444,18.5
Austin Ekeler,RB,9,108.0,12.0,17.6
Dallas Goedert,TE,9,106.8,11.866666666666667,21.7
Hunter Renfrow,WR,9,106.6,11.844444444444443,22.2
Jerome Ford,RB,9,103.4,11.488888888888889,18.1
Chase Claypool,WR,9,102.53999999999999,11.393333333333333,21.5
Darnell Mooney,WR,9,100.10000000000001,11.122222222222224,16.0
Khalil Shakir,WR,9,93.1,10.344444444444443,15.4
Antonio Gibson,RB,9,91.3,10.144444444444444,18.8
Evan Engram,TE,9,67.6,7.51111111111111,13.9
Matt Ryan,QB,8,241.88,30.235,39.64
Baker Mayfield,QB,8,213.48,26.685,36.9
Chuba Hubbard,RB,8,156.6,19.575,25.4
D'Andre Swift,RB,8,141.0,17.625,26.0
James Conner,RB,8,130.2,16.275,29.0
Jordan Addison,WR,8,124.2,15.525,35.3
Vikings,DEF,8,117.0,14.625,22.0
Matt Breida,RB,8,109.7,13.7125,24.9
Terry McLaurin,WR,8,107.1,13.3875,22.0
Darius Slayton,WR,8,100.9,12.6125,25.2
Travis Etienne Jr.,RB,8,94.10000000000001,11.762500000000001,17.1
Keenan Allen,WR,8,93.10000000000001,11.637500000000001,19.1
AJ Dillon,RB,8,92.1,11.5125,25.8
Robbie Chosen,WR,8,92.1,11.5125,17.9
Odell Beckham Jr.,WR,8,91.3,11.4125,17.7
J.D. McKissic,RB,8,90.4,11.3,17.8
