year,canonical_team,weeks,actual_wins,actual_losses,manager_caused_losses,total_points_left,avg_points_left_per_week,avg_lineup_efficiency_pct,avoidable_starts,worst_week_points_left,manager_caused_loss_rate,wins_with_optimal_lineup
2018,Post Mahomes,13,6,7,7,151.76,11.673846153846153,90.28692307692307,20,23.6,1.0,13
2018,Joe Mantegna,13,4,9,6,287.1,22.084615384615386,82.77692307692307,31,49.6,0.6666666666666666,10
2018,Malle ❤️ 🐸,13,4,9,4,202.34,15.564615384615385,85.56923076923077,32,31.92,0.4444444444444444,8
2018,The Big Gronkowski,13,7,6,4,192.66,14.82,86.99846153846154,24,31.66,0.6666666666666666,11
2018,Uncle Rico,13,6,7,4,192.34,14.795384615384616,87.45153846153845,20,31.1,0.5714285714285714,10
2018,Voldemort,13,7,6,4,181.3,13.946153846153846,88.08307692307692,27,30.22,0.6666666666666666,11
2018,Big Sack Jack,13,8,5,3,198.44,15.264615384615384,87.28538461538461,25,28.9,0.6,11
2018,ThreatLevelMidnight,13,7,6,3,151.28,11.636923076923077,89.93846153846154,24,24.0,0.5,10
2018,Dillon Panthers,13,6,7,2,140.16,10.781538461538462,90.25923076923075,26,23.7,0.2857142857142857,8
2018,Ginger FC 🏆🏆,13,4,9,2,163.4,12.569230769230769,88.01307692307692,22,43.84,0.2222222222222222,6
2018,Pop Lockett Drop it,13,8,5,1,59.1,4.546153846153846,95.9346153846154,17,9.6,0.2,9
2018,malle_dips_pouches,13,11,2,1,200.9,15.453846153846154,86.9676923076923,25,26.7,0.5,12
2019,Ginger FC 🏆🏆,13,4,9,4,154.48,11.883076923076922,88.34692307692308,23,38.68,0.4444444444444444,8
2019,Uncle Rico,13,2,11,4,189.36,14.566153846153847,86.35692307692308,21,30.2,0.36363636363636365,6
2019,malle_dips_pouches,13,4,9,4,137.9,10.607692307692307,89.21307692307693,28,21.9,0.4444444444444444,8
2019,Joe Mantegna,13,4,9,3,212.32,16.33230769230769,85.44923076923077,30,48.12,0.3333333333333333,7
2019,Malle ❤️ 🐸,13,4,9,3,215.84,16.603076923076923,84.36153846153846,32,41.02,0.3333333333333333,7
2019,ThreatLevelMidnight,13,7,6,3,248.32,19.10153846153846,83.85692307692308,25,36.5,0.5,10
2019,Big Sack Jack,13,7,6,2,117.9,9.069230769230769,92.13461538461539,16,40.7,0.3333333333333333,9
2019,Patty Primetimes,13,10,3,1,124.56,9.581538461538461,92.42307692307692,20,33.2,0.3333333333333333,11
2019,Pop Lockett Drop it,13,10,3,1,230.66,17.743076923076924,85.68923076923078,24,36.1,0.3333333333333333,11
2019,Post Mahomes,13,8,5,1,158.82,12.216923076923077,89.70615384615385,22,38.64,0.2,9
2019,The Big Gronkowski,13,6,7,1,228.62,17.586153846153845,83.17692307692307,22,41.4,0.14285714285714285,7
2019,Voldemort,13,12,1,0,208.04,16.00307692307692,87.0876923076923,24,52.8,0.0,12
2020,Patty Primetimes,13,3,10,4,285.98,21.99846153846154,80.87692307692308,34,41.68,0.4,7
2020,Big Sack Jack,13,6,7,3,199.22,15.324615384615385,88.34384615384616,26,37.6,0.42857142857142855,9
2020,Ginger FC 🏆🏆,13,5,8,3,177.7,13.669230769230769,88.91307692307691,24,31.4,0.375,8
2020,Post Mahomes,13,6,7,3,121.78,9.367692307692307,91.92999999999999,17,23.58,0.42857142857142855,9
2020,Joe Mantegna,13,7,6,2,129.78,9.983076923076924,91.20153846153845,20,22.1,0.3333333333333333,9
2020,Malle ❤️ 🐸,13,8,5,2,174.34,13.410769230769231,89.78461538461539,20,39.36,0.4,10
2020,The Big Gronkowski,13,8,5,2,213.62,16.432307692307692,87.23153846153846,36,50.1,0.4,10
2020,ThreatLevelMidnight,13,3,10,2,175.6,13.507692307692308,89.31384615384614,20,36.8,0.2,5
2020,Voldemort,13,9,4,2,244.42,18.80153846153846,86.35846153846154,26,46.8,0.5,11
2020,malle_dips_pouches,13,5,8,2,178.9,13.761538461538462,88.26846153846154,26,31.9,0.25,7
2020,Pop Lockett Drop it,13,10,3,1,202.82,15.60153846153846,88.63153846153847,19,39.4,0.3333333333333333,11
2020,Uncle Rico,13,8,5,1,189.07999999999998,14.544615384615383,87.45384615384616,20,27.4,0.2,9
2021,Uncle Rico,14,4,10,5,145.18,10.370000000000001,91.33500000000001,23,27.28,0.5,9
2021,Big Sack Jack,14,3,11,4,161.1,11.507142857142856,89.90428571428572,25,28.2,0.36363636363636365,7
2021,The Big Gronkowski,14,7,7,4,170.84,12.202857142857143,90.81500000000001,25,38.24,0.5714285714285714,11
2021,malle_dips_pouches,14,4,10,4,307.94,21.995714285714286,82.105,28,48.5,0.4,8
2021,Ginger FC 🏆🏆,14,5,9,3,160.98,11.498571428571427,91.03928571428571,19,43.8,0.3333333333333333,8
2021,Malle ❤️ 🐸,14,11,3,2,159.96,11.425714285714287,91.40785714285714,20,28.3,0.6666666666666666,13
2021,Pop Lockett Drop it,14,7,7,2,151.0,10.785714285714286,90.10142857142857,23,21.5,0.2857142857142857,9
2021,Post Mahomes,14,8,6,2,178.6,12.757142857142856,89.82571428571428,23,29.9,0.3333333333333333,10
2021,Joe Mantegna,14,9,5,1,201.18,14.370000000000001,88.87357142857142,23,39.72,0.2,10
2021,Patty Primetimes,14,6,8,1,158.01999999999998,11.287142857142856,90.29357142857143,24,29.8,0.125,7
2021,Voldemort,14,9,5,1,139.78,9.984285714285715,92.62714285714286,20,30.5,0.2,10
2021,ThreatLevelMidnight,14,11,3,0,158.84,11.345714285714285,91.00428571428571,20,26.9,0.0,11
2022,Patty Primetimes,14,3,11,6,160.22,11.444285714285714,89.38071428571428,27,27.24,0.5454545454545454,9
2022,Malle ❤️ 🐸,14,4,10,4,158.44,11.317142857142857,90.36071428571428,19,37.6,0.4,8
2022,Post Mahomes,14,7,7,4,214.38,15.312857142857142,86.77142857142857,26,37.1,0.5714285714285714,11
2022,malle_dips_pouches,14,8,6,4,206.72,14.765714285714285,88.63785714285714,29,37.8,0.6666666666666666,12
2022,Joe Mantegna,14,8,6,2,180.64,12.902857142857142,89.19285714285715,24,45.44,0.3333333333333333,10
2022,Pop Lockett Drop it,14,4,10,2,127.38,9.098571428571429,91.53714285714285,18,28.5,0.2,6
2022,The Big Gronkowski,14,9,5,2,187.12,13.365714285714287,90.02285714285713,22,36.7,0.4,11
2022,Uncle Rico,14,5,9,2,208.5,14.892857142857142,88.95,26,31.5,0.2222222222222222,7
2022,Voldemort,14,10,4,2,158.7,11.335714285714285,91.57642857142856,23,18.7,0.5,12
2022,Big Sack Jack,14,10,4,1,139.9,9.992857142857144,91.79285714285713,29,29.4,0.25,11
2022,Ginger FC 🏆🏆,14,8,6,1,153.4,10.957142857142857,90.80142857142857,22,34.8,0.16666666666666666,9
2022,ThreatLevelMidnight,14,8,6,0,172.96,12.354285714285714,88.84357142857142,20,24.6,0.0,8
