year,team,games,wins,points_for,points_against,losses,win_pct,points_per_game,scoring_rank,win_rank,actual_points,optimal_points,points_left_on_bench,avg_weekly_points_left,avoidable_starts,season_efficiency_pct,efficiency_rank,rated_picks,avg_draft_value,total_draft_value,steals,elite_steals,busts,major_busts,draft_class_rank,meaningful_acquisitions,avg_waiver_value,total_positive_value,good_rate,elite_finds,bust_rate,production_points,waiver_rank,is_champion,scoring_percentile,winning_percentile,efficiency_percentile,bench_management_percentile,draft_percentile,waiver_percentile
2017,Big Sack Jack,13,7.0,1199.3400000000001,1152.12,6.0,0.5384615384615384,92.25692307692309,5,5,1199.34,1400.24,200.9,15.45,28,85.65,9,13,8.025404374442434,104.33025686775164,2,1,1,0,1,3.0,16.15811965811966,69.62820512820514,66.66666666666666,0.0,0.0,123.8,4.0,False,66.66666666666666,62.5,33.33333333333333,16.666666666666664,100.0,75.0
2017,Dillon Panthers,13,4.0,1098.26,1103.26,9.0,0.3076923076923077,84.48153846153846,8,11,1098.26,1331.14,232.88,17.91,30,82.51,12,12,-14.093498559672376,-169.12198271606852,1,0,3,2,11,8.0,23.625,201.16666666666669,62.5,1.0,0.0,337.82,3.0,False,41.66666666666667,16.666666666666664,8.333333333333332,8.333333333333332,16.666666666666664,83.33333333333334
2017,Ginger FC,13,10.0,1194.24,1049.4,3.0,0.7692307692307693,91.86461538461539,6,1,1194.24,1282.16,87.92,6.76,12,93.14,1,12,-1.8068938431587935,-21.682726117905524,1,1,2,0,4,7.0,10.425836068693211,99.82234432234434,28.57142857142857,1.0,0.0,240.8,7.0,True,58.333333333333336,100.0,100.0,100.0,75.0,50.0
2017,Hello Harvard,13,5.0,1090.98,1177.94,8.0,0.38461538461538464,83.92153846153846,10,8,1090.98,1281.08,190.1,14.62,24,85.16,10,13,-5.988117103219292,-77.8455223418508,3,1,4,2,9,7.0,-4.199895342752485,33.25641025641026,0.0,0.0,0.0,88.10000000000001,12.0,False,25.0,33.33333333333333,25.0,25.0,33.33333333333333,8.333333333333332
2017,Joe Mantegna,13,5.0,949.44,1124.28,8.0,0.38461538461538464,73.03384615384616,12,8,949.44,1115.6,166.16,12.78,26,85.11,11,13,-1.8264807482070349,-23.74424972669145,1,0,1,1,5,1.0,15.85714285714286,15.85714285714286,0.0,0.0,0.0,16.599999999999998,6.0,False,8.333333333333332,33.33333333333333,16.666666666666664,75.0,66.66666666666666,58.333333333333336
2017,Malle ❤️ 🐸,13,3.0,1041.76,1340.68,10.0,0.23076923076923078,80.13538461538461,11,12,1041.76,1214.82,173.06,13.31,24,85.75,8,12,-4.092181746474446,-49.106180957693354,1,1,2,1,7,6.0,0.2991452991452998,47.34615384615385,16.666666666666664,0.0,0.0,74.4,11.0,False,16.666666666666664,8.333333333333332,41.66666666666667,58.333333333333336,50.0,16.666666666666664
2017,Pop Lockett Drop it,13,9.0,1093.78,1108.64,4.0,0.6923076923076923,84.13692307692307,9,2,1093.78,1243.38,149.6,11.51,25,87.97,4,13,-6.556305002102932,-85.23196502733812,1,0,4,2,10,9.0,1.574277574277572,71.97985347985346,11.11111111111111,0.0,0.0,149.0,10.0,False,33.33333333333333,87.5,75.0,83.33333333333334,25.0,25.0
2017,Post Mahomes,13,8.0,1285.8600000000001,1111.46,5.0,0.6153846153846154,98.9123076923077,2,4,1285.86,1475.26,189.4,14.57,23,87.16,5,13,-2.7560882220195215,-35.82914688625378,0,0,3,2,6,11.0,16.06508642872279,258.23310023310023,54.54545454545454,1.0,9.090909090909092,546.4200000000001,5.0,False,91.66666666666666,75.0,66.66666666666666,33.33333333333333,58.333333333333336,66.66666666666666
2017,The Big Gronkowski,13,5.0,1238.36,1270.28,8.0,0.38461538461538464,95.25846153846153,3,8,1238.36,1422.12,183.76,14.14,22,87.08,7,13,4.448411451166949,57.82934886517034,1,0,1,0,2,4.0,29.80494505494505,119.2197802197802,50.0,1.0,0.0,142.44,2.0,False,83.33333333333334,33.33333333333333,50.0,41.66666666666667,91.66666666666666,91.66666666666666
2017,ThreatLevelMidnight,13,6.0,1193.04,1247.4,7.0,0.46153846153846156,91.77230769230769,7,7,1193.04,1307.86,114.82,8.83,13,91.22,2,13,-4.5945840560628675,-59.72959272881727,0,0,3,2,8,11.0,9.641979232888326,163.5141525141525,27.27272727272727,1.0,9.090909090909092,437.4,8.0,False,50.0,50.0,91.66666666666666,91.66666666666666,41.66666666666667,41.66666666666667
