year,round,pick_in_round,overall_pick,team,player,keeper,name_key,canonical_team,season_points,roster_weeks,position,captured_points,captured_weeks,started_points,starts,retention_rate,starter_capture_rate,draft_value_eligible,position_percentile,expected_position_percentile,comparison_sample,draft_value,value_above_expected,capture_rate,starter_utilization_rate,expected_points,value_ratio,captured_value_above_expected,captured_value_ratio,draft_result
2018,1,9,9,Voldemort,Le'Veon Bell,False,leveon bell,Voldemort,0.0,10.0,RB,0.0,10.0,0.0,0.0,,,True,3.3333333333333335,85.36585365853658,165.0,-82.03252032520325,-82.03252032520325,,,85.36585365853658,0.03904761904761905,-0.0,,Major Bust
2017,1,1,1,Post Mahomes,David Johnson,False,david johnson,Post Mahomes,7.0,13.0,RB,7.0,13.0,7.0,1.0,1.0,1.0,True,16.867469879518072,90.54054054054053,103.0,-73.67307066102246,-73.67307066102246,1.0,1.0,90.54054054054053,0.18629742852005038,-73.67307066102246,1.0,Major Bust
2020,1,2,2,Post Mahomes,Saquon Barkley,False,saquon barkley,Post Mahomes,12.399999999999999,7.0,RB,12.399999999999999,7.0,12.399999999999999,2.0,1.0,1.0,True,17.857142857142858,90.54054054054053,111.0,-72.68339768339767,-72.68339768339767,1.0,1.0,90.54054054054053,0.19722814498933905,-72.68339768339767,1.0,Major Bust
2023,1,11,11,Voldemort,Nick Chubb,False,nick chubb,Voldemort,21.1,2.0,RB,21.1,2.0,21.1,2.0,1.0,1.0,True,26.82926829268293,86.24140087554721,180.0,-59.41213258286429,-59.41213258286429,1.0,1.0,86.24140087554721,0.31109499637418425,-59.41213258286429,1.0,Major Bust
2020,1,4,4,Uncle Rico,Michael Thomas,False,michael thomas,Uncle Rico,51.5,13.0,WR,51.5,13.0,51.5,7.0,1.0,1.0,True,32.5,89.65517241379311,125.0,-57.15517241379311,-57.15517241379311,1.0,1.0,89.65517241379311,0.3625,-57.15517241379311,1.0,Major Bust
2024,1,1,1,Ginger FC,Christian McCaffrey,False,christian mccaffrey,Ginger FC,40.3,14.0,RB,26.6,11.0,26.6,3.0,0.6600496277915634,1.0,True,37.5,89.65517241379311,103.0,-52.15517241379311,-52.15517241379311,0.6600496277915634,1.0,89.65517241379311,0.4182692307692307,-34.42500213912896,0.6600496277915634,Major Bust
2017,1,4,4,Joe Mantegna,Odell Beckham Jr.,False,odell beckham,Joe Mantegna,49.0,13.0,WR,49.0,13.0,49.0,5.0,1.0,1.0,True,46.913580246913575,89.41176470588236,125.0,-42.49818445896879,-42.49818445896879,1.0,1.0,89.41176470588236,0.5246913580246912,-42.49818445896879,1.0,Major Bust
2023,1,7,7,malle_dips_pouches,Cooper Kupp,False,cooper kupp,malle_dips_pouches,76.1,11.0,WR,76.1,11.0,76.1,7.0,1.0,1.0,True,50.54945054945055,87.95180722891565,149.0,-37.40235667946511,-37.40235667946511,1.0,1.0,87.95180722891565,0.5747403281649858,-37.40235667946511,1.0,Bust
2018,1,10,10,malle_dips_pouches,Leonard Fournette,False,leonard fournette,malle_dips_pouches,74.8,13.0,RB,74.8,13.0,74.8,6.0,1.0,1.0,True,53.333333333333336,85.09630319975147,172.0,-31.76296986641814,-31.76296986641814,1.0,1.0,85.09630319975147,0.6267408962307202,-31.76296986641814,1.0,Bust
2023,1,1,1,Malle ❤️ 🐸,Justin Jefferson,False,justin jefferson,Malle ❤️ 🐸,94.8,14.0,WR,94.8,14.0,94.8,6.0,1.0,1.0,True,59.34065934065934,90.58823529411765,103.0,-31.24757595345831,-31.24757595345831,1.0,1.0,90.58823529411765,0.6550592264877979,-31.24757595345831,1.0,Bust
2020,1,1,1,Ginger FC,Christian McCaffrey,False,christian mccaffrey,Ginger FC,81.9,13.0,RB,81.9,13.0,81.9,3.0,1.0,1.0,True,60.71428571428571,90.58823529411765,103.0,-29.873949579831944,-29.873949579831944,1.0,1.0,90.58823529411765,0.6702226345083487,-29.873949579831944,1.0,Bust
2019,1,8,8,Post Mahomes,David Johnson,False,david johnson,Post Mahomes,92.89999999999999,13.0,RB,92.89999999999999,13.0,90.5,9.0,1.0,0.9741657696447794,True,64.1025641025641,87.05882352941177,157.0,-22.956259426847666,-22.956259426847666,1.0,0.9741657696447794,87.05882352941177,0.7363132363132363,-22.956259426847666,1.0,Near Expectation
2020,1,9,9,ThreatLevelMidnight,Joe Mixon,False,joe mixon,ThreatLevelMidnight,89.10000000000001,13.0,RB,89.10000000000001,13.0,75.2,5.0,1.0,0.8439955106621773,True,64.28571428571429,86.81318681318682,165.0,-22.527472527472526,-22.527472527472526,1.0,0.8439955106621773,86.81318681318682,0.7405063291139241,-22.527472527472526,1.0,Near Expectation
2021,1,1,1,Uncle Rico,Christian McCaffrey,False,christian mccaffrey,Uncle Rico,109.0,12.0,RB,109.0,12.0,109.0,7.0,1.0,1.0,True,68.96551724137932,89.88660524450745,104.0,-20.921088003128133,-20.921088003128133,1.0,1.0,89.88660524450745,0.7672502154662636,-20.921088003128133,1.0,Near Expectation
2024,1,8,8,Voldemort,Jonathan Taylor,False,jonathan taylor,Voldemort,135.2,14.0,RB,56.2,4.0,56.2,4.0,0.41568047337278113,1.0,True,66.66666666666666,86.85897435897436,158.0,-20.192307692307708,-20.192307692307708,0.41568047337278113,1.0,86.85897435897436,0.7675276752767526,-8.393548020027318,0.41568047337278113,Near Expectation
