canonical_team,rated_picks,avg_draft_value,median_draft_value,total_draft_value,avg_actual_percentile,avg_expected_percentile,steals,elite_steals,busts,major_busts,avg_capture_rate,avg_starter_utilization,steal_rate,bust_rate,net_hits,draft_value_rank
The Big Gronkowski,113,2.902403107402638,8.095238095238088,327.9715511364981,65.30708790094818,62.40468479354555,21,1,15,4,0.7763399300693992,0.594585597630536,0.18584070796460178,0.13274336283185842,6,1
Malle ❤️ 🐸,106,1.5298550502766153,2.6770641072966654,162.16463532932121,63.79932867214551,62.269473621868904,18,5,17,3,0.812821349853521,0.6309997219587304,0.16981132075471697,0.16037735849056603,1,2
Big Sack Jack,73,0.8778905598052502,3.5143288084464643,64.08601086578327,62.27765840831777,61.39976784851253,5,1,9,2,0.9176252994771633,0.5831740280421229,0.0684931506849315,0.1232876712328767,-4,3
Buttermilk Puuump,36,0.5455451706027704,-1.0487299885384687,19.639626141699736,62.16498943558364,61.619444264980885,7,2,7,2,0.5832427507956395,0.5913527982820218,0.19444444444444445,0.19444444444444445,0,4
malle_dips_pouches,113,-0.21223177816085217,2.8541114058355532,-23.982190932176294,62.57359602012954,62.7858277982904,13,3,17,5,0.7747147234716857,0.5774376875604468,0.11504424778761062,0.1504424778761062,-4,5
Dillon Panthers,25,-0.6214590717765316,-5.731961836612996,-15.53647679441329,61.69925431403343,62.32071338580996,4,1,4,2,0.9705878342885202,0.6024594389200106,0.16,0.16,0,6
Joe Mantegna,106,-0.6671372364647391,2.24087546159047,-70.71654706526235,62.15266406920584,62.81980130567059,10,5,19,3,0.8202302558603788,0.6093071466714824,0.09433962264150944,0.1792452830188679,-9,7
Patty Primetimes,85,-1.6266183123520352,1.477428180574563,-138.262556549923,61.65979253266857,63.286410845020605,12,2,20,7,0.6493628901005217,0.6438589011017751,0.1411764705882353,0.23529411764705882,-8,8
Pop Lockett Drop it,109,-2.7322578503231933,-2.1071767738434346,-297.8161056852281,60.18198832888398,62.91424617920717,9,3,21,7,0.7400463053540489,0.6089731764828297,0.08256880733944955,0.1926605504587156,-12,9
Uncle Rico,98,-5.1415020726954594,-0.7470306603913563,-503.867203124155,57.37991388195124,62.5214159546467,6,1,22,8,0.6129020131513337,0.5736976388986471,0.061224489795918366,0.22448979591836735,-16,10
Post Mahomes,111,-5.190999987078142,0.581395348837205,-576.2009985656737,57.97705946498682,63.16805945206497,10,1,27,10,0.7332314298336811,0.584915412308677,0.09009009009009009,0.24324324324324326,-17,11
ThreatLevelMidnight,110,-5.4504286744399515,-4.959349593495936,-599.5471541883946,57.84687295578771,63.297301630227665,8,2,22,11,0.7007549307557356,0.5879362584884313,0.07272727272727272,0.2,-14,12
Hello Harvard,13,-5.988117103219292,-5.925925925925924,-77.8455223418508,57.57008869458669,63.55820579780598,3,1,4,2,0.8661625417956533,0.686662877738195,0.23076923076923078,0.3076923076923077,-1,13
Voldemort,108,-6.736689351644292,-4.508082659713576,-727.5624499775835,57.2714769224857,64.00816627412999,9,2,22,8,0.6081522983516499,0.6060112420233985,0.08333333333333333,0.2037037037037037,-13,14
Ginger FC,109,-7.386976128208319,-6.506090808416403,-805.1803979747068,55.33332437377424,62.720300501982564,8,3,24,10,0.8118569798292189,0.5882991875974268,0.07339449541284404,0.22018348623853212,-16,15
