year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2017,12,Ur The Best Bellows,Hello Harvard,65.0,60.7,Joe Mantegna,Hello Harvard,4.299999999999997,1,0,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,-0.9090909090909091,0,0,0,1,1
2022,6,Joe Mantegna,Patty Primetimes,69.22,67.14,Joe Mantegna,Patty Primetimes,2.0799999999999983,1,0,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,-0.9090909090909091,0,0,0,1,1
2019,13,Voldemort,The Big Gronkowski,69.7,59.4,Voldemort,The Big Gronkowski,10.300000000000004,1,0,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,-0.9090909090909091,0,0,0,1,1
2018,13,malle_dips_pouches,Malle ❤️ 🐸,72.58,54.72,malle_dips_pouches,Malle ❤️ 🐸,17.86,1,0,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,-0.9090909090909091,0,0,0,1,1
2023,5,Voldemort,You Better Park It,78.54,66.72,Voldemort,Buttermilk Puuump,11.820000000000007,1,0,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,-0.9090909090909091,0,0,0,1,1
2022,7,Pop Lockett Drop it,Malle ❤️ 🐸,81.52,80.5,Pop Lockett Drop it,Malle ❤️ 🐸,1.019999999999996,1,0,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,-0.9090909090909091,0,0,0,1,1
2024,13,Uncle Rico,Malle ❤️ 🐸,88.04,81.22,Uncle Rico,Malle ❤️ 🐸,6.820000000000007,1,0,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,-0.9090909090909091,0,0,0,1,1
2021,14,Pop Lockett Drop it,malle_dips_pouches,88.76,47.68,Pop Lockett Drop it,malle_dips_pouches,41.080000000000005,1,0,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,-0.9090909090909091,0,0,0,1,1
2021,4,Pop Lockett Drop it,Uncle Rico,89.7,83.94,Pop Lockett Drop it,Uncle Rico,5.760000000000005,1,0,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,-0.9090909090909091,0,0,0,1,1
2023,12,malle_dips_pouches,Uncle Rico,90.26,89.68,malle_dips_pouches,Uncle Rico,0.5799999999999983,1,0,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,-0.9090909090909091,0,0,0,1,1
2023,13,Joe Mantegna,You Better Park It,92.88,91.06,Joe Mantegna,Buttermilk Puuump,1.8199999999999932,1,0,0,1.0,10.0,0.0,0.09090909090909091,11.0,12.0,-0.9090909090909091,0,0,0,1,1
2017,3,Pop Lockett Drop it,Hello Harvard,71.26,69.86,Pop Lockett Drop it,Hello Harvard,1.4000000000000057,1,0,0,2.0,9.0,0.0,0.18181818181818182,10.0,12.0,-0.8181818181818181,0,0,0,1,1
2020,9,Uncle Rico,Patty Primetimes,73.4,51.94,Uncle Rico,Patty Primetimes,21.460000000000008,1,0,0,2.0,9.0,0.0,0.18181818181818182,10.0,12.0,-0.8181818181818181,0,0,0,1,1
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,malle_dips_pouches,Uncle Rico,2.3400000000000034,1,0,0,2.0,9.0,0.0,0.18181818181818182,10.0,12.0,-0.8181818181818181,0,0,0,1,1
