year,team,games,wins,points_for,points_against,losses,win_pct,points_per_game,scoring_rank,win_rank,actual_points,optimal_points,points_left_on_bench,avg_weekly_points_left,avoidable_starts,season_efficiency_pct,efficiency_rank,rated_picks,avg_draft_value,total_draft_value,steals,elite_steals,busts,major_busts,draft_class_rank,meaningful_acquisitions,avg_waiver_value,total_positive_value,good_rate,elite_finds,bust_rate,production_points,waiver_rank,is_champion,scoring_percentile,winning_percentile,efficiency_percentile,bench_management_percentile,draft_percentile,waiver_percentile,lineup_index,draft_index,waiver_index,fully_measured,management_index,management_rank,extreme_type
2022,Big Sack Jack,14,10.0,1581.92,1469.26,4.0,0.7142857142857143,112.99428571428572,5,1,1581.92,1721.82,139.9,9.99,29,91.87,1,11,12.295729105814347,135.25302016395784,2,0,0,0,2,1.0,26.818181818181813,26.818181818181813,100.0,0.0,0.0,17.4,1.0,False,66.66666666666666,95.83333333333334,100.0,91.66666666666666,91.66666666666666,100.0,100.0,91.66666666666666,100.0,True,97.91666666666666,1.0,Best Management Season
2025,Ginger FC,14,10.0,1558.36,1494.54,4.0,0.7142857142857143,111.31142857142856,6,2,1515.8,1637.4,121.6,8.69,19,92.57,1,12,1.678763572377309,20.145162868527713,2,0,2,1,2,2.0,7.320261437908499,31.11111111111111,50.0,0.0,0.0,94.02,8.0,True,58.333333333333336,91.66666666666666,100.0,100.0,91.66666666666666,41.66666666666667,100.0,91.66666666666666,41.66666666666667,True,83.33333333333333,1.0,Best Management Season
2021,Ginger FC,14,5.0,1625.4,1695.5,9.0,0.3571428571428571,116.1,3,9,1625.4,1779.58,154.18,11.01,18,91.34,2,12,2.6179901078426036,31.415881294111244,1,0,1,0,3,7.0,15.637744136984258,136.78563753031838,28.57142857142857,0.0,0.0,279.9,5.0,False,83.33333333333334,33.33333333333333,91.66666666666666,75.0,83.33333333333334,66.66666666666666,91.66666666666666,83.33333333333334,66.66666666666666,True,83.33333333333331,1.0,Best Management Season
2025,ThreatLevelMidnight,14,9.0,1648.38,1504.62,5.0,0.6428571428571429,117.7414285714286,2,3,1638.46,1783.58,145.12,10.37,19,91.86,3,11,-1.2425664533056924,-13.668230986362616,2,1,1,1,4,8.0,25.507753826168145,204.06203060934516,50.0,1.0,0.0,427.66,3.0,False,91.66666666666666,79.16666666666666,83.33333333333334,66.66666666666666,75.0,83.33333333333334,83.33333333333334,75.0,83.33333333333334,True,81.25,2.0,Best Management Season
2017,Ginger FC,13,10.0,1194.24,1049.4,3.0,0.7692307692307693,91.8646153846154,6,1,1194.24,1282.16,87.92,6.76,12,93.14,1,12,-1.8068938431587935,-21.682726117905524,1,1,2,0,4,7.0,10.425836068693211,99.82234432234434,28.57142857142857,1.0,0.0,240.8,7.0,True,58.333333333333336,100.0,100.0,100.0,75.0,50.0,100.0,75.0,50.0,True,81.25,1.0,Best Management Season
2020,Malle ❤️ 🐸,13,8.0,1613.8,1498.24,5.0,0.6153846153846154,124.13846153846154,1,3,1613.8,1788.14,174.34,13.41,20,90.25,3,12,3.347885808094363,40.17462969713236,1,0,3,0,2,2.0,18.518907563025213,38.21428571428572,50.0,0.0,0.0,71.96000000000001,5.0,True,100.0,75.0,83.33333333333334,66.66666666666666,91.66666666666666,66.66666666666666,83.33333333333334,91.66666666666666,66.66666666666666,True,81.25,1.0,Best Management Season
2021,The Big Gronkowski,14,7.0,1696.54,1635.06,7.0,0.5,121.18142857142855,1,6,1696.54,1867.38,170.84,12.2,25,90.85,5,12,12.343306460806724,148.11967752968067,3,0,0,0,1,1.0,16.388888888888886,16.388888888888886,0.0,0.0,0.0,50.4,3.0,False,100.0,54.166666666666664,66.66666666666666,33.33333333333333,100.0,83.33333333333334,66.66666666666666,100.0,83.33333333333334,True,79.16666666666666,2.0,Best Management Season
2024,Uncle Rico,14,6.0,1486.24,1630.3,8.0,0.4285714285714285,106.16,9,7,1668.86,1842.16,173.3,12.38,25,90.59,3,12,-4.156569356307686,-49.87883227569223,0,0,2,1,7,2.0,21.994047619047613,43.98809523809523,50.0,0.0,0.0,227.62,2.0,False,33.33333333333333,45.83333333333333,83.33333333333334,58.333333333333336,50.0,91.66666666666666,83.33333333333334,50.0,91.66666666666666,True,77.08333333333334,1.0,Best Management Season
2023,Post Mahomes,14,8.0,1671.7,1547.64,6.0,0.5714285714285714,119.40714285714286,2,3,1671.7,1806.38,134.68,9.62,20,92.54,1,12,-6.5622219632369,-78.7466635588428,0,0,3,1,7,9.0,15.209535834535831,169.09361471861473,22.22222222222222,1.0,0.0,438.8200000000001,6.0,False,91.66666666666666,79.16666666666666,100.0,91.66666666666666,50.0,58.333333333333336,100.0,50.0,58.333333333333336,True,77.08333333333333,1.0,Best Management Season
2020,Post Mahomes,13,6.0,1437.74,1303.58,7.0,0.4615384615384615,110.59538461538462,7,7,1437.74,1559.52,121.78,9.37,17,92.19,1,12,-4.2867872551591715,-51.441447061910054,2,0,3,2,8,12.0,11.363921404682277,168.54515050167225,16.666666666666664,0.0,0.0,366.04,6.0,False,50.0,45.83333333333333,100.0,100.0,41.66666666666667,58.333333333333336,100.0,41.66666666666667,58.333333333333336,True,75.0,2.0,Best Management Season
