team,measured_seasons,management_index,median_management_index,best_management_index,worst_management_index,lineup_index,draft_index,waiver_index,winning_percentile,scoring_percentile,championships,official,management_rank
Ginger FC,8,63.02083333333333,62.5,83.33333333333333,22.916666666666664,77.08333333333333,51.041666666666664,46.875,46.354166666666664,50.0,2,True,1.0
Post Mahomes,8,61.71874999999999,65.625,77.08333333333333,27.083333333333336,71.875,37.5,65.625,69.79166666666666,75.0,1,True,2.0
Big Sack Jack,5,60.416666666666664,60.416666666666664,97.91666666666666,22.916666666666664,63.33333333333333,51.666666666666664,63.33333333333333,55.0,46.666666666666664,0,True,3.0
Malle ❤️ 🐸,8,57.552083333333336,57.29166666666667,81.25,37.5,54.16666666666667,68.75,53.125,48.958333333333336,43.75,1,True,4.0
Pop Lockett Drop it,8,55.989583333333336,54.16666666666667,70.83333333333334,47.916666666666664,57.29166666666667,52.08333333333333,57.291666666666664,61.45833333333333,53.125,0,True,5.0
ThreatLevelMidnight,8,55.72916666666667,59.375,81.25,16.666666666666664,59.375,42.708333333333336,61.458333333333336,66.66666666666666,70.83333333333333,0,True,6.0
The Big Gronkowski,8,55.20833333333333,54.16666666666666,79.16666666666666,22.916666666666664,45.83333333333333,78.125,51.041666666666664,56.770833333333336,61.458333333333336,0,True,7.0
malle_dips_pouches,8,53.64583333333333,54.16666666666666,75.0,37.49999999999999,44.791666666666664,68.75,56.25,48.4375,41.666666666666664,1,True,8.0
Voldemort,8,51.82291666666667,50.00000000000001,75.0,31.25,59.375,39.583333333333336,48.95833333333333,70.83333333333333,78.125,2,True,9.0
Joe Mantegna,8,51.041666666666664,50.0,74.99999999999999,33.33333333333333,43.75,60.41666666666667,56.25,54.166666666666664,38.54166666666667,1,True,10.0
Uncle Rico,7,45.23809523809524,45.83333333333334,77.08333333333334,20.833333333333336,50.0,36.904761904761905,44.047619047619044,36.30952380952381,45.238095238095234,0,True,11.0
Patty Primetimes,7,45.238095238095234,35.41666666666667,72.91666666666667,24.999999999999996,39.285714285714285,61.904761904761905,40.476190476190474,48.80952380952381,53.57142857142857,0,True,12.0
Buttermilk Puuump,3,55.55555555555555,56.25,56.25,54.166666666666664,38.88888888888888,69.44444444444444,75.0,30.555555555555557,36.11111111111111,0,False,
Dillon Panthers,1,29.166666666666668,29.166666666666668,29.166666666666668,29.166666666666668,8.333333333333332,16.666666666666664,83.33333333333334,16.666666666666664,41.66666666666667,0,False,
Hello Harvard,1,22.916666666666664,22.916666666666664,22.916666666666664,22.916666666666664,25.0,33.33333333333333,8.333333333333332,33.33333333333333,25.0,0,False,
