team,measured_seasons,management_index,lineup_index,draft_index,waiver_index,official,management_rank,strongest_area,weakest_area
Ginger FC,8,63.02083333333333,77.08333333333333,51.041666666666664,46.875,True,1.0,Lineup Execution,Waivers
Post Mahomes,8,61.71874999999999,71.875,37.5,65.625,True,2.0,Lineup Execution,Drafting
Big Sack Jack,5,60.416666666666664,63.33333333333333,51.666666666666664,63.33333333333333,True,3.0,Lineup Execution,Drafting
Malle ❤️ 🐸,8,57.552083333333336,54.16666666666667,68.75,53.125,True,4.0,Drafting,Waivers
Pop Lockett Drop it,8,55.989583333333336,57.29166666666667,52.08333333333333,57.291666666666664,True,5.0,Lineup Execution,Drafting
ThreatLevelMidnight,8,55.72916666666667,59.375,42.708333333333336,61.458333333333336,True,6.0,Waivers,Drafting
The Big Gronkowski,8,55.20833333333333,45.83333333333333,78.125,51.041666666666664,True,7.0,Drafting,Lineup Execution
malle_dips_pouches,8,53.64583333333333,44.791666666666664,68.75,56.25,True,8.0,Drafting,Lineup Execution
Voldemort,8,51.82291666666667,59.375,39.583333333333336,48.95833333333333,True,9.0,Lineup Execution,Drafting
Joe Mantegna,8,51.041666666666664,43.75,60.41666666666667,56.25,True,10.0,Drafting,Lineup Execution
Uncle Rico,7,45.23809523809524,50.0,36.904761904761905,44.047619047619044,True,11.0,Lineup Execution,Drafting
Patty Primetimes,7,45.238095238095234,39.285714285714285,61.904761904761905,40.476190476190474,True,12.0,Drafting,Lineup Execution
Buttermilk Puuump,3,55.55555555555555,38.88888888888888,69.44444444444444,75.0,False,,Waivers,Lineup Execution
Dillon Panthers,1,29.166666666666668,8.333333333333332,16.666666666666664,83.33333333333334,False,,Waivers,Lineup Execution
Hello Harvard,1,22.916666666666664,25.0,33.33333333333333,8.333333333333332,False,,Drafting,Waivers
