year,fantasy_team,edge_position,starter_points,positional_edge,weeks,edge_per_week,position_rank,extreme_type
2023,Post Mahomes,RB,626.7,244.69272727272727,14,17.47805194805195,1.0,Best Positional Season
2022,malle_dips_pouches,RB,641.96,226.4581818181818,14,16.175584415584414,1.0,Best Positional Season
2023,ThreatLevelMidnight,RB,607.48,223.72545454545454,14,15.98038961038961,2.0,Best Positional Season
2019,Voldemort,RB,558.3000000000001,214.93454545454546,13,16.533426573426574,1.0,Best Positional Season
2025,Post Mahomes,RB,594.5,187.56727272727272,14,13.397662337662338,1.0,Best Positional Season
2021,Malle ❤️ 🐸,WR,584.1,169.7218181818182,14,12.122987012987014,1.0,Best Positional Season
2021,The Big Gronkowski,WR,577.8,162.84909090909093,14,11.632077922077924,2.0,Best Positional Season
2021,Voldemort,WR,572.5,157.06727272727272,14,11.219090909090909,3.0,Best Positional Season
2017,Voldemort,RB,446.5,155.50909090909093,13,11.962237762237764,1.0,Best Positional Season
2021,ThreatLevelMidnight,RB,538.8,126.37636363636364,14,9.026883116883116,1.0,Best Positional Season
2022,Ginger FC,TE,227.3,124.48909090909092,14,8.892077922077922,1.0,Best Positional Season
2023,The Big Gronkowski,WR,554.2,122.53272727272726,14,8.752337662337661,1.0,Best Positional Season
2025,Joe Mantegna,WR,534.6,121.33636363636361,14,8.666883116883115,1.0,Best Positional Season
2022,Voldemort,WR,527.56,121.32363636363635,14,8.665974025974025,1.0,Best Positional Season
2018,Dillon Panthers,WR,434.41999999999996,120.45999999999998,13,9.266153846153845,1.0,Best Positional Season
2020,Voldemort,WR,524.3,120.32363636363634,13,9.255664335664333,1.0,Best Positional Season
2017,malle_dips_pouches,RB,413.0,118.96363636363637,13,9.151048951048951,2.0,Best Positional Season
2024,Voldemort,RB,542.4,118.6618181818182,14,8.475844155844158,1.0,Best Positional Season
2021,Post Mahomes,RB,531.7,118.63090909090909,14,8.473636363636363,2.0,Best Positional Season
2022,Uncle Rico,QB,432.58,115.61818181818181,14,8.258441558441557,1.0,Best Positional Season
2022,The Big Gronkowski,RB,540.1,115.33818181818182,14,8.23844155844156,2.0,Best Positional Season
2019,ThreatLevelMidnight,RB,465.70000000000005,113.91636363636364,13,8.762797202797204,2.0,Best Positional Season
2019,Big Sack Jack,WR,404.4,112.72181818181816,13,8.67090909090909,1.0,Best Positional Season
2018,Pop Lockett Drop it,RB,491.2,112.4218181818182,13,8.647832167832169,1.0,Best Positional Season
2019,Patty Primetimes,QB,396.18,112.29636363636364,13,8.638181818181819,1.0,Best Positional Season
2025,Joe Mantegna,RB,242.6,-196.32363636363635,14,-14.023116883116883,12.0,Worst Positional Season
2021,Malle ❤️ 🐸,RB,248.7,-190.09636363636366,14,-13.57831168831169,12.0,Worst Positional Season
2021,Big Sack Jack,WR,255.3,-188.9690909090909,14,-13.497792207792207,12.0,Worst Positional Season
2019,Malle ❤️ 🐸,RB,202.9,-172.77454545454543,13,-13.290349650349649,12.0,Worst Positional Season
2019,Joe Mantegna,RB,214.9,-159.68363636363637,13,-12.283356643356644,11.0,Worst Positional Season
2021,Patty Primetimes,WR,282.8,-158.96909090909088,14,-11.354935064935063,11.0,Worst Positional Season
2023,Ginger FC,WR,302.6,-151.94,14,-10.852857142857143,12.0,Worst Positional Season
2022,Pop Lockett Drop it,RB,302.4,-143.9709090909091,14,-10.283636363636363,12.0,Worst Positional Season
2021,malle_dips_pouches,WR,308.2,-131.26,14,-9.375714285714285,10.0,Worst Positional Season
2021,Pop Lockett Drop it,QB,213.76000000000002,-130.51636363636362,14,-9.3225974025974,12.0,Worst Positional Season
2020,Ginger FC,RB,260.5,-126.95454545454547,13,-9.765734265734267,12.0,Worst Positional Season
2017,Dillon Panthers,RB,191.4,-122.78181818181818,13,-9.444755244755244,12.0,Worst Positional Season
2025,Post Mahomes,WR,311.4,-122.15454545454547,14,-8.725324675324677,12.0,Worst Positional Season
2019,ThreatLevelMidnight,WR,189.5,-121.71454545454544,13,-9.362657342657341,12.0,Worst Positional Season
2023,Post Mahomes,WR,331.36,-120.56545454545454,14,-8.611818181818181,11.0,Worst Positional Season
2023,Uncle Rico,RB,296.2,-115.85272727272726,14,-8.275194805194804,12.0,Worst Positional Season
2023,malle_dips_pouches,RB,300.4,-111.27090909090907,14,-7.947922077922077,11.0,Worst Positional Season
2022,Big Sack Jack,RB,337.8,-105.35272727272728,14,-7.525194805194806,11.0,Worst Positional Season
2020,The Big Gronkowski,QB,238.98,-103.5109090909091,13,-7.962377622377622,12.0,Worst Positional Season
2019,Voldemort,WR,206.60000000000002,-103.05999999999999,13,-7.927692307692307,11.0,Worst Positional Season
2017,Joe Mantegna,QB,172.84,-101.80181818181819,13,-7.830909090909092,12.0,Worst Positional Season
2018,Joe Mantegna,WR,232.4,-99.92545454545453,13,-7.686573426573426,12.0,Worst Positional Season
2018,Big Sack Jack,QB,223.82,-99.86,13,-7.681538461538461,12.0,Worst Positional Season
2020,Patty Primetimes,WR,323.8,-98.40363636363637,13,-7.56951048951049,12.0,Worst Positional Season
2020,Joe Mantegna,WR,324.58000000000004,-97.55272727272727,13,-7.504055944055944,11.0,Worst Positional Season
