fantasy_team,qb_edge_per_week,rb_edge_per_week,te_edge_per_week,wr_edge_per_week,seasons,weeks,total_edge_per_week,strongest_position,weakest_position,overall_rank
Voldemort,0.13570789865871838,3.8801937406855442,-0.8800447093889717,2.0527868852459012,9,122,5.188643815201192,RB,TE,1.0
Post Mahomes,0.4814008941877793,7.12698956780924,0.8130104321907601,-3.245454545454546,9,122,5.175946348733233,RB,WR,2.0
ThreatLevelMidnight,-1.1290312965722802,3.59655737704918,-1.4505365126676601,2.3621758569299547,9,122,3.3791654247391945,RB,TE,3.0
Buttermilk Puuump,0.05601731601731582,0.04186147186147168,1.4164069264069261,0.5159740259740265,3,42,2.03025974025974,TE,RB,4.0
Uncle Rico,0.4527272727272726,0.5599165971643033,-0.42787322768974123,0.7670725604670565,8,109,1.3518432026688911,WR,TE,5.0
The Big Gronkowski,-1.5834575260804769,1.7080327868852463,0.074053651266766,0.3101937406855442,9,122,0.5088226527570796,RB,QB,6.0
Pop Lockett Drop it,-1.0837853949329357,-1.0448137108792848,0.0060953800298061325,2.2573770491803278,9,122,0.13487332339791325,WR,QB,7.0
Big Sack Jack,-0.07718181818181798,-2.691227272727273,0.3879545454545454,1.7719772727272727,6,80,-0.6084772727272725,WR,RB,8.0
Dillon Panthers,2.192027972027972,-8.146433566433567,-1.9276223776223778,6.154755244755244,2,26,-1.727272727272728,WR,RB,9.0
Joe Mantegna,0.2292399403874809,-3.9171236959761555,1.6399552906110282,0.17946348733233988,9,122,-1.8684649776453064,TE,RB,10.0
malle_dips_pouches,0.2076005961251861,1.9206706408345746,-0.9220715350223547,-3.0861102831594636,9,122,-1.8799105812220573,RB,WR,11.0
Malle ❤️ 🐸,2.4385991058122203,-5.0035618479880775,0.19798807749627412,-0.4795529061102837,9,122,-2.846527570789867,QB,RB,12.0
Ginger FC,-0.4630402384500746,-1.4370044709388974,0.22606557377049186,-1.4653055141579736,9,122,-3.139284649776454,TE,WR,13.0
Patty Primetimes,-0.164166666666667,-3.9910037878787885,0.7468560606060605,-2.919071969696969,7,96,-6.327386363636363,TE,RB,14.0
Hello Harvard,0.5220979020979031,-6.599999999999999,-2.262937062937063,0.7020979020979025,1,13,-7.6387412587412555,WR,RB,15.0
