year,week,fantasy_team,edge_position,starter_points,starters_used,league_total_points,teams_in_week,other_team_avg_points,positional_edge
2017,1,Malle ❤️ 🐸,QB,8.32,1,221.08,12,19.341818181818184,-11.021818181818183
2017,1,Malle ❤️ 🐸,RB,29.6,2,268.5,12,21.71818181818182,7.881818181818183
2017,1,Malle ❤️ 🐸,WR,20.1,3,219.2,12,18.099999999999998,2.0000000000000036
2017,1,Malle ❤️ 🐸,TE,8.6,1,74.30000000000001,12,5.972727272727274,2.627272727272725
2017,1,The Big Gronkowski,QB,20.72,1,221.08,12,18.214545454545455,2.505454545454544
2017,1,The Big Gronkowski,RB,23.2,2,268.5,12,22.3,0.8999999999999986
2017,1,The Big Gronkowski,WR,23.5,3,219.2,12,17.79090909090909,5.709090909090911
2017,1,The Big Gronkowski,TE,7.6,1,74.30000000000001,12,6.063636363636365,1.5363636363636344
2017,1,Big Sack Jack,QB,13.6,1,221.08,12,18.861818181818183,-5.2618181818181835
2017,1,Big Sack Jack,RB,13.1,2,268.5,12,23.21818181818182,-10.118181818181819
2017,1,Big Sack Jack,WR,30.0,3,219.2,12,17.2,12.8
2017,1,Big Sack Jack,TE,0.0,1,74.30000000000001,12,6.754545454545456,-6.754545454545456
2017,1,Voldemort,QB,10.68,1,221.08,12,19.12727272727273,-8.447272727272729
2017,1,Voldemort,RB,57.0,3,268.5,12,19.227272727272727,37.77272727272727
2017,1,Voldemort,WR,15.6,2,219.2,12,18.509090909090908,-2.9090909090909083
2017,1,Voldemort,TE,3.6,1,74.30000000000001,12,6.427272727272729,-2.8272727272727285
2017,1,Hello Harvard,QB,36.08,1,221.08,12,16.818181818181817,19.26181818181818
2017,1,Hello Harvard,RB,30.9,3,268.5,12,21.599999999999998,9.3
2017,1,Hello Harvard,WR,12.6,2,219.2,12,18.78181818181818,-6.181818181818182
2017,1,Hello Harvard,TE,18.8,1,74.30000000000001,12,5.045454545454547,13.754545454545454
2017,1,Joe Mantegna,QB,13.92,1,221.08,12,18.832727272727276,-4.912727272727276
2017,1,Joe Mantegna,RB,12.399999999999999,3,268.5,12,23.281818181818185,-10.881818181818186
2017,1,Joe Mantegna,WR,2.5,2,219.2,12,19.7,-17.2
2017,1,Joe Mantegna,TE,4.4,1,74.30000000000001,12,6.354545454545455,-1.954545454545455
2017,1,Dillon Panthers,QB,19.54,1,221.08,12,18.321818181818184,1.2181818181818151
2017,1,Dillon Panthers,RB,12.4,2,268.5,12,23.281818181818185,-10.881818181818184
2017,1,Dillon Panthers,WR,18.5,3,219.2,12,18.245454545454546,0.25454545454545396
2017,1,Dillon Panthers,TE,1.8,1,74.30000000000001,12,6.590909090909093,-4.790909090909093
2017,1,Ginger FC,QB,18.84,1,221.08,12,18.385454545454547,0.45454545454545325
2017,1,Ginger FC,RB,11.4,2,268.5,12,23.372727272727275,-11.972727272727274
2017,1,Ginger FC,WR,17.6,2,219.2,12,18.327272727272728,-0.7272727272727266
2017,1,Ginger FC,TE,10.100000000000001,2,74.30000000000001,12,5.836363636363638,4.263636363636364
2017,1,Post Mahomes,QB,17.64,1,221.08,12,18.494545454545456,-0.8545454545454554
2017,1,Post Mahomes,RB,25.4,2,268.5,12,22.099999999999998,3.3000000000000007
2017,1,Post Mahomes,WR,20.1,3,219.2,12,18.099999999999998,2.0000000000000036
2017,1,Post Mahomes,TE,11.4,1,74.30000000000001,12,5.71818181818182,5.681818181818181
2017,1,Pop Lockett Drop it,QB,19.94,1,221.08,12,18.285454545454545,1.654545454545456
2017,1,Pop Lockett Drop it,RB,13.3,2,268.5,12,23.2,-9.899999999999999
2017,1,Pop Lockett Drop it,WR,10.1,3,219.2,12,19.009090909090908,-8.909090909090908
2017,1,Pop Lockett Drop it,TE,0.4,1,74.30000000000001,12,6.718181818181819,-6.318181818181818
2017,1,ThreatLevelMidnight,QB,19.12,1,221.08,12,18.36,0.7600000000000016
2017,1,ThreatLevelMidnight,RB,18.4,2,268.5,12,22.736363636363635,-4.336363636363636
2017,1,ThreatLevelMidnight,WR,34.3,3,219.2,12,16.80909090909091,17.49090909090909
2017,1,ThreatLevelMidnight,TE,4.3,1,74.30000000000001,12,6.363636363636365,-2.0636363636363653
2017,1,malle_dips_pouches,QB,22.68,1,221.08,12,18.036363636363635,4.6436363636363645
2017,1,malle_dips_pouches,RB,21.4,2,268.5,12,22.463636363636365,-1.0636363636363662
2017,1,malle_dips_pouches,WR,14.3,3,219.2,12,18.627272727272725,-4.3272727272727245
2017,1,malle_dips_pouches,TE,3.3,1,74.30000000000001,12,6.454545454545456,-3.154545454545456
2017,2,The Big Gronkowski,QB,21.52,1,262.68,12,21.923636363636362,-0.40363636363636246
2017,2,The Big Gronkowski,RB,26.0,3,275.7,12,22.7,3.3000000000000007
2017,2,The Big Gronkowski,WR,22.6,2,245.60000000000002,12,20.272727272727277,2.3272727272727245
