year,through_week,fantasy_team,games,wins,losses,ties,actual_win_value,points_for,avg_points,all_play_wins,all_play_losses,all_play_ties,expected_wins,schedule_luck,actual_win_pct,all_play_pct,recent_games,recent_avg_points,recent_all_play_pct,lineup_efficiency_pct,points_left_on_bench,season_scoring_strength,recent_scoring_strength,season_all_play_strength,recent_all_play_strength,scoring_strength,all_play_strength,efficiency_strength,results_strength,power_score,power_rank,scoring_rank,all_play_rank,efficiency_rank,record,previous_rank,rank_change,commentary,yahoo_rank,yahoo_record,yahoo_points_for
2026,1,Pop Lockett Drop it,1,1.0,0.0,0.0,1.0,169.76,169.76,11,0,0,1.0,0.0,1.0,1.0,1,169.76,1.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.17,97.92,1,1,1,1,1-0-0,,0,"No debate at the top: league-best scoring, dominant all-play performance, and flawless lineup execution.",1,1-0-0,169.76
2026,1,Ginger FC 🏆🏆,1,1.0,0.0,0.0,1.0,164.54,164.54,10,1,0,0.91,0.09,1.0,0.91,1,164.54,0.91,94.92,8.8,91.66666666666666,91.66666666666666,91.66666666666666,91.66666666666666,91.67,91.67,75.0,79.17,87.92,2,2,2,4,1-0-0,,0,An elite scoring profile (164.54 per week) and top-tier all-play results make this team an early heavyweight.,2,1-0-0,164.54
2026,1,Patty Primetimes,1,1.0,0.0,0.0,1.0,149.86,149.86,9,2,0,0.82,0.18,1.0,0.82,1,149.86,0.82,97.85,3.3,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33,83.33,91.67,79.17,84.17,3,3,3,2,1-0-0,,0,An elite scoring profile (149.86 per week) and top-tier all-play results make this team an early heavyweight.,3,1-0-0,149.86
2026,1,malle_dips_pouches,1,1.0,0.0,0.0,1.0,149.44,149.44,8,3,0,0.73,0.27,1.0,0.73,1,149.44,0.73,93.79,9.9,75.0,75.0,75.0,75.0,75.0,75.0,66.67,79.17,74.17,4,4,4,5,1-0-0,,0,Scoring and all-play performance both sit in the league's top four; the profile looks legitimately strong.,4,1-0-0,149.44
2026,1,Joe Mantegna,1,0.0,1.0,0.0,0.0,111.76,111.76,6,5,0,0.55,-0.55,0.0,0.55,1,111.76,0.55,90.23,12.1,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,58.33,58.33,58.33,29.17,55.42,5,6,6,6,0-1-0,,0,The 0-1 record undersells the performance; the underlying numbers see a stronger team than the standings do.,8,0-1-0,111.76
2026,1,Malle ❤️ 🐸,1,0.0,1.0,0.0,0.0,120.52,120.52,7,4,0,0.64,-0.64,0.0,0.64,1,120.52,0.64,83.0,24.68,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.67,66.67,16.67,29.17,55.42,6,5,5,11,0-1-0,,0,The 0-1 record undersells the performance; the underlying numbers see a stronger team than the standings do.,7,0-1-0,120.52
2026,1,Uncle Rico,1,0.0,1.0,0.0,0.0,107.46,107.46,5,6,0,0.45,-0.45,0.0,0.45,1,107.46,0.45,89.06,13.2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,29.17,47.92,7,7,7,7,0-1-0,,0,The underlying profile remains uneven; stronger weekly production is needed to make a meaningful move up the board.,9,0-1-0,107.46
2026,1,Post Mahomes,1,1.0,0.0,0.0,1.0,98.36,98.36,3,8,0,0.27,0.73,1.0,0.27,1,98.36,0.27,96.37,3.7,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33,33.33,83.33,79.17,45.42,8,9,9,3,1-0-0,,0,"The win counts, but roughly 8 of the other 11 teams would have beaten this Week 1 score.",5,1-0-0,98.36
2026,1,Voldemort,1,0.0,1.0,0.0,0.0,98.6,98.6,4,7,0,0.36,-0.36,0.0,0.36,1,98.6,0.36,85.74,16.4,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.67,41.67,41.67,29.17,40.42,9,8,8,8,0-1-0,,0,The underlying profile remains uneven; stronger weekly production is needed to make a meaningful move up the board.,10,0-1-0,98.6
2026,1,ThreatLevelMidnight,1,1.0,0.0,0.0,1.0,92.46,92.46,2,9,0,0.18,0.82,1.0,0.18,1,92.46,0.18,85.09,16.2,25.0,25.0,25.0,25.0,25.0,25.0,33.33,79.17,31.67,10,10,10,9,1-0-0,,0,"The win counts, but roughly 9 of the other 11 teams would have beaten this Week 1 score.",6,1-0-0,92.46
2026,1,The Big Gronkowski,1,0.0,1.0,0.0,0.0,84.52,84.52,1,10,0,0.09,-0.09,0.0,0.09,1,84.52,0.09,83.37,16.86,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.67,16.67,25.0,29.17,19.17,11,11,11,10,0-1-0,,0,Bottom-three scoring and all-play results leave very little for the power meter to defend.,11,0-1-0,84.52
2026,1,Buttermilk Puuump,1,0.0,1.0,0.0,0.0,71.4,71.4,0,11,0,0.0,0.0,0.0,0.0,1,71.4,0.0,77.61,20.6,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.33,8.33,8.33,29.17,10.42,12,12,12,12,0-1-0,,0,Lineup execution has been a drag at 77.6%; too much usable production is being left on the bench.,12,0-1-0,71.4
