year,through_week,fantasy_team,games,wins,losses,ties,actual_win_value,points_for,avg_points,all_play_wins,all_play_losses,all_play_ties,expected_wins,schedule_luck,actual_win_pct,all_play_pct,recent_games,recent_avg_points,recent_all_play_pct,lineup_efficiency_pct,points_left_on_bench,season_scoring_strength,recent_scoring_strength,season_all_play_strength,recent_all_play_strength,scoring_strength,all_play_strength,efficiency_strength,results_strength,power_score,power_rank,scoring_rank,all_play_rank,efficiency_rank,record,previous_rank,rank_change,commentary
2017,1,Hello Harvard,1,1.0,0.0,0.0,1.0,132.38,132.38,11,0,0,1.0,0.0,1.0,1.0,1,132.38,1.0,50.0,,100.0,100.0,100.0,100.0,100.0,100.0,54.17,79.17,91.04,1,1,1,1,1-0-0,,0,"No debate at the top: league-best scoring, dominant all-play performance, and flawless lineup execution."
2017,1,The Big Gronkowski,1,1.0,0.0,0.0,1.0,108.02,108.02,10,1,0,0.91,0.09,1.0,0.91,1,108.02,0.91,50.0,,91.66666666666666,91.66666666666666,91.66666666666666,91.66666666666666,91.67,91.67,54.17,79.17,84.79,2,2,2,1,1-0-0,,0,An elite scoring profile (108.02 per week) and top-tier all-play results make this team an early heavyweight.
2017,1,Post Mahomes,1,1.0,0.0,0.0,1.0,103.54,103.54,9,2,0,0.82,0.18,1.0,0.82,1,103.54,0.82,50.0,,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33,83.33,54.17,79.17,78.54,3,3,3,1,1-0-0,,0,An elite scoring profile (103.54 per week) and top-tier all-play results make this team an early heavyweight.
2017,1,Voldemort,1,1.0,0.0,0.0,1.0,98.88,98.88,8,3,0,0.73,0.27,1.0,0.73,1,98.88,0.73,50.0,,75.0,75.0,75.0,75.0,75.0,75.0,54.17,79.17,72.29,4,4,4,1,1-0-0,,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,1,ThreatLevelMidnight,1,1.0,0.0,0.0,1.0,82.12,82.12,7,4,0,0.64,0.36,1.0,0.64,1,82.12,0.64,50.0,,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.67,66.67,54.17,79.17,66.04,5,5,5,1,1-0-0,,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,1,Malle ❤️ 🐸,1,0.0,1.0,0.0,0.0,78.62,78.62,6,5,0,0.55,-0.55,0.0,0.55,1,78.62,0.55,50.0,,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,58.33,58.33,54.17,29.17,54.79,6,6,6,1,0-1-0,,0,The 0-1 record undersells the performance; the underlying numbers see a stronger team than the standings do.
2017,1,Ginger FC 🏆🏆,1,1.0,0.0,0.0,1.0,71.94,71.94,5,6,0,0.45,0.55,1.0,0.45,1,71.94,0.45,50.0,,50.0,50.0,50.0,50.0,50.0,50.0,54.17,79.17,53.54,7,7,7,1,1-0-0,,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,1,malle_dips_pouches,1,0.0,1.0,0.0,0.0,68.68,68.68,4,7,0,0.36,-0.36,0.0,0.36,1,68.68,0.36,50.0,,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.67,41.67,54.17,29.17,42.29,8,8,8,1,0-1-0,,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,1,Dillon Panthers,1,0.0,1.0,0.0,0.0,65.24,65.24,3,8,0,0.27,-0.27,0.0,0.27,1,65.24,0.27,50.0,,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33,33.33,54.17,29.17,36.04,9,9,9,1,0-1-0,,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,1,Big Sack Jack,1,0.0,1.0,0.0,0.0,61.7,61.7,2,9,0,0.18,-0.18,0.0,0.18,1,61.7,0.18,50.0,,25.0,25.0,25.0,25.0,25.0,25.0,54.17,29.17,29.79,10,10,10,1,0-1-0,,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,1,Pop Lockett Drop it,1,0.0,1.0,0.0,0.0,58.74,58.74,1,10,0,0.09,-0.09,0.0,0.09,1,58.74,0.09,50.0,,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.67,16.67,54.17,29.17,23.54,11,11,11,1,0-1-0,,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,1,Joe Mantegna,1,0.0,1.0,0.0,0.0,48.22,48.22,0,11,0,0.0,0.0,0.0,0.0,1,48.22,0.0,50.0,,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.33,8.33,54.17,29.17,17.29,12,12,12,1,0-1-0,,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,2,Voldemort,2,2.0,0.0,0.0,2.0,209.26,104.63,17,5,0,1.55,0.45,1.0,0.77,2,104.63,0.77,50.0,,100.0,100.0,91.66666666666666,91.66666666666666,100.0,91.67,54.17,91.67,89.38,1,1,2,1,2-0-0,4,3,Up 3 spots after a strong stretch; the underlying performance is finally showing up in the rankings.
2017,2,The Big Gronkowski,2,1.0,1.0,0.0,1.0,205.34,102.67,18,4,0,1.64,-0.64,0.5,0.82,2,102.67,0.82,50.0,,91.66666666666666,91.66666666666666,100.0,100.0,91.67,100.0,54.17,54.17,85.21,2,2,1,1,1-1-0,2,0,An elite scoring profile (102.67 per week) and top-tier all-play results make this team an early heavyweight.
2017,2,Dillon Panthers,2,1.0,1.0,0.0,1.0,197.16,98.58,14,8,0,1.27,-0.27,0.5,0.64,2,98.58,0.64,50.0,,83.33333333333334,83.33333333333334,70.83333333333334,70.83333333333334,83.33,70.83,54.17,54.17,71.67,3,3,3,1,1-1-0,9,6,Up 6 spots after a strong stretch; the underlying performance is finally showing up in the rankings.
2017,2,malle_dips_pouches,2,1.0,1.0,0.0,1.0,194.28,97.14,14,8,0,1.27,-0.27,0.5,0.64,2,97.14,0.64,50.0,,75.0,75.0,70.83333333333334,70.83333333333334,75.0,70.83,54.17,54.17,68.33,4,4,3,1,1-1-0,8,4,Up 4 spots after a strong stretch; the underlying performance is finally showing up in the rankings.
2017,2,ThreatLevelMidnight,2,2.0,0.0,0.0,2.0,178.14,89.07,14,8,0,1.27,0.73,1.0,0.64,2,89.07,0.64,50.0,,50.0,50.0,70.83333333333334,70.83333333333334,50.0,70.83,54.17,91.67,62.08,5,7,3,1,2-0-0,5,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,2,Post Mahomes,2,1.0,1.0,0.0,1.0,185.08,92.54,14,8,0,1.27,-0.27,0.5,0.64,2,92.54,0.64,50.0,,58.333333333333336,58.333333333333336,70.83333333333334,70.83333333333334,58.33,70.83,54.17,54.17,61.67,6,6,3,1,1-1-0,3,-3,Down 3 spots as the recent numbers cool off; this team needs a response before the slide becomes a trend.
2017,2,Hello Harvard,2,1.0,1.0,0.0,1.0,193.66,96.83,12,10,0,1.09,-0.09,0.5,0.55,2,96.83,0.55,50.0,,66.66666666666666,66.66666666666666,50.0,50.0,66.67,50.0,54.17,54.17,57.71,7,5,7,1,1-1-0,1,-6,Down 6 spots as the recent numbers cool off; this team needs a response before the slide becomes a trend.
2017,2,Ginger FC 🏆🏆,2,2.0,0.0,0.0,2.0,164.74,82.37,11,11,0,1.0,1.0,1.0,0.5,2,82.37,0.5,50.0,,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.67,41.67,54.17,91.67,48.54,8,8,8,1,2-0-0,7,-1,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,2,Malle ❤️ 🐸,2,0.0,2.0,0.0,0.0,137.74,68.87,6,16,0,0.55,-0.55,0.0,0.27,2,68.87,0.27,50.0,,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33,33.33,54.17,16.67,34.79,9,9,9,1,0-2-0,6,-3,Down 3 spots as the recent numbers cool off; this team needs a response before the slide becomes a trend.
2017,2,Big Sack Jack,2,0.0,2.0,0.0,0.0,135.24,67.62,5,17,0,0.45,-0.45,0.0,0.23,2,67.62,0.23,50.0,,25.0,25.0,25.0,25.0,25.0,25.0,54.17,16.67,28.54,10,10,10,1,0-2-0,10,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,2,Joe Mantegna,2,1.0,1.0,0.0,1.0,128.3,64.15,4,18,0,0.36,0.64,0.5,0.18,2,64.15,0.18,50.0,,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.67,16.67,54.17,54.17,26.04,11,11,11,1,1-1-0,12,1,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,2,Pop Lockett Drop it,2,0.0,2.0,0.0,0.0,127.52,63.76,3,19,0,0.27,-0.27,0.0,0.14,2,63.76,0.14,50.0,,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.33,8.33,54.17,16.67,16.04,12,12,12,1,0-2-0,11,-1,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,3,Voldemort,3,3.0,0.0,0.0,3.0,350.28,116.76,28,5,0,2.55,0.45,1.0,0.85,3,116.76,0.85,50.0,,100.0,100.0,100.0,100.0,100.0,100.0,54.17,95.83,92.71,1,1,1,1,3-0-0,1,0,"No debate at the top: league-best scoring, dominant all-play performance, and flawless lineup execution."
2017,3,Post Mahomes,3,2.0,1.0,0.0,2.0,298.88,99.63,24,9,0,2.18,-0.18,0.67,0.73,3,99.63,0.73,50.0,,91.66666666666666,91.66666666666666,91.66666666666666,91.66666666666666,91.67,91.67,54.17,75.0,84.38,2,2,2,1,2-1-0,6,4,Up 4 spots after a strong stretch; the underlying performance is finally showing up in the rankings.
2017,3,malle_dips_pouches,3,1.0,2.0,0.0,1.0,282.7,94.23,21,12,0,1.91,-0.91,0.33,0.64,3,94.23,0.64,50.0,,83.33333333333334,83.33333333333334,79.16666666666666,79.16666666666666,83.33,79.17,54.17,37.5,72.92,3,3,3,1,1-2-0,4,1,An elite scoring profile (94.23 per week) and top-tier all-play results make this team an early heavyweight.
2017,3,The Big Gronkowski,3,1.0,2.0,0.0,1.0,276.64,92.21,21,12,0,1.91,-0.91,0.33,0.64,3,92.21,0.64,50.0,,66.66666666666666,66.66666666666666,79.16666666666666,79.16666666666666,66.67,79.17,54.17,37.5,66.25,4,5,3,1,1-2-0,2,-2,The 1-2 record undersells the performance; the underlying numbers see a stronger team than the standings do.
2017,3,Dillon Panthers,3,1.0,2.0,0.0,1.0,281.58,93.86,20,13,0,1.82,-0.82,0.33,0.61,3,93.86,0.61,50.0,,75.0,75.0,66.66666666666666,66.66666666666666,75.0,66.67,54.17,37.5,65.21,5,4,5,1,1-2-0,3,-2,The 1-2 record undersells the performance; the underlying numbers see a stronger team than the standings do.
2017,3,ThreatLevelMidnight,3,3.0,0.0,0.0,3.0,254.86,84.95,18,15,0,1.64,1.36,1.0,0.55,3,84.95,0.55,50.0,,50.0,50.0,58.333333333333336,58.333333333333336,50.0,58.33,54.17,95.83,58.13,6,7,6,1,3-0-0,5,-1,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,3,Hello Harvard,3,1.0,2.0,0.0,1.0,263.52,87.84,13,20,0,1.18,-0.18,0.33,0.39,3,87.84,0.39,50.0,,58.333333333333336,58.333333333333336,41.66666666666667,41.66666666666667,58.33,41.67,54.17,37.5,49.79,7,6,7,1,1-2-0,7,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,3,Joe Mantegna,3,2.0,1.0,0.0,2.0,233.52,77.84,13,20,0,1.18,0.82,0.67,0.39,3,77.84,0.39,50.0,,33.33333333333333,33.33333333333333,41.66666666666667,41.66666666666667,33.33,41.67,54.17,75.0,43.54,8,9,7,1,2-1-0,11,3,Up 3 spots after a strong stretch; the underlying performance is finally showing up in the rankings.
2017,3,Big Sack Jack,3,1.0,2.0,0.0,1.0,234.22,78.07,13,20,0,1.18,-0.18,0.33,0.39,3,78.07,0.39,50.0,,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.67,41.67,54.17,37.5,43.12,9,8,7,1,1-2-0,10,1,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,3,Ginger FC 🏆🏆,3,2.0,1.0,0.0,2.0,231.5,77.17,11,22,0,1.0,1.0,0.67,0.33,3,77.17,0.33,50.0,,25.0,25.0,20.833333333333336,20.833333333333336,25.0,20.83,54.17,75.0,32.92,10,10,10,1,2-1-0,8,-2,The record is doing more work than the underlying weekly performance; the power meter remains skeptical.
2017,3,Malle ❤️ 🐸,3,0.0,3.0,0.0,0.0,222.08,74.03,11,22,0,1.0,-1.0,0.0,0.33,3,74.03,0.33,50.0,,16.666666666666664,16.666666666666664,20.833333333333336,20.833333333333336,16.67,20.83,54.17,8.33,22.92,11,11,10,1,0-3-0,9,-2,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,3,Pop Lockett Drop it,3,1.0,2.0,0.0,1.0,198.78,66.26,5,28,0,0.45,0.55,0.33,0.15,3,66.26,0.15,50.0,,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.33,8.33,54.17,37.5,18.12,12,12,12,1,1-2-0,12,0,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,4,Voldemort,4,4.0,0.0,0.0,4.0,457.96,114.49,39,5,0,3.55,0.45,1.0,0.89,3,119.69,0.94,50.0,,100.0,100.0,100.0,100.0,100.0,100.0,54.17,95.83,92.71,1,1,1,1,4-0-0,1,0,"No debate at the top: league-best scoring, dominant all-play performance, and flawless lineup execution."
2017,4,Post Mahomes,4,3.0,1.0,0.0,3.0,405.3,101.32,34,10,0,3.09,-0.09,0.75,0.77,3,100.59,0.76,50.0,,91.66666666666666,83.33333333333334,91.66666666666666,91.66666666666666,89.17,91.67,54.17,79.17,83.79,2,2,2,1,3-1-0,2,0,An elite scoring profile (101.33 per week) and top-tier all-play results make this team an early heavyweight.
2017,4,malle_dips_pouches,4,1.0,3.0,0.0,1.0,378.82,94.7,27,17,0,2.45,-1.45,0.25,0.61,3,103.38,0.7,50.0,,83.33333333333334,91.66666666666666,79.16666666666666,83.33333333333334,85.83,80.42,54.17,29.17,73.52,3,3,3,1,1-3-0,3,0,An elite scoring profile (94.70 per week) and top-tier all-play results make this team an early heavyweight.
2017,4,ThreatLevelMidnight,4,4.0,0.0,0.0,4.0,359.74,89.94,27,17,0,2.45,1.55,1.0,0.61,3,92.54,0.61,50.0,,66.66666666666666,58.333333333333336,79.16666666666666,66.66666666666666,64.17,75.42,54.17,95.83,69.77,4,5,3,1,4-0-0,6,2,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,4,The Big Gronkowski,4,2.0,2.0,0.0,2.0,366.88,91.72,26,18,0,2.36,-0.36,0.5,0.59,3,86.29,0.48,50.0,,75.0,41.66666666666667,66.66666666666666,50.0,65.0,61.67,54.17,58.33,61.54,5,4,5,1,2-2-0,4,-1,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,4,Joe Mantegna,4,3.0,1.0,0.0,3.0,338.3,84.58,21,23,0,1.91,1.09,0.75,0.48,3,96.69,0.64,50.0,,50.0,75.0,54.166666666666664,75.0,57.5,60.42,54.17,79.17,60.19,6,7,6,1,3-1-0,8,2,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,4,Dillon Panthers,4,1.0,3.0,0.0,1.0,352.64,88.16,21,23,0,1.91,-0.91,0.25,0.48,3,95.8,0.55,50.0,,58.333333333333336,66.66666666666666,54.166666666666664,58.333333333333336,60.83,55.42,54.17,29.17,54.77,7,6,6,1,1-3-0,5,-2,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,4,Ginger FC 🏆🏆,4,2.0,2.0,0.0,2.0,331.96,82.99,18,26,0,1.64,0.36,0.5,0.41,3,86.67,0.39,50.0,,33.33333333333333,50.0,41.66666666666667,37.5,38.33,40.42,54.17,58.33,43.44,8,9,8,1,2-2-0,10,2,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,4,Hello Harvard,4,1.0,3.0,0.0,1.0,336.58,84.14,16,28,0,1.45,-0.45,0.25,0.36,3,68.07,0.15,50.0,,41.66666666666667,8.333333333333332,33.33333333333333,12.5,31.67,27.08,54.17,29.17,33.19,9,8,9,1,1-3-0,7,-2,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,4,Big Sack Jack,4,1.0,3.0,0.0,1.0,306.1,76.53,15,29,0,1.36,-0.36,0.25,0.34,3,81.47,0.39,50.0,,25.0,33.33333333333333,25.0,37.5,27.5,28.75,54.17,29.17,32.1,10,10,10,1,1-3-0,9,-1,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,4,Pop Lockett Drop it,4,2.0,2.0,0.0,2.0,288.96,72.24,9,35,0,0.82,1.18,0.5,0.2,3,76.74,0.24,50.0,,16.666666666666664,25.0,8.333333333333332,25.0,19.17,13.33,54.17,58.33,26.29,11,11,12,1,2-2-0,12,1,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,4,Malle ❤️ 🐸,4,0.0,4.0,0.0,0.0,282.96,70.74,11,33,0,1.0,-1.0,0.0,0.25,3,68.11,0.15,50.0,,8.333333333333332,16.666666666666664,16.666666666666664,12.5,10.83,15.42,54.17,8.33,18.69,12,12,11,1,0-4-0,11,-1,Elite lineup execution (50.0%) is squeezing nearly every available point out of the roster.
2017,5,Voldemort,5,5.0,0.0,0.0,5.0,547.08,109.42,45,10,0,4.09,0.91,1.0,0.82,3,112.61,0.85,50.0,,100.0,100.0,95.83333333333334,91.66666666666666,100.0,94.58,54.17,100.0,91.23,1,1,1,1,5-0-0,1,0,"No debate at the top: league-best scoring, dominant all-play performance, and flawless lineup execution."
