canonical_team,stack_weeks,stack_wins,stack_win_rate,stack_avg_score,stack_avg_margin,stack_top_quartile_rate,total_team_weeks,stack_rate
ThreatLevelMidnight,30,18,0.6,115.55866666666667,11.252666666666666,0.43333333333333335,122,0.2459016393442623
Malle ❤️ 🐸,30,16,0.5333333333333333,99.21533333333333,0.5660000000000002,0.2,122,0.2459016393442623
The Big Gronkowski,24,13,0.5416666666666666,118.3925,4.8675,0.4583333333333333,122,0.19672131147540983
malle_dips_pouches,24,13,0.5416666666666666,101.62833333333333,2.769166666666665,0.25,122,0.19672131147540983
Voldemort,23,14,0.6086956521739131,104.45913043478261,2.9799999999999995,0.43478260869565216,122,0.1885245901639344
Ginger FC,20,9,0.45,111.582,2.0400000000000005,0.35,122,0.16393442622950818
Patty Primetimes,16,4,0.25,101.4625,-9.544999999999998,0.125,96,0.16666666666666666
Uncle Rico,16,5,0.3125,98.41375000000001,-10.94125,0.125,109,0.14678899082568808
Buttermilk Puuump,13,6,0.46153846153846156,109.12615384615385,3.940000000000002,0.3076923076923077,42,0.30952380952380953
Post Mahomes,8,4,0.5,109.5025,5.815000000000001,0.25,122,0.06557377049180328
Pop Lockett Drop it,6,2,0.3333333333333333,111.62666666666667,-23.686666666666667,0.5,122,0.04918032786885246
Joe Mantegna,3,2,0.6666666666666666,114.17333333333333,-3.7133333333333334,0.3333333333333333,122,0.02459016393442623
Big Sack Jack,3,2,0.6666666666666666,100.44666666666667,14.606666666666664,0.3333333333333333,80,0.0375
