qb,wr,qb_nfl_team,stack_weeks,wins,win_rate,avg_team_score,avg_margin,top_quartile_rate,avg_qb_points,avg_wr_points,avg_stack_player_points
Jared Goff,Amon-Ra St. Brown,DET,25,7,0.28,105.66879999999999,-8.9624,0.2,20.961599999999997,15.099200000000002,36.0608
Matthew Stafford,Cooper Kupp,LA,13,7,0.5384615384615384,123.07846153846154,5.3015384615384615,0.46153846153846156,26.986153846153847,21.45384615384615,48.44
Tom Brady,Mike Evans,TB,13,10,0.7692307692307693,115.63538461538461,15.926153846153843,0.38461538461538464,29.704615384615387,14.384615384615385,44.089230769230774
Russell Wilson,DK Metcalf,SEA,12,5,0.4166666666666667,115.48833333333333,-2.4050000000000025,0.3333333333333333,30.213333333333335,16.283333333333335,46.49666666666667
Kirk Cousins,Adam Thielen,MIN,12,7,0.5833333333333334,107.44666666666666,2.3633333333333333,0.4166666666666667,23.233333333333334,14.383333333333333,37.61666666666667
Ryan Tannehill,A.J. Brown,TEN,11,4,0.36363636363636365,108.84363636363636,-7.861818181818185,0.09090909090909091,20.925454545454546,10.200000000000001,31.125454545454545
Tua Tagovailoa,Jaylen Waddle,MIA,11,3,0.2727272727272727,103.49454545454546,-4.090909090909088,0.09090909090909091,19.62181818181818,10.590909090909092,30.21272727272727
Jayden Daniels,Terry McLaurin,WAS,10,6,0.6,113.63,3.2079999999999984,0.5,22.41,14.64,37.05
Jared Goff,Cooper Kupp,LA,10,7,0.7,105.00999999999999,3.930000000000001,0.4,16.759999999999998,8.33,25.089999999999996
Derek Carr,Michael Crabtree,OAK,9,6,0.6666666666666666,102.07111111111111,15.38888888888889,0.4444444444444444,19.515555555555554,8.222222222222221,27.737777777777776
Dak Prescott,Amari Cooper,DAL,9,3,0.3333333333333333,85.89777777777778,-14.164444444444444,0.1111111111111111,23.797777777777778,10.9,34.69777777777778
Trevor Lawrence,Calvin Ridley,JAX,7,5,0.7142857142857143,125.09714285714287,25.377142857142854,0.42857142857142855,21.725714285714282,12.057142857142859,33.78285714285714
Tom Brady,Chris Hogan,NE,7,6,0.8571428571428571,111.46571428571428,21.50857142857143,0.7142857142857143,26.537142857142857,10.428571428571429,36.965714285714284
