year,team,actual_wins,actual_losses,actual_ties,games,average_schedule_wins,best_schedule_wins,worst_schedule_wins,schedule_win_std,schedules_tested,actual_win_equivalent,schedule_luck,schedule_range,best_schedule_team,best_schedule_record_wins,worst_schedule_team,worst_schedule_record_wins,schedule_luck_rank,schedule_difficulty_rank,extreme_type
2018,malle_dips_pouches,11.0,2.0,0.0,13,7.25,11.0,5.0,1.9128750375000736,12,11.0,3.75,6.0,malle_dips_pouches,11.0,Ginger FC,5.0,1,12,Most Helped
2023,Joe Mantegna,13.0,1.0,0.0,14,9.25,13.0,5.0,2.2207697273283835,12,13.0,3.75,8.0,Joe Mantegna,13.0,malle_dips_pouches,5.0,1,12,Most Helped
2019,Voldemort,12.0,1.0,0.0,13,8.916666666666666,12.0,7.0,1.2401124093721456,12,12.0,3.083333333333334,5.0,Voldemort,12.0,Joe Mantegna,7.0,1,12,Most Helped
2021,Malle ❤️ 🐸,11.0,3.0,0.0,14,7.916666666666667,11.0,5.0,2.0652243256245835,12,11.0,3.083333333333333,6.0,Malle ❤️ 🐸,11.0,The Big Gronkowski,5.0,1,12,Most Helped
2017,Pop Lockett Drop it,9.0,4.0,0.0,13,5.916666666666667,9.0,4.0,1.6213537179739277,12,9.0,3.083333333333333,5.0,Pop Lockett Drop it,9.0,The Big Gronkowski,4.0,1,12,Most Helped
2017,Ginger FC,10.0,3.0,0.0,13,7.166666666666667,10.0,5.0,1.6422453217986943,12,10.0,2.833333333333333,5.0,Ginger FC,10.0,Malle ❤️ 🐸,5.0,2,11,Most Helped
2021,ThreatLevelMidnight,11.0,3.0,0.0,14,8.333333333333334,11.0,5.0,2.015094553763188,12,11.0,2.666666666666666,6.0,Malle ❤️ 🐸,11.0,Ginger FC,5.0,2,11,Most Helped
2025,Patty Primetimes,12.0,2.0,0.0,14,9.416666666666666,12.0,7.0,1.3113721705515067,12,12.0,2.583333333333334,5.0,Patty Primetimes,12.0,Malle ❤️ 🐸,7.0,1,12,Most Helped
2023,malle_dips_pouches,8.0,6.0,0.0,14,5.5,9.0,2.0,2.195035721390843,12,8.0,2.5,7.0,Joe Mantegna,9.0,Pop Lockett Drop it,2.0,2,11,Most Helped
2024,Malle ❤️ 🐸,10.0,4.0,0.0,14,7.708333333333333,11.0,6.0,1.484133253839262,12,10.0,2.291666666666667,5.0,The Big Gronkowski,11.0,Pop Lockett Drop it,6.0,1,12,Most Helped
2018,The Big Gronkowski,7.0,6.0,0.0,13,4.75,8.0,3.0,1.712255291076124,12,7.0,2.25,5.0,malle_dips_pouches,8.0,Ginger FC,3.0,2,11,Most Helped
2022,Post Mahomes,7.0,7.0,0.0,14,4.75,7.0,2.0,1.2880570286640685,12,7.0,2.25,5.0,Post Mahomes,7.0,Uncle Rico,2.0,1,12,Most Helped
2025,malle_dips_pouches,6.0,8.0,0.0,14,3.8333333333333335,6.0,1.0,1.696699112626596,12,6.0,2.1666666666666665,5.0,The Big Gronkowski,6.0,Joe Mantegna,1.0,2,11,Most Helped
2020,Uncle Rico,8.0,5.0,0.0,13,5.916666666666667,8.0,3.0,1.3113721705515067,12,8.0,2.083333333333333,5.0,Uncle Rico,8.0,ThreatLevelMidnight,3.0,1,12,Most Helped
