year,team,schedule_team,wins,losses,ties,games,win_equivalent,is_actual_schedule
2017,Big Sack Jack,Big Sack Jack,7.0,6.0,0.0,13,7.0,True
2017,Big Sack Jack,Dillon Panthers,8.0,5.0,0.0,13,8.0,False
2017,Big Sack Jack,Ginger FC,10.0,3.0,0.0,13,10.0,False
2017,Big Sack Jack,Hello Harvard,6.0,7.0,0.0,13,6.0,False
2017,Big Sack Jack,Joe Mantegna,10.0,3.0,0.0,13,10.0,False
2017,Big Sack Jack,Malle ❤️ 🐸,5.0,8.0,0.0,13,5.0,False
2017,Big Sack Jack,Pop Lockett Drop it,8.0,5.0,0.0,13,8.0,False
2017,Big Sack Jack,Post Mahomes,9.0,4.0,0.0,13,9.0,False
2017,Big Sack Jack,The Big Gronkowski,7.0,6.0,0.0,13,7.0,False
2017,Big Sack Jack,ThreatLevelMidnight,6.0,7.0,0.0,13,6.0,False
2017,Big Sack Jack,Voldemort,8.0,5.0,0.0,13,8.0,False
2017,Big Sack Jack,malle_dips_pouches,6.0,7.0,0.0,13,6.0,False
2017,Dillon Panthers,Big Sack Jack,3.0,10.0,0.0,13,3.0,False
2017,Dillon Panthers,Dillon Panthers,4.0,9.0,0.0,13,4.0,True
2017,Dillon Panthers,Ginger FC,7.0,6.0,0.0,13,7.0,False
2017,Dillon Panthers,Hello Harvard,8.0,5.0,0.0,13,8.0,False
2017,Dillon Panthers,Joe Mantegna,8.0,5.0,0.0,13,8.0,False
2017,Dillon Panthers,Malle ❤️ 🐸,3.0,10.0,0.0,13,3.0,False
2017,Dillon Panthers,Pop Lockett Drop it,6.0,7.0,0.0,13,6.0,False
2017,Dillon Panthers,Post Mahomes,5.0,8.0,0.0,13,5.0,False
2017,Dillon Panthers,The Big Gronkowski,5.0,8.0,0.0,13,5.0,False
2017,Dillon Panthers,ThreatLevelMidnight,4.0,9.0,0.0,13,4.0,False
2017,Dillon Panthers,Voldemort,6.0,7.0,0.0,13,6.0,False
2017,Dillon Panthers,malle_dips_pouches,4.0,9.0,0.0,13,4.0,False
2017,Ginger FC,Big Sack Jack,6.0,7.0,0.0,13,6.0,False
2017,Ginger FC,Dillon Panthers,9.0,4.0,0.0,13,9.0,False
2017,Ginger FC,Ginger FC,10.0,3.0,0.0,13,10.0,True
2017,Ginger FC,Hello Harvard,6.0,7.0,0.0,13,6.0,False
2017,Ginger FC,Joe Mantegna,9.0,4.0,0.0,13,9.0,False
2017,Ginger FC,Malle ❤️ 🐸,5.0,8.0,0.0,13,5.0,False
2017,Ginger FC,Pop Lockett Drop it,8.0,5.0,0.0,13,8.0,False
2017,Ginger FC,Post Mahomes,7.0,6.0,0.0,13,7.0,False
2017,Ginger FC,The Big Gronkowski,5.0,8.0,0.0,13,5.0,False
2017,Ginger FC,ThreatLevelMidnight,6.0,7.0,0.0,13,6.0,False
2017,Ginger FC,Voldemort,8.0,5.0,0.0,13,8.0,False
2017,Ginger FC,malle_dips_pouches,7.0,6.0,0.0,13,7.0,False
2017,Hello Harvard,Big Sack Jack,5.0,8.0,0.0,13,5.0,False
2017,Hello Harvard,Dillon Panthers,4.0,9.0,0.0,13,4.0,False
2017,Hello Harvard,Ginger FC,5.0,8.0,0.0,13,5.0,False
2017,Hello Harvard,Hello Harvard,5.0,8.0,0.0,13,5.0,True
2017,Hello Harvard,Joe Mantegna,6.0,7.0,0.0,13,6.0,False
2017,Hello Harvard,Malle ❤️ 🐸,5.0,8.0,0.0,13,5.0,False
2017,Hello Harvard,Pop Lockett Drop it,5.0,8.0,0.0,13,5.0,False
2017,Hello Harvard,Post Mahomes,3.0,10.0,0.0,13,3.0,False
2017,Hello Harvard,The Big Gronkowski,4.0,9.0,0.0,13,4.0,False
2017,Hello Harvard,ThreatLevelMidnight,5.0,8.0,0.0,13,5.0,False
2017,Hello Harvard,Voldemort,5.0,8.0,0.0,13,5.0,False
2017,Hello Harvard,malle_dips_pouches,7.0,6.0,0.0,13,7.0,False
2017,Joe Mantegna,Big Sack Jack,4.0,9.0,0.0,13,4.0,False
2017,Joe Mantegna,Dillon Panthers,4.0,9.0,0.0,13,4.0,False
2017,Joe Mantegna,Ginger FC,4.0,9.0,0.0,13,4.0,False
2017,Joe Mantegna,Hello Harvard,4.0,9.0,0.0,13,4.0,False
2017,Joe Mantegna,Joe Mantegna,5.0,8.0,0.0,13,5.0,True
2017,Joe Mantegna,Malle ❤️ 🐸,3.0,10.0,0.0,13,3.0,False
2017,Joe Mantegna,Pop Lockett Drop it,3.0,10.0,0.0,13,3.0,False
2017,Joe Mantegna,Post Mahomes,3.0,10.0,0.0,13,3.0,False
2017,Joe Mantegna,The Big Gronkowski,3.0,10.0,0.0,13,3.0,False
2017,Joe Mantegna,ThreatLevelMidnight,4.0,9.0,0.0,13,4.0,False
2017,Joe Mantegna,Voldemort,4.0,9.0,0.0,13,4.0,False
2017,Joe Mantegna,malle_dips_pouches,3.0,10.0,0.0,13,3.0,False
2017,Malle ❤️ 🐸,Big Sack Jack,3.0,10.0,0.0,13,3.0,False
2017,Malle ❤️ 🐸,Dillon Panthers,4.0,9.0,0.0,13,4.0,False
2017,Malle ❤️ 🐸,Ginger FC,5.0,8.0,0.0,13,5.0,False
2017,Malle ❤️ 🐸,Hello Harvard,5.0,8.0,0.0,13,5.0,False
2017,Malle ❤️ 🐸,Joe Mantegna,5.0,8.0,0.0,13,5.0,False
2017,Malle ❤️ 🐸,Malle ❤️ 🐸,3.0,10.0,0.0,13,3.0,True
2017,Malle ❤️ 🐸,Pop Lockett Drop it,5.0,8.0,0.0,13,5.0,False
2017,Malle ❤️ 🐸,Post Mahomes,5.0,8.0,0.0,13,5.0,False
2017,Malle ❤️ 🐸,The Big Gronkowski,2.0,11.0,0.0,13,2.0,False
2017,Malle ❤️ 🐸,ThreatLevelMidnight,6.0,7.0,0.0,13,6.0,False
2017,Malle ❤️ 🐸,Voldemort,4.0,9.0,0.0,13,4.0,False
2017,Malle ❤️ 🐸,malle_dips_pouches,4.0,9.0,0.0,13,4.0,False
2017,Pop Lockett Drop it,Big Sack Jack,6.0,7.0,0.0,13,6.0,False
2017,Pop Lockett Drop it,Dillon Panthers,7.0,6.0,0.0,13,7.0,False
2017,Pop Lockett Drop it,Ginger FC,5.0,8.0,0.0,13,5.0,False
2017,Pop Lockett Drop it,Hello Harvard,7.0,6.0,0.0,13,7.0,False
2017,Pop Lockett Drop it,Joe Mantegna,6.0,7.0,0.0,13,6.0,False
2017,Pop Lockett Drop it,Malle ❤️ 🐸,5.0,8.0,0.0,13,5.0,False
2017,Pop Lockett Drop it,Pop Lockett Drop it,9.0,4.0,0.0,13,9.0,True
2017,Pop Lockett Drop it,Post Mahomes,6.0,7.0,0.0,13,6.0,False
