year,team,actual_wins,actual_losses,actual_ties,games,average_schedule_wins,best_schedule_wins,worst_schedule_wins,schedule_win_std,schedules_tested,actual_win_equivalent,schedule_luck,schedule_range,best_schedule_team,best_schedule_record_wins,worst_schedule_team,worst_schedule_record_wins,schedule_luck_rank,schedule_difficulty_rank
2017,Big Sack Jack,7.0,6.0,0.0,13,7.5,10.0,5.0,1.623688281771977,12,7.0,-0.5,5.0,Ginger FC,10.0,Malle ❤️ 🐸,5.0,8,5
2017,Dillon Panthers,4.0,9.0,0.0,13,5.25,8.0,3.0,1.764549903980152,12,4.0,-1.25,5.0,Hello Harvard,8.0,Big Sack Jack,3.0,10,2
2017,Ginger FC,10.0,3.0,0.0,13,7.166666666666667,10.0,5.0,1.6422453217986943,12,10.0,2.833333333333333,5.0,Ginger FC,10.0,Malle ❤️ 🐸,5.0,2,11
2017,Hello Harvard,5.0,8.0,0.0,13,4.916666666666667,7.0,3.0,0.9962049198956219,12,5.0,0.08333333333333304,4.0,malle_dips_pouches,7.0,Post Mahomes,3.0,4,9
2017,Joe Mantegna,5.0,8.0,0.0,13,3.6666666666666665,5.0,3.0,0.6513389472789296,12,5.0,1.3333333333333335,2.0,Joe Mantegna,5.0,Malle ❤️ 🐸,3.0,3,10
2017,Malle ❤️ 🐸,3.0,10.0,0.0,13,4.25,6.0,2.0,1.1381803659589922,12,3.0,-1.25,4.0,ThreatLevelMidnight,6.0,The Big Gronkowski,2.0,10,2
2017,Pop Lockett Drop it,9.0,4.0,0.0,13,5.916666666666667,9.0,4.0,1.6213537179739277,12,9.0,3.083333333333333,5.0,Pop Lockett Drop it,9.0,The Big Gronkowski,4.0,1,12
2017,Post Mahomes,8.0,5.0,0.0,13,8.416666666666666,10.0,5.0,1.5642792899510296,12,8.0,-0.4166666666666661,5.0,Dillon Panthers,10.0,Malle ❤️ 🐸,5.0,6,6
2017,The Big Gronkowski,5.0,8.0,0.0,13,7.416666666666667,9.0,5.0,1.4433756729740643,12,5.0,-2.416666666666667,4.0,Big Sack Jack,9.0,The Big Gronkowski,5.0,12,1
2017,ThreatLevelMidnight,6.0,7.0,0.0,13,7.083333333333333,10.0,5.0,1.443375672974064,12,6.0,-1.083333333333333,5.0,Ginger FC,10.0,Malle ❤️ 🐸,5.0,9,4
2017,Voldemort,9.0,4.0,0.0,13,9.416666666666666,11.0,8.0,1.0836246694508316,12,9.0,-0.4166666666666661,3.0,Ginger FC,11.0,Hello Harvard,8.0,6,6
2017,malle_dips_pouches,7.0,6.0,0.0,13,7.0,9.0,5.0,1.2792042981336627,12,7.0,0.0,4.0,Big Sack Jack,9.0,Post Mahomes,5.0,5,8
2018,Big Sack Jack,8.0,5.0,0.0,13,8.416666666666666,12.0,6.0,1.6213537179739272,12,8.0,-0.4166666666666661,6.0,malle_dips_pouches,12.0,Ginger FC,6.0,7,6
2018,Dillon Panthers,6.0,7.0,0.0,13,6.75,9.0,3.0,1.6025547785276542,12,6.0,-0.75,6.0,malle_dips_pouches,9.0,Ginger FC,3.0,9,4
2018,Ginger FC,4.0,9.0,0.0,13,3.9166666666666665,7.0,2.0,1.378954368902449,12,4.0,0.08333333333333348,5.0,malle_dips_pouches,7.0,Malle ❤️ 🐸,2.0,5,8
2018,Joe Mantegna,4.0,9.0,0.0,13,6.416666666666667,11.0,4.0,1.9752253419585197,12,4.0,-2.416666666666667,7.0,malle_dips_pouches,11.0,Big Sack Jack,4.0,12,1
2018,Malle ❤️ 🐸,4.0,9.0,0.0,13,4.5,6.0,3.0,0.7977240352174656,12,4.0,-0.5,3.0,Uncle Rico,6.0,Pop Lockett Drop it,3.0,8,5
2018,Pop Lockett Drop it,8.0,5.0,0.0,13,8.833333333333334,10.0,6.0,1.2673044646258478,12,8.0,-0.8333333333333339,4.0,The Big Gronkowski,10.0,Malle ❤️ 🐸,6.0,10,3
2018,Post Mahomes,6.0,7.0,0.0,13,8.083333333333334,11.0,6.0,1.4433756729740643,12,6.0,-2.083333333333334,5.0,malle_dips_pouches,11.0,Pop Lockett Drop it,6.0,11,2
2018,The Big Gronkowski,7.0,6.0,0.0,13,4.75,8.0,3.0,1.712255291076124,12,7.0,2.25,5.0,malle_dips_pouches,8.0,Ginger FC,3.0,2,11
2018,ThreatLevelMidnight,7.0,6.0,0.0,13,6.75,9.0,5.0,1.0552897060221724,12,7.0,0.25,4.0,Uncle Rico,9.0,Ginger FC,5.0,4,9
2018,Uncle Rico,6.0,7.0,0.0,13,5.25,9.0,3.0,1.764549903980152,12,6.0,0.75,6.0,malle_dips_pouches,9.0,Dillon Panthers,3.0,3,10
2018,Voldemort,7.0,6.0,0.0,13,7.083333333333333,9.0,5.0,1.2401124093721456,12,7.0,-0.08333333333333304,4.0,The Big Gronkowski,9.0,Ginger FC,5.0,6,7
2018,malle_dips_pouches,11.0,2.0,0.0,13,7.25,11.0,5.0,1.9128750375000736,12,11.0,3.75,6.0,malle_dips_pouches,11.0,Ginger FC,5.0,1,12
2019,Big Sack Jack,7.0,6.0,0.0,13,7.166666666666667,10.0,6.0,1.2673044646258473,12,7.0,-0.16666666666666696,4.0,Voldemort,10.0,Ginger FC,6.0,7,6
2019,Ginger FC,4.0,9.0,0.0,13,4.666666666666667,8.0,3.0,1.497472618255253,12,4.0,-0.666666666666667,5.0,Voldemort,8.0,Post Mahomes,3.0,9,4
2019,Joe Mantegna,4.0,9.0,0.0,13,5.666666666666667,11.0,3.0,2.2696949467968492,12,4.0,-1.666666666666667,8.0,Voldemort,11.0,malle_dips_pouches,3.0,11,2
2019,Malle ❤️ 🐸,4.0,9.0,0.0,13,4.333333333333333,7.0,2.0,1.4354811251305468,12,4.0,-0.33333333333333304,5.0,Voldemort,7.0,Big Sack Jack,2.0,8,5
2019,Patty Primetimes,10.0,3.0,0.0,13,9.666666666666666,11.0,7.0,1.3026778945578592,12,10.0,0.3333333333333339,4.0,Pop Lockett Drop it,11.0,malle_dips_pouches,7.0,5,8
2019,Pop Lockett Drop it,10.0,3.0,0.0,13,8.333333333333334,10.0,6.0,1.2309149097933274,12,10.0,1.666666666666666,4.0,Patty Primetimes,10.0,Uncle Rico,6.0,2,11
2019,Post Mahomes,8.0,5.0,0.0,13,7.583333333333333,10.0,6.0,1.2401124093721454,12,8.0,0.41666666666666696,4.0,Voldemort,10.0,Joe Mantegna,6.0,4,9
2019,The Big Gronkowski,6.0,7.0,0.0,13,4.916666666666667,8.0,3.0,1.378954368902449,12,6.0,1.083333333333333,5.0,Voldemort,8.0,ThreatLevelMidnight,3.0,3,10
2019,ThreatLevelMidnight,7.0,6.0,0.0,13,6.75,11.0,4.0,1.7122552910761242,12,7.0,0.25,7.0,Voldemort,11.0,Post Mahomes,4.0,6,7
2019,Uncle Rico,2.0,11.0,0.0,13,4.833333333333333,9.0,2.0,2.124888588879783,12,2.0,-2.833333333333333,7.0,Pop Lockett Drop it,9.0,Uncle Rico,2.0,12,1
2019,Voldemort,12.0,1.0,0.0,13,8.916666666666666,12.0,7.0,1.2401124093721456,12,12.0,3.083333333333334,5.0,Voldemort,12.0,Joe Mantegna,7.0,1,12
2019,malle_dips_pouches,4.0,9.0,0.0,13,5.166666666666667,7.0,4.0,1.0298573010888745,12,4.0,-1.166666666666667,3.0,Voldemort,7.0,Big Sack Jack,4.0,10,3
2020,Big Sack Jack,6.0,7.0,0.0,13,5.416666666666667,7.0,3.0,1.3113721705515067,12,6.0,0.583333333333333,4.0,Joe Mantegna,7.0,malle_dips_pouches,3.0,6,7
2020,Ginger FC,5.0,8.0,0.0,13,6.333333333333333,9.0,4.0,1.4974726182552531,12,5.0,-1.333333333333333,5.0,Big Sack Jack,9.0,ThreatLevelMidnight,4.0,10,3
2020,Joe Mantegna,7.0,6.0,0.0,13,5.916666666666667,8.0,2.0,1.5050420310248864,12,7.0,1.083333333333333,6.0,Post Mahomes,8.0,ThreatLevelMidnight,2.0,4,9
2020,Malle ❤️ 🐸,8.0,5.0,0.0,13,9.416666666666666,12.0,7.0,1.8319554050414562,12,8.0,-1.416666666666666,5.0,Post Mahomes,12.0,Ginger FC,7.0,11,2
