acquisition_id,year,week,canonical_team,player,name_key,player_position,acquisition_type,acquisition_datetime,drop_datetime,calendar_week,roster_observed,fantasy_points,lineup_slot,primary_eligible
A00015,2017,13,ThreatLevelMidnight,Kenny Stills,kennystills,WR,Free Agent,2017-12-03 11:31:00,2017-12-21 14:28:00,13,True,13.8,WR,True
A00016,2017,13,ThreatLevelMidnight,Martavis Bryant,martavisbryant,,Free Agent,2017-12-03 11:32:00,2017-12-06 02:20:00,13,True,4.0,BN,False
A00026,2017,9,Dillon Panthers,Robbie Chosen,robbiechosen,WR,Free Agent,2017-11-01 22:49:00,,9,True,10.8,WR,True
A00026,2017,10,Dillon Panthers,Robbie Chosen,robbiechosen,WR,Free Agent,2017-11-01 22:49:00,,9,True,14.5,WR,True
A00026,2017,11,Dillon Panthers,Robbie Chosen,robbiechosen,WR,Free Agent,2017-11-01 22:49:00,,9,True,0.0,BN,True
A00026,2017,12,Dillon Panthers,Robbie Chosen,robbiechosen,WR,Free Agent,2017-11-01 22:49:00,,9,True,26.6,BN,True
A00026,2017,13,Dillon Panthers,Robbie Chosen,robbiechosen,WR,Free Agent,2017-11-01 22:49:00,,9,True,11.4,WR,True
A00027,2017,9,Dillon Panthers,Rams,rams,,Free Agent,2017-11-01 22:50:00,,9,False,0.0,,False
A00027,2017,10,Dillon Panthers,Rams,rams,,Free Agent,2017-11-01 22:50:00,,9,False,0.0,,False
A00027,2017,11,Dillon Panthers,Rams,rams,,Free Agent,2017-11-01 22:50:00,,9,False,0.0,,False
A00027,2017,12,Dillon Panthers,Rams,rams,,Free Agent,2017-11-01 22:50:00,,9,False,0.0,,False
A00027,2017,13,Dillon Panthers,Rams,rams,,Free Agent,2017-11-01 22:50:00,,9,False,0.0,,False
A00028,2017,9,Ginger FC,Ryan Succop,ryansuccop,,Waiver,2017-11-01 02:27:00,2017-11-11 02:17:00,9,True,6.0,K,False
A00028,2017,10,Ginger FC,Ryan Succop,ryansuccop,,Waiver,2017-11-01 02:27:00,2017-11-11 02:17:00,9,False,0.0,,False
A00029,2017,9,Post Mahomes,Kenyan Drake,kenyandrake,,Waiver,2017-11-01 02:27:00,,9,True,10.4,BN,False
A00029,2017,10,Post Mahomes,Kenyan Drake,kenyandrake,,Waiver,2017-11-01 02:27:00,,9,True,15.2,BN,False
A00029,2017,11,Post Mahomes,Kenyan Drake,kenyandrake,,Waiver,2017-11-01 02:27:00,,9,True,1.4,BN,False
A00029,2017,12,Post Mahomes,Kenyan Drake,kenyandrake,,Waiver,2017-11-01 02:27:00,,9,True,8.7,BN,False
A00029,2017,13,Post Mahomes,Kenyan Drake,kenyandrake,,Waiver,2017-11-01 02:27:00,,9,True,20.1,W/R/T,False
A00030,2017,9,The Big Gronkowski,Bills,bills,,Waiver,2017-11-01 02:27:00,,9,False,0.0,,False
A00030,2017,10,The Big Gronkowski,Bills,bills,,Waiver,2017-11-01 02:27:00,,9,False,0.0,,False
A00030,2017,11,The Big Gronkowski,Bills,bills,,Waiver,2017-11-01 02:27:00,,9,False,0.0,,False
A00030,2017,12,The Big Gronkowski,Bills,bills,,Waiver,2017-11-01 02:27:00,,9,False,0.0,,False
A00030,2017,13,The Big Gronkowski,Bills,bills,,Waiver,2017-11-01 02:27:00,,9,False,0.0,,False
A00031,2017,9,The Big Gronkowski,Graham Gano,grahamgano,,Waiver,2017-11-01 02:27:00,2017-11-15 02:36:00,9,True,9.0,K,False
A00031,2017,10,The Big Gronkowski,Graham Gano,grahamgano,,Waiver,2017-11-01 02:27:00,2017-11-15 02:36:00,9,True,10.0,K,False
A00031,2017,11,The Big Gronkowski,Graham Gano,grahamgano,,Waiver,2017-11-01 02:27:00,2017-11-15 02:36:00,9,False,0.0,,False
A00032,2017,9,Voldemort,Jared Goff,jaredgoff,QB,Free Agent,2017-11-01 04:03:00,,9,True,36.44,QB,True
A00032,2017,10,Voldemort,Jared Goff,jaredgoff,QB,Free Agent,2017-11-01 04:03:00,,9,True,32.5,BN,True
A00032,2017,11,Voldemort,Jared Goff,jaredgoff,QB,Free Agent,2017-11-01 04:03:00,,9,True,9.8,BN,True
A00032,2017,12,Voldemort,Jared Goff,jaredgoff,QB,Free Agent,2017-11-01 04:03:00,,9,True,24.86,BN,True
A00032,2017,13,Voldemort,Jared Goff,jaredgoff,QB,Free Agent,2017-11-01 04:03:00,,9,True,20.0,BN,True
A00033,2017,9,Voldemort,Jack Doyle,jackdoyle,TE,Free Agent,2017-11-01 04:04:00,2017-11-15 02:36:00,9,True,6.3,TE,True
A00033,2017,10,Voldemort,Jack Doyle,jackdoyle,TE,Free Agent,2017-11-01 04:04:00,2017-11-15 02:36:00,9,True,0.9,TE,True
A00033,2017,11,Voldemort,Jack Doyle,jackdoyle,TE,Free Agent,2017-11-01 04:04:00,2017-11-15 02:36:00,9,False,0.0,,True
A00034,2017,9,Voldemort,Josh Gordon,joshgordon,WR,Free Agent,2017-11-01 18:49:00,,9,True,0.0,BN,True
A00034,2017,10,Voldemort,Josh Gordon,joshgordon,WR,Free Agent,2017-11-01 18:49:00,,9,True,0.0,BN,True
A00034,2017,11,Voldemort,Josh Gordon,joshgordon,WR,Free Agent,2017-11-01 18:49:00,,9,True,0.0,BN,True
A00034,2017,12,Voldemort,Josh Gordon,joshgordon,WR,Free Agent,2017-11-01 18:49:00,,9,True,0.0,BN,True
