acquisition_id,year,canonical_team,player,player_position,acquisition_type,acquisition_datetime,drop_datetime,acquisition_week,candidate_weeks,roster_weeks,stint_points,primary_eligible,roster_match,roster_capture_rate
A00015,2017,ThreatLevelMidnight,Kenny Stills,WR,Free Agent,2017-12-03 11:31:00,2017-12-21 14:28:00,13,1,1,13.8,True,True,1.0
A00016,2017,ThreatLevelMidnight,Martavis Bryant,,Free Agent,2017-12-03 11:32:00,2017-12-06 02:20:00,13,1,1,4.0,False,True,1.0
A00026,2017,Dillon Panthers,Robbie Chosen,WR,Free Agent,2017-11-01 22:49:00,,9,5,5,63.300000000000004,True,True,1.0
A00027,2017,Dillon Panthers,Rams,,Free Agent,2017-11-01 22:50:00,,9,5,0,0.0,False,False,0.0
A00028,2017,Ginger FC,Ryan Succop,,Waiver,2017-11-01 02:27:00,2017-11-11 02:17:00,9,2,1,6.0,False,True,0.5
A00029,2017,Post Mahomes,Kenyan Drake,,Waiver,2017-11-01 02:27:00,,9,5,5,55.8,False,True,1.0
A00030,2017,The Big Gronkowski,Bills,,Waiver,2017-11-01 02:27:00,,9,5,0,0.0,False,False,0.0
A00031,2017,The Big Gronkowski,Graham Gano,,Waiver,2017-11-01 02:27:00,2017-11-15 02:36:00,9,3,2,19.0,False,True,0.6666666666666666
A00032,2017,Voldemort,Jared Goff,QB,Free Agent,2017-11-01 04:03:00,,9,5,5,123.6,True,True,1.0
A00033,2017,Voldemort,Jack Doyle,TE,Free Agent,2017-11-01 04:04:00,2017-11-15 02:36:00,9,3,2,7.2,True,True,0.6666666666666666
A00034,2017,Voldemort,Josh Gordon,WR,Free Agent,2017-11-01 18:49:00,,9,5,5,8.5,True,True,1.0
A00035,2017,The Big Gronkowski,Paul Richardson,,Free Agent,2017-11-01 06:55:00,2017-11-22 02:21:00,9,4,3,14.0,False,True,0.75
A00036,2017,ThreatLevelMidnight,Jeremy Maclin,WR,Free Agent,2017-11-01 19:21:00,2017-12-06 02:20:00,9,5,5,17.9,True,True,1.0
A00037,2017,The Big Gronkowski,Damien Williams,RB,Free Agent,2017-11-01 07:36:00,2017-11-11 02:17:00,9,2,1,12.1,True,True,0.5
A00038,2017,Post Mahomes,Texans,,Free Agent,2017-11-01 07:48:00,2017-11-08 05:29:00,9,2,0,0.0,False,False,0.0
A00039,2017,ThreatLevelMidnight,Theo Riddick,,Free Agent,2017-11-10 15:46:00,2017-11-11 09:53:00,10,1,0,0.0,False,False,0.0
A00040,2017,Ginger FC,Ed Dickson,TE,Waiver,2017-11-11 02:17:00,,10,4,4,12.600000000000001,True,True,1.0
A00041,2017,ThreatLevelMidnight,Ravens,,Waiver,2017-11-11 02:17:00,,10,4,0,0.0,False,False,0.0
A00042,2017,Voldemort,Josh Doctson,,Free Agent,2017-11-11 06:23:00,2017-11-15 05:39:00,10,2,1,3.0,False,True,0.5
A00043,2017,Ginger FC,Marlon Mack,RB,Free Agent,2017-11-11 18:26:00,2017-11-29 02:46:00,10,4,3,5.7,True,True,0.75
A00044,2017,ThreatLevelMidnight,Tarik Cohen,,Free Agent,2017-11-11 09:55:00,2017-11-17 13:09:00,10,2,1,1.1,False,True,0.5
A00045,2017,malle_dips_pouches,Blair Walsh,,Free Agent,2017-11-15 10:06:00,,11,3,3,25.0,False,True,1.0
A00046,2017,Dillon Panthers,Blake Bortles,QB,Waiver,2017-11-15 02:36:00,,11,3,3,63.22,True,True,1.0
A00047,2017,Malle ❤️ 🐸,Tyler Lockett,WR,Waiver,2017-11-15 02:36:00,,11,3,3,11.600000000000001,True,True,1.0
A00048,2017,Pop Lockett Drop it,Ryan Succop,,Waiver,2017-11-15 02:36:00,2017-11-16 13:53:00,11,1,0,0.0,False,False,0.0
A00049,2017,The Big Gronkowski,Harrison Butker,,Waiver,2017-11-15 02:36:00,,11,3,3,21.0,False,True,1.0
A00050,2017,ThreatLevelMidnight,Damien Williams,RB,Waiver,2017-11-15 02:36:00,2017-12-13 02:27:00,11,3,3,15.399999999999999,True,True,1.0
A00051,2017,ThreatLevelMidnight,Jared Cook,TE,Waiver,2017-11-15 02:36:00,2017-12-06 11:52:00,11,3,3,4.7,True,True,1.0
A00052,2017,Voldemort,Broncos,,Waiver,2017-11-15 02:36:00,2017-11-22 06:10:00,11,2,0,0.0,False,False,0.0
A00053,2017,Voldemort,Jamaal Williams,,Waiver,2017-11-15 02:36:00,,11,3,3,53.3,False,True,1.0
A00054,2017,Post Mahomes,Bengals,,Free Agent,2017-11-15 04:10:00,2017-11-29 04:30:00,11,3,0,0.0,False,False,0.0
A00055,2017,Voldemort,Jordan Reed,TE,Free Agent,2017-11-15 05:39:00,2017-11-17 08:34:00,11,1,0,0.0,True,False,0.0
A00056,2017,The Big Gronkowski,Samaje Perine,RB,Free Agent,2017-11-15 19:46:00,,11,3,3,38.5,True,True,1.0
A00057,2017,malle_dips_pouches,Chargers,,Free Agent,2017-11-15 09:57:00,,11,3,0,0.0,False,False,0.0
A00058,2017,ThreatLevelMidnight,Eagles,,Free Agent,2017-11-16 10:04:00,2017-12-03 11:32:00,11,3,0,0.0,False,False,0.0
A00059,2017,Post Mahomes,Aaron Rodgers,QB,Free Agent,2017-11-16 10:48:00,,11,3,3,0.0,True,True,1.0
A00060,2017,Hello Harvard,Martavis Bryant,,Free Agent,2017-11-16 12:29:00,2017-11-22 11:33:00,11,2,1,3.0,False,True,0.5
A00061,2017,Pop Lockett Drop it,C.J. Fiedorowicz,TE,Free Agent,2017-11-16 13:53:00,,11,3,3,7.1,True,True,1.0
A00062,2017,ThreatLevelMidnight,Javorius Allen,,Free Agent,2017-11-17 13:09:00,2017-11-22 02:21:00,11,2,1,1.7,False,True,0.5
