stint_id,year,team,player,name_key,acquisition_type,acquisition_datetime,drop_datetime,acquisition_week,drop_week,player_position,primary_eligible,first_eligible_week,eligibility_reason,eligible_weeks,transaction_owned_weeks,bye_weeks,owned_weeks,score_rows_observed,resolved_owned_weeks,unresolved_owned_weeks,production_points,weeks_with_points,production_resolution_rate,scoring_opportunity_weeks,scoring_production_points,avg_points_per_week,max_week_points,rate_score,sustained_score,waiver_score,waiver_value,meaningful_acquisition,waiver_category,positive_pickup,good_pickup,great_pickup,elite_find,waiver_bust,team_canonical
W00002,2017,Big Sack Jack,Chris Thompson,christhompson,Waiver,2017-09-20 02:23:00,2017-12-07 18:21:00,3,,RB,True,3,BEFORE_GAME_DATE,11.0,11.0,0.0,11.0,8.0,11.0,0.0,82.2,8.0,1.0,11.0,82.2,7.472727272727273,24.8,71.7948717948718,97.43589743589743,88.46153846153847,38.46153846153847,True,Great Pickup,True,True,True,False,False,Big Sack Jack
W00003,2017,Big Sack Jack,Ed Dickson,eddickson,Free Agent,2017-11-02 18:45:00,2017-11-08 02:58:00,9,10,TE,True,9,BEFORE_GAME_DATE,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.571428571428571,8.571428571428571,8.571428571428571,-41.42857142857143,False,Waiver Bust,False,False,False,False,True,Big Sack Jack
W00004,2017,Big Sack Jack,Giovani Bernard,giovanibernard,Waiver,2017-10-07 02:21:00,2017-11-02 18:45:00,5,9,RB,True,5,BEFORE_GAME_DATE,5.0,4.0,1.0,3.0,4.0,3.0,0.0,4.4,3.0,1.0,3.0,4.4,1.4666666666666668,3.2,20.51282051282051,33.33333333333333,28.846153846153843,-21.153846153846157,True,Poor Pickup,False,False,False,False,False,Big Sack Jack
W00006,2017,Big Sack Jack,Robert Woods,robertwoods,Waiver,2017-11-08 02:58:00,,10,,WR,True,10,BEFORE_GAME_DATE,4.0,4.0,0.0,4.0,2.0,4.0,0.0,37.2,2.0,1.0,4.0,37.2,9.3,29.1,83.33333333333334,80.0,81.16666666666667,31.16666666666667,True,Good Pickup,True,True,False,False,False,Big Sack Jack
W00009,2017,Dillon Panthers,Austin Seferian-Jenkins,austinseferianjenkins,Free Agent,2017-10-11 18:58:00,,6,,TE,True,6,BEFORE_GAME_DATE,8.0,8.0,1.0,7.0,7.0,7.0,0.0,31.6,7.0,1.0,7.0,31.6,4.514285714285714,8.600000000000001,71.42857142857143,88.57142857142857,82.57142857142857,32.57142857142857,True,Good Pickup,True,True,False,False,False,Dillon Panthers
W00011,2017,Dillon Panthers,Blake Bortles,blakebortles,Waiver,2017-11-15 02:36:00,,11,,QB,True,11,BEFORE_GAME_DATE,3.0,3.0,0.0,3.0,3.0,3.0,0.0,63.22,3.0,1.0,3.0,63.22,21.073333333333334,29.06,81.81818181818183,63.63636363636363,70.0,20.0,True,Ordinary,True,False,False,False,False,Dillon Panthers
W00013,2017,Dillon Panthers,Cooper Kupp,cooperkupp,Free Agent,2017-10-05 13:22:00,,5,,WR,True,5,BEFORE_GAME_DATE,9.0,9.0,1.0,8.0,8.0,8.0,0.0,51.900000000000006,8.0,1.0,8.0,51.900000000000006,6.487500000000001,11.600000000000001,63.33333333333333,86.66666666666667,78.5,28.5,True,Good Pickup,True,True,False,False,False,Dillon Panthers
W00016,2017,Dillon Panthers,Jaron Brown,jaronbrown,Waiver,2017-09-27 02:24:00,2017-10-22 23:00:00,4,7,WR,True,4,BEFORE_GAME_DATE,4.0,4.0,0.0,4.0,4.0,4.0,0.0,21.1,4.0,1.0,4.0,21.1,5.275,10.5,46.666666666666664,63.33333333333333,57.5,7.5,True,Ordinary,True,False,False,False,False,Dillon Panthers
W00017,2017,Dillon Panthers,Jason Witten,jasonwitten,Waiver,2017-09-20 02:23:00,,3,,TE,True,3,BEFORE_GAME_DATE,11.0,11.0,1.0,10.0,10.0,10.0,0.0,40.1,10.0,1.0,10.0,40.1,4.01,11.4,54.285714285714285,91.42857142857143,78.42857142857143,28.42857142857143,True,Good Pickup,True,True,False,False,False,Dillon Panthers
W00018,2017,Dillon Panthers,Kenny Stills,kennystills,Waiver,2017-10-25 02:38:00,2017-11-11 02:17:00,8,10,WR,True,8,BEFORE_GAME_DATE,3.0,2.0,0.0,2.0,3.0,2.0,0.0,9.3,2.0,1.0,2.0,9.3,4.65,6.5,40.0,36.666666666666664,37.83333333333333,-12.166666666666671,True,Ordinary,False,False,False,False,False,Dillon Panthers
W00019,2017,Dillon Panthers,Nelson Agholor,nelsonagholor,Waiver,2017-10-11 02:28:00,,6,,WR,True,6,BEFORE_GAME_DATE,8.0,8.0,1.0,7.0,7.0,7.0,0.0,57.3,6.0,1.0,7.0,57.3,8.185714285714285,20.1,73.33333333333333,93.33333333333333,86.33333333333333,36.33333333333333,True,Good Pickup,True,True,False,False,False,Dillon Panthers
W00022,2017,Dillon Panthers,Robbie Chosen,robbiechosen,Free Agent,2017-11-01 22:49:00,,9,,WR,True,9,BEFORE_GAME_DATE,5.0,5.0,1.0,4.0,4.0,4.0,0.0,63.300000000000004,4.0,1.0,4.0,63.300000000000004,15.825000000000001,26.6,100.0,96.66666666666667,97.83333333333334,47.83333333333334,True,Elite Find,True,True,True,True,False,Dillon Panthers
W00024,2017,Ginger FC,Alex Collins,alexcollins,Waiver,2017-10-11 02:28:00,,6,,RB,True,6,BEFORE_GAME_DATE,8.0,8.0,1.0,7.0,7.0,7.0,0.0,75.9,7.0,1.0,7.0,75.9,10.842857142857143,21.8,87.17948717948718,94.87179487179486,92.17948717948718,42.17948717948718,True,Elite Find,True,True,True,True,False,Ginger FC
W00028,2017,Ginger FC,Case Keenum,casekeenum,Waiver,2017-11-29 02:46:00,,13,,QB,True,13,BEFORE_GAME_DATE,1.0,1.0,0.0,1.0,1.0,1.0,0.0,20.979999999999997,1.0,1.0,1.0,20.979999999999997,20.979999999999997,20.979999999999997,72.72727272727273,36.36363636363637,49.09090909090909,-0.9090909090909065,True,Ordinary,False,False,False,False,False,Ginger FC
W00031,2017,Ginger FC,Ed Dickson,eddickson,Waiver,2017-11-11 02:17:00,,10,,TE,True,10,BEFORE_GAME_DATE,4.0,4.0,1.0,3.0,3.0,3.0,0.0,12.600000000000001,3.0,1.0,3.0,12.600000000000001,4.2,9.3,60.0,77.14285714285715,71.14285714285715,21.142857142857153,True,Ordinary,True,False,False,False,False,Ginger FC
