team,seasons_with_data,meaningful_acquisitions,avg_waiver_score,avg_waiver_value,median_waiver_value,total_waiver_value,total_positive_value,positive_pickups,positive_rate,good_pickups,good_rate,great_pickups,great_rate,elite_finds,elite_find_rate,waiver_busts,bust_rate,production_points,avg_opportunity_weeks,official_ranking_eligible,official_rank,sample_label
Big Sack Jack,5,21,59.18595339069107,9.185953390691068,17.72727272727272,192.90502120451242,337.98452503401626,13,61.904761904761905,8,38.095238095238095,2,9.523809523809524,1,4.761904761904762,0,0.0,723.2599999999999,4.714285714285714,True,10.0,Official
Buttermilk Puuump,3,7,66.06349206349206,16.063492063492067,16.33333333333333,112.44444444444446,130.77777777777777,5,71.42857142857143,3,42.857142857142854,2,28.57142857142857,0,0.0,0,0.0,322.79999999999995,7.142857142857143,False,,Limited Sample
Dillon Panthers,1,8,73.625,23.625,28.464285714285715,189.0,201.16666666666669,7,87.5,5,62.5,1,12.5,1,12.5,0,0.0,337.82,5.625,False,,Limited Sample
Ginger FC,8,59,59.427932720178916,9.427932720178912,13.055555555555557,556.2480304905558,926.0307546186311,35,59.32203389830508,21,35.59322033898305,9,15.254237288135593,3,5.084745762711865,2,3.389830508474576,2970.0200000000004,4.932203389830509,True,7.0,Official
Hello Harvard,1,7,45.800104657247516,-4.199895342752485,-6.666666666666671,-29.39926739926739,33.25641025641026,2,28.57142857142857,0,0.0,0,0.0,0,0.0,0,0.0,88.10000000000001,2.7142857142857144,False,,Limited Sample
Joe Mantegna,8,45,61.38736325444939,11.387363254449376,17.777777777777786,512.4313464502219,780.8148254854075,31,68.88888888888889,17,37.77777777777778,6,13.333333333333334,4,8.88888888888889,2,4.444444444444445,2357.6600000000003,5.488888888888889,True,5.0,Official
Malle ❤️ 🐸,8,31,59.36029958258528,9.360299582585279,9.999999999999993,290.16928706014363,435.55404445960687,21,67.74193548387096,8,25.806451612903224,2,6.451612903225806,0,0.0,0,0.0,1122.0800000000004,4.774193548387097,True,8.0,Official
Patty Primetimes,7,37,55.40241471351778,5.402414713517784,4.31818181818182,199.889344400158,457.3915230725495,25,67.56756756756756,11,29.72972972972973,2,5.405405405405405,1,2.7027027027027026,3,8.108108108108109,1401.8600000000001,4.783783783783784,True,11.0,Official
Pop Lockett Drop it,8,54,62.79917468490944,12.799174684909426,13.373015873015873,691.155432985109,897.9988308214943,39,72.22222222222221,16,29.629629629629626,7,12.962962962962962,6,11.11111111111111,1,1.8518518518518516,2555.9200000000005,4.462962962962963,True,4.0,Official
Post Mahomes,8,77,66.06917977181287,16.069179771812866,20.166666666666657,1237.3268424295907,1542.3365309507878,60,77.92207792207793,29,37.66233766233766,12,15.584415584415584,7,9.090909090909092,2,2.5974025974025974,3229.12,4.753246753246753,True,1.0,Official
The Big Gronkowski,8,30,59.24317585306675,9.243175853066743,12.90384615384616,277.2952755920023,410.8141152520535,20,66.66666666666666,7,23.333333333333332,2,6.666666666666667,1,3.3333333333333335,1,3.3333333333333335,906.6800000000001,4.5,True,9.0,Official
ThreatLevelMidnight,8,85,63.92070457869061,13.920704578690605,18.57142857142857,1183.2598891887014,1624.3797210476637,63,74.11764705882354,31,36.470588235294116,16,18.823529411764707,8,9.411764705882353,5,5.88235294117647,3914.84,4.047058823529412,True,2.0,Official
Uncle Rico,7,47,54.43041041025175,4.430410410251749,4.411764705882355,208.22928928183222,630.3323694426441,28,59.57446808510638,14,29.78723404255319,8,17.02127659574468,2,4.25531914893617,5,10.638297872340425,2034.7,4.468085106382978,True,12.0,Official
Voldemort,8,72,60.60175692503919,10.601756925039199,12.615864527629242,763.3264986028223,1237.9191612593147,47,65.27777777777779,27,37.5,12,16.666666666666664,8,11.11111111111111,2,2.7777777777777777,3175.26,4.444444444444445,True,6.0,Official
malle_dips_pouches,8,35,63.78545040597461,13.785450405974615,19.64285714285714,482.4907642091115,632.5742297978962,27,77.14285714285715,12,34.285714285714285,6,17.142857142857142,2,5.714285714285714,1,2.857142857142857,1663.3,4.2,True,3.0,Official
