year,round,pick_in_round,overall_pick,team,player,keeper
2021,1,1,1,Uncle Rico,Christian McCaffrey,False
2021,1,2,2,Joe Mantegna,Dalvin Cook,False
2021,1,3,3,Patty Primetimes,Alvin Kamara,False
2021,1,4,4,malle_dips_pouches,Aaron Jones Sr.,False
2021,1,5,5,Malle ❤️ 🐸,Tyreek Hill,False
2021,1,6,6,Ginger FC,Ezekiel Elliott,False
2021,1,7,7,Big Sack Jack,Patrick Mahomes,True
2021,1,8,8,Voldemort,Nick Chubb,False
2021,1,9,9,Post Mahomes,Jonathan Taylor,False
2021,1,10,10,ThreatLevelMidnight,Davante Adams,False
2021,1,11,11,Pop Lockett Drop it,Austin Ekeler,False
2021,1,12,12,The Big Gronkowski,Antonio Gibson,False
2021,2,1,13,The Big Gronkowski,Najee Harris,False
2021,2,2,14,Pop Lockett Drop it,Travis Kelce,False
2021,2,3,15,ThreatLevelMidnight,Joe Mixon,False
2021,2,4,16,Post Mahomes,Saquon Barkley,False
2021,2,5,17,Voldemort,Calvin Ridley,False
2021,2,6,18,Big Sack Jack,Josh Jacobs,False
2021,2,7,19,Ginger FC,DeAndre Hopkins,False
2021,2,8,20,Malle ❤️ 🐸,Keenan Allen,False
2021,2,9,21,malle_dips_pouches,A.J. Brown,False
2021,2,10,22,Patty Primetimes,Clyde Edwards-Helaire,False
2021,2,11,23,Joe Mantegna,Terry McLaurin,False
2021,2,12,24,Uncle Rico,Derrick Henry,True
2021,3,1,25,Uncle Rico,Allen Robinson,False
2021,3,2,26,Joe Mantegna,George Kittle,False
2021,3,3,27,Patty Primetimes,Chris Carson,False
2021,3,4,28,malle_dips_pouches,D'Andre Swift,False
2021,3,5,29,Malle ❤️ 🐸,Mike Evans,False
2021,3,6,30,Ginger FC,Amari Cooper,False
2021,3,7,31,Big Sack Jack,James Robinson,False
2021,3,8,32,Voldemort,David Montgomery,False
2021,3,9,33,Post Mahomes,CeeDee Lamb,False
2021,3,10,34,ThreatLevelMidnight,Chris Godwin Jr.,False
2021,3,11,35,Pop Lockett Drop it,Robbie Chosen,False
2021,3,12,36,The Big Gronkowski,Cooper Kupp,False
2021,4,1,37,The Big Gronkowski,Tyler Lockett,False
2021,4,2,38,Pop Lockett Drop it,Stefon Diggs,True
2021,4,3,39,ThreatLevelMidnight,Darrell Henderson Jr.,False
2021,4,4,40,Post Mahomes,Gus Edwards,False
2021,4,5,41,Voldemort,Robert Woods,False
2021,4,6,42,Big Sack Jack,DJ Moore,False
2021,4,7,43,Ginger FC,DK Metcalf,True
2021,4,8,44,Malle ❤️ 🐸,Adam Thielen,False
2021,4,9,45,malle_dips_pouches,Kareem Hunt,False
2021,4,10,46,Patty Primetimes,Julio Jones,False
2021,4,11,47,Joe Mantegna,Diontae Johnson,False
2021,4,12,48,Uncle Rico,Lamar Jackson,False
2021,5,1,49,Uncle Rico,Mark Andrews,False
2021,5,2,50,Joe Mantegna,Myles Gaskin,False
2021,5,3,51,Patty Primetimes,Tee Higgins,False
2021,5,4,52,malle_dips_pouches,Tyler Boyd,False
2021,5,5,53,Malle ❤️ 🐸,Raheem Mostert,False
2021,5,6,54,Ginger FC,Aaron Rodgers,False
2021,5,7,55,Big Sack Jack,Robert Tonyan,False
2021,5,8,56,Voldemort,Dak Prescott,False
2021,5,9,57,Post Mahomes,Kyle Pitts Sr.,False
2021,5,10,58,ThreatLevelMidnight,Trey Sermon,False
2021,5,11,59,Pop Lockett Drop it,Jamaal Williams,False
2021,5,12,60,The Big Gronkowski,Darren Waller,True
2021,6,1,61,The Big Gronkowski,Chase Claypool,False
2021,6,2,62,Pop Lockett Drop it,Courtland Sutton,False
2021,6,3,63,ThreatLevelMidnight,Russell Wilson,False
2021,6,4,64,Post Mahomes,Brandon Aiyuk,False
2021,6,5,65,Voldemort,Chase Edmonds,False
2021,6,6,66,Big Sack Jack,JuJu Smith-Schuster,False
2021,6,7,67,Ginger FC,Javonte Williams,False
2021,6,8,68,Malle ❤️ 🐸,Tom Brady,False
2021,6,9,69,malle_dips_pouches,Logan Thomas,False
2021,6,10,70,Patty Primetimes,Josh Allen,True
2021,6,11,71,Joe Mantegna,Justin Herbert,False
2021,6,12,72,Uncle Rico,Odell Beckham Jr.,False
2021,7,1,73,Uncle Rico,Ja'Marr Chase,False
2021,7,2,74,Joe Mantegna,Ronald Jones,False
2021,7,3,75,Patty Primetimes,DeVonta Smith,False
2021,7,4,76,malle_dips_pouches,James Conner,False
2021,7,5,77,Malle ❤️ 🐸,T.J. Hockenson,False
2021,7,6,78,Ginger FC,Devin Singletary,False
2021,7,7,79,Big Sack Jack,Melvin Gordon III,False
2021,7,8,80,Voldemort,Tyler Higbee,False
2021,7,9,81,Post Mahomes,Kenny Golladay,False
2021,7,10,82,ThreatLevelMidnight,Noah Fant,False
2021,7,11,83,Pop Lockett Drop it,Michael Gallup,False
2021,7,12,84,The Big Gronkowski,Matthew Stafford,False
2021,8,1,85,The Big Gronkowski,AJ Dillon,False
2021,8,2,86,Pop Lockett Drop it,Sony Michel,False
2021,8,3,87,ThreatLevelMidnight,Corey Davis,False
2021,8,4,88,Post Mahomes,Kyler Murray,True
2021,8,5,89,Voldemort,Deebo Samuel Sr.,False
2021,8,6,90,Big Sack Jack,Mecole Hardman Jr.,False
2021,8,7,91,Ginger FC,Leonard Fournette,False
2021,8,8,92,Malle ❤️ 🐸,Rams,False
2021,8,9,93,malle_dips_pouches,Jerry Jeudy,True
2021,8,10,94,Patty Primetimes,Dallas Goedert,False
2021,8,11,95,Joe Mantegna,Commanders,False
2021,8,12,96,Uncle Rico,Antonio Brown,False
2021,9,1,97,Uncle Rico,Michael Carter,False
2021,9,2,98,Joe Mantegna,Miles Sanders,True
2021,9,3,99,Patty Primetimes,Kenyan Drake,False
2021,9,4,100,malle_dips_pouches,Ryan Tannehill,False
2021,9,5,101,Malle ❤️ 🐸,Justin Tucker,False
2021,9,6,102,Ginger FC,Rob Gronkowski,False
2021,9,7,103,Big Sack Jack,Marquez Callaway,False
2021,9,8,104,Voldemort,Zack Moss,False
2021,9,9,105,Post Mahomes,Brandin Cooks,False
2021,9,10,106,ThreatLevelMidnight,Jakobi Meyers,False
2021,9,11,107,Pop Lockett Drop it,David Johnson,False
2021,9,12,108,The Big Gronkowski,Michael Pittman Jr.,False
2021,10,1,109,The Big Gronkowski,Nyheim Miller-Hines,False
2021,10,2,110,Pop Lockett Drop it,Henry Ruggs III,False
2021,10,3,111,ThreatLevelMidnight,Mike Davis,True
2021,10,4,112,Post Mahomes,Tony Pollard,False
2021,10,5,113,Voldemort,Michael Thomas,False
2021,10,6,114,Big Sack Jack,Steelers,False
2021,10,7,115,Ginger FC,Laviska Shenault Jr.,False
2021,10,8,116,Malle ❤️ 🐸,Jalen Hurts,False
2021,10,9,117,malle_dips_pouches,Mike Williams,False
2021,10,10,118,Patty Primetimes,Matt Ryan,False
2021,10,11,119,Joe Mantegna,Harrison Butker,False
2021,10,12,120,Uncle Rico,DJ Chark,False
2021,11,1,121,Uncle Rico,James White,False
2021,11,2,122,Joe Mantegna,Will Fuller V,False
2021,11,3,123,Patty Primetimes,Mike Gesicki,False
2021,11,4,124,malle_dips_pouches,Marvin Jones Jr.,False
2021,11,5,125,Malle ❤️ 🐸,Phillip Lindsay,False
2021,11,6,126,Ginger FC,Jarvis Landry,False
2021,11,7,127,Big Sack Jack,Amon-Ra St. Brown,False
2021,11,8,128,Voldemort,Justin Jefferson,True
2021,11,9,129,Post Mahomes,J.D. McKissic,False
2021,11,10,130,ThreatLevelMidnight,Jaylen Waddle,False
2021,11,11,131,Pop Lockett Drop it,Hollywood Brown,False
2021,11,12,132,The Big Gronkowski,Gerald Everett,False
2021,12,1,133,The Big Gronkowski,Joe Burrow,False
2021,12,2,134,Pop Lockett Drop it,Tevin Coleman,False
2021,12,3,135,ThreatLevelMidnight,Cam Akers,False
2021,12,4,136,Post Mahomes,Curtis Samuel,False
2021,12,5,137,Voldemort,Younghoe Koo,False
2021,12,6,138,Big Sack Jack,Greg Zuerlein,False
2021,12,7,139,Ginger FC,Tyrell Williams,False
2021,12,8,140,Malle ❤️ 🐸,Jonnu Smith,False
2021,12,9,141,malle_dips_pouches,Evan Engram,False
2021,12,10,142,Patty Primetimes,Darnell Mooney,False
2021,12,11,143,Joe Mantegna,Irv Smith Jr.,False
2021,12,12,144,Uncle Rico,Trevor Lawrence,False
2021,13,1,145,Uncle Rico,Giovani Bernard,False
2021,13,2,146,Joe Mantegna,Kirk Cousins,False
2021,13,3,147,Patty Primetimes,Matt Gay,False
2021,13,4,148,malle_dips_pouches,Darrel Williams,False
2021,13,5,149,Malle ❤️ 🐸,Alexander Mattison,False
2021,13,6,150,Ginger FC,Buccaneers,False
2021,13,7,151,Big Sack Jack,Austin Hooper,False
2021,13,8,152,Voldemort,49ers,False
2021,13,9,153,Post Mahomes,Ravens,False
2021,13,10,154,ThreatLevelMidnight,Browns,False
2021,13,11,155,Pop Lockett Drop it,Baker Mayfield,False
2021,13,12,156,The Big Gronkowski,Robbie Gould,False
2021,14,1,157,The Big Gronkowski,Chiefs,False
2021,14,2,158,Pop Lockett Drop it,Rodrigo Blankenship,False
2021,14,3,159,ThreatLevelMidnight,Tyler Bass,False
2021,14,4,160,Post Mahomes,Devontae Booker,False
2021,14,5,161,Voldemort,Latavius Murray,False
2021,14,6,162,Big Sack Jack,Jalen Reagor,False
2021,14,7,163,Ginger FC,Ryan Succop,False
2021,14,8,164,Malle ❤️ 🐸,Damien Harris,True
2021,14,9,165,malle_dips_pouches,Bills,False
2021,14,10,166,Patty Primetimes,Patriots,False
2021,14,11,167,Joe Mantegna,Rashaad Penny,False
2021,14,12,168,Uncle Rico,Colts,False
2021,15,1,169,Uncle Rico,Jason Sanders,False
2021,15,2,170,Joe Mantegna,Broncos,False
2021,15,3,171,Patty Primetimes,Travis Etienne Jr.,False
2021,15,4,172,malle_dips_pouches,Chris Boswell,False
2021,15,5,173,Malle ❤️ 🐸,Ryan Fitzpatrick,False
2021,15,6,174,Ginger FC,Jameis Winston,False
2021,15,7,175,Big Sack Jack,Rhamondre Stevenson,False
2021,15,8,176,Voldemort,Ben Roethlisberger,False
2021,15,9,177,Post Mahomes,Matt Prater,False
2021,15,10,178,ThreatLevelMidnight,Chuba Hubbard,False
2021,15,11,179,Pop Lockett Drop it,Vikings,False
2021,15,12,180,The Big Gronkowski,Cole Beasley,False
