year,round,pick_in_round,overall_pick,team,player,keeper,position,position_source
2017,1,1,1,Post Mahomes,David Johnson,False,RB,Weekly Lineup
2017,1,2,2,Pop Lockett Drop it,Le'Veon Bell,False,RB,Weekly Lineup
2017,1,3,3,ThreatLevelMidnight,Antonio Brown,False,WR,Weekly Lineup
2017,1,4,4,Joe Mantegna,Odell Beckham Jr.,False,WR,Weekly Lineup
2017,1,5,5,malle_dips_pouches,Julio Jones,False,WR,Weekly Lineup
2017,1,6,6,Malle ❤️ 🐸,LeSean McCoy,False,RB,Weekly Lineup
2017,1,7,7,Ginger FC,Mike Evans,False,WR,Weekly Lineup
2017,1,8,8,Dillon Panthers,Devonta Freeman,False,RB,Weekly Lineup
2017,1,9,9,The Big Gronkowski,A.J. Green,False,WR,Weekly Lineup
2017,1,10,10,Voldemort,Melvin Gordon III,False,RB,Weekly Lineup
2017,1,11,11,Hello Harvard,Michael Thomas,False,WR,Weekly Lineup
2017,1,12,12,Big Sack Jack,DeMarco Murray,False,RB,Weekly Lineup
2017,2,1,13,Big Sack Jack,Brandin Cooks,False,WR,Weekly Lineup
2017,2,2,14,Hello Harvard,Jordan Howard,False,RB,Weekly Lineup
2017,2,3,15,Voldemort,Jordy Nelson,False,WR,Weekly Lineup
2017,2,4,16,The Big Gronkowski,Ezekiel Elliott,False,RB,Weekly Lineup
2017,2,5,17,Dillon Panthers,Dez Bryant,False,WR,Weekly Lineup
2017,2,6,18,Ginger FC,Jay Ajayi,False,RB,Weekly Lineup
2017,2,7,19,Malle ❤️ 🐸,Amari Cooper,False,WR,Weekly Lineup
2017,2,8,20,malle_dips_pouches,Todd Gurley,False,RB,Weekly Lineup
2017,2,9,21,Joe Mantegna,Christian McCaffrey,False,RB,Weekly Lineup
2017,2,10,22,ThreatLevelMidnight,Terrelle Pryor Sr.,False,WR,Weekly Lineup
2017,2,11,23,Pop Lockett Drop it,Isaiah Crowell,False,RB,Weekly Lineup
2017,2,12,24,Post Mahomes,Doug Baldwin,False,WR,Weekly Lineup
2017,3,1,25,Post Mahomes,Leonard Fournette,False,RB,Weekly Lineup
2017,3,2,26,Pop Lockett Drop it,T.Y. Hilton,False,WR,NFLverse Exact
2017,3,3,27,ThreatLevelMidnight,Lamar Miller,False,RB,Weekly Lineup
2017,3,4,28,Joe Mantegna,Travis Kelce,False,TE,Weekly Lineup
2017,3,5,29,malle_dips_pouches,Rob Gronkowski,False,TE,Weekly Lineup
2017,3,6,30,Malle ❤️ 🐸,Dalvin Cook,False,RB,Weekly Lineup
2017,3,7,31,Ginger FC,Carlos Hyde,False,RB,Weekly Lineup
2017,3,8,32,Dillon Panthers,Aaron Rodgers,False,QB,Weekly Lineup
2017,3,9,33,The Big Gronkowski,Marshawn Lynch,False,RB,Weekly Lineup
2017,3,10,34,Voldemort,Tom Brady,False,QB,Weekly Lineup
2017,3,11,35,Hello Harvard,Ty Montgomery II,False,RB,Weekly Lineup
2017,3,12,36,Big Sack Jack,Tyreek Hill,False,WR,Weekly Lineup
2017,4,1,37,Big Sack Jack,Mark Ingram II,False,RB,Weekly Lineup
2017,4,2,38,Hello Harvard,Joe Mixon,False,RB,Weekly Lineup
2017,4,3,39,Voldemort,Kareem Hunt,False,RB,Weekly Lineup
2017,4,4,40,The Big Gronkowski,Davante Adams,False,WR,Weekly Lineup
2017,4,5,41,Dillon Panthers,Greg Olsen,False,TE,Weekly Lineup
2017,4,6,42,Ginger FC,DeAndre Hopkins,False,WR,Weekly Lineup
2017,4,7,43,Malle ❤️ 🐸,Russell Wilson,False,QB,Weekly Lineup
2017,4,8,44,malle_dips_pouches,Michael Crabtree,False,WR,Weekly Lineup
2017,4,9,45,Joe Mantegna,Kelvin Benjamin,False,WR,Weekly Lineup
2017,4,10,46,ThreatLevelMidnight,C.J. Anderson,False,RB,Weekly Lineup
2017,4,11,47,Pop Lockett Drop it,Alshon Jeffery,False,WR,Weekly Lineup
2017,4,12,48,Post Mahomes,Demaryius Thomas,False,WR,Weekly Lineup
2017,5,1,49,Post Mahomes,Drew Brees,False,QB,Weekly Lineup
2017,5,2,50,Pop Lockett Drop it,Matt Ryan,False,QB,Weekly Lineup
2017,5,3,51,ThreatLevelMidnight,Keenan Allen,False,WR,Weekly Lineup
2017,5,4,52,Joe Mantegna,Ameer Abdullah,False,RB,Weekly Lineup
2017,5,5,53,malle_dips_pouches,Tevin Coleman,False,RB,Weekly Lineup
2017,5,6,54,Malle ❤️ 🐸,DeSean Jackson,False,WR,Weekly Lineup
2017,5,7,55,Ginger FC,Jimmy Graham,False,TE,Weekly Lineup
2017,5,8,56,Dillon Panthers,Emmanuel Sanders,False,WR,Weekly Lineup
2017,5,9,57,The Big Gronkowski,Golden Tate,False,WR,Weekly Lineup
