rank,team,seasons,games,wins,losses,ties,points_for,points_against,win_pct,avg_points,avg_points_against,point_diff
1,Voldemort,10,123,73,50,0,13593.22,12683.34,0.5934959349593496,110.5139837398374,103.11658536585367,909.8799999999992
2,Post Mahomes,10,123,71,52,0,13608.16,12636.039999999999,0.5772357723577236,110.63544715447155,102.73203252032519,972.1200000000008
3,ThreatLevelMidnight,10,123,71,52,0,13374.04,13115.8,0.5772357723577236,108.7320325203252,106.63252032520325,258.2400000000016
4,Pop Lockett Drop it,10,123,68,55,0,13029.76,12811.02,0.5528455284552846,105.9330081300813,104.15463414634146,218.73999999999978
5,Big Sack Jack,6,80,41,39,0,8244.2,8346.18,0.5125,103.05250000000001,104.32725,-101.97999999999956
6,The Big Gronkowski,10,123,62,61,0,12917.32,13077.38,0.5040650406504065,105.01886178861788,106.32016260162601,-160.0599999999995
7,malle_dips_pouches,10,123,62,61,0,12532.3,12737.22,0.5040650406504065,101.88861788617885,103.55463414634146,-204.92000000000007
8,Joe Mantegna,10,123,61,62,0,12577.14,12604.16,0.4959349593495935,102.25317073170731,102.47284552845528,-27.020000000000437
9,Patty Primetimes,8,97,48,49,0,10370.64,10197.46,0.4948453608247423,106.91381443298968,105.12845360824741,173.1800000000003
10,Ginger FC 🏆🏆,10,123,55,68,0,12624.88,13104.36,0.44715447154471544,102.64130081300813,106.53951219512196,-479.4800000000014
11,Malle ❤️ 🐸,10,123,54,69,0,12549.78,13272.2,0.43902439024390244,102.03073170731707,107.90406504065041,-722.4200000000001
12,Dillon Panthers,2,26,10,16,0,2423.82,2461.14,0.38461538461538464,93.22384615384615,94.65923076923076,-37.31999999999971
13,Hello Harvard,1,13,5,8,0,1090.98,1177.94,0.38461538461538464,83.92153846153846,90.61076923076924,-86.96000000000004
14,Uncle Rico,9,110,42,68,0,11524.42,12021.24,0.38181818181818183,104.76745454545454,109.28399999999999,-496.8199999999997
15,Buttermilk Puuump,4,43,15,28,0,4419.3,4634.48,0.3488372093023256,102.77441860465116,107.77860465116278,-215.17999999999938
