year,week,team_1,team_1_score,team_2,team_2_score,winner,margin
2025,13,malle_dips_pouches,95.0,Buttermilk Puuump,94.94,malle_dips_pouches,0.060000000000002274
2019,10,The Big Gronkowski,79.38,malle_dips_pouches,79.32,The Big Gronkowski,0.060000000000002274
2020,1,Uncle Rico,91.28,Voldemort,91.14,Uncle Rico,0.14000000000000057
2023,1,Ginger FC,85.26,Buttermilk Puuump,85.42,Buttermilk Puuump,0.1599999999999966
2024,5,Voldemort,79.04,Buttermilk Puuump,79.26,Buttermilk Puuump,0.21999999999999886
2023,11,Buttermilk Puuump,91.06,Patty Primetimes,90.8,Buttermilk Puuump,0.2600000000000051
2023,12,Voldemort,126.08,Joe Mantegna,126.54,Joe Mantegna,0.46000000000000796
2024,1,The Big Gronkowski,94.86,ThreatLevelMidnight,95.38,ThreatLevelMidnight,0.519999999999996
2023,12,Uncle Rico,89.68,malle_dips_pouches,90.26,malle_dips_pouches,0.5799999999999983
2022,13,ThreatLevelMidnight,88.2,Patty Primetimes,87.44,ThreatLevelMidnight,0.7600000000000051
2024,7,Ginger FC,113.3,malle_dips_pouches,112.46,Ginger FC,0.8400000000000034
2025,5,Voldemort,121.9,Joe Mantegna,122.88,Joe Mantegna,0.9799999999999898
2018,7,The Big Gronkowski,87.64,Post Mahomes,86.66,The Big Gronkowski,0.980000000000004
2021,8,Voldemort,99.38,Post Mahomes,100.36,Post Mahomes,0.980000000000004
2025,13,Joe Mantegna,104.54,Ginger FC,105.54,Ginger FC,1.0
2022,7,Malle ❤️ 🐸,80.5,Pop Lockett Drop it,81.52,Pop Lockett Drop it,1.019999999999996
2023,6,Malle ❤️ 🐸,99.9,Post Mahomes,98.84,Malle ❤️ 🐸,1.0600000000000023
2021,1,The Big Gronkowski,139.34,Malle ❤️ 🐸,140.56,Malle ❤️ 🐸,1.2199999999999989
2018,13,The Big Gronkowski,91.76,Voldemort,93.0,Voldemort,1.2399999999999949
2018,9,Voldemort,98.74,Post Mahomes,97.48,Voldemort,1.259999999999991
2018,5,Pop Lockett Drop it,100.88,Big Sack Jack,102.22,Big Sack Jack,1.3400000000000034
2018,1,Voldemort,121.58,Big Sack Jack,123.04,Big Sack Jack,1.460000000000008
2018,2,Uncle Rico,98.54,Dillon Panthers,100.02,Dillon Panthers,1.4799999999999898
2022,1,malle_dips_pouches,106.32,Patty Primetimes,104.7,malle_dips_pouches,1.6199999999999903
2021,9,ThreatLevelMidnight,91.36,Pop Lockett Drop it,89.56,ThreatLevelMidnight,1.7999999999999972
