team,opponent,games,wins,losses,ties,points_for,points_against,win_pct,point_diff
Big Sack Jack,Dillon Panthers,1,0,1,0,106.58,120.84,0.0,-14.260000000000005
Big Sack Jack,Ginger FC,5,3,2,0,535.28,494.1,0.6,41.17999999999995
Big Sack Jack,Joe Mantegna,7,4,3,0,664.6,718.5,0.5714285714285714,-53.89999999999998
Big Sack Jack,Malle ❤️ 🐸,6,4,2,0,620.8,575.26,0.6666666666666666,45.539999999999964
Big Sack Jack,Patty Primetimes,5,2,3,0,573.76,515.66,0.4,58.10000000000002
Big Sack Jack,Pop Lockett Drop it,8,5,3,0,850.42,811.8,0.625,38.620000000000005
Big Sack Jack,Post Mahomes,6,4,2,0,667.4200000000001,663.78,0.6666666666666666,3.6400000000001
Big Sack Jack,The Big Gronkowski,6,3,3,0,702.3,675.86,0.5,26.43999999999994
Big Sack Jack,ThreatLevelMidnight,7,1,6,0,784.98,925.52,0.14285714285714285,-140.53999999999996
Big Sack Jack,Uncle Rico,5,2,3,0,469.7,525.8,0.4,-56.099999999999966
Big Sack Jack,Voldemort,6,2,4,0,526.02,671.1800000000001,0.3333333333333333,-145.16000000000008
Big Sack Jack,malle_dips_pouches,5,4,1,0,543.0,495.76,0.8,47.24000000000001
Buttermilk Puuump,Ginger FC,5,2,3,0,525.82,528.34,0.4,-2.519999999999982
Buttermilk Puuump,Joe Mantegna,4,1,3,0,411.1,458.06,0.25,-46.95999999999998
Buttermilk Puuump,Malle ❤️ 🐸,4,1,3,0,408.54,452.5,0.25,-43.95999999999998
Buttermilk Puuump,Patty Primetimes,3,2,1,0,325.36,270.96,0.6666666666666666,54.400000000000034
Buttermilk Puuump,Pop Lockett Drop it,4,0,4,0,411.24,524.4200000000001,0.0,-113.18000000000006
Buttermilk Puuump,Post Mahomes,3,2,1,0,344.12,358.88,0.6666666666666666,-14.759999999999991
Buttermilk Puuump,The Big Gronkowski,5,3,2,0,572.34,500.38,0.6,71.96000000000004
Buttermilk Puuump,ThreatLevelMidnight,3,1,2,0,346.18,363.65999999999997,0.3333333333333333,-17.47999999999996
Buttermilk Puuump,Uncle Rico,4,0,4,0,337.5,462.03999999999996,0.0,-124.53999999999996
Buttermilk Puuump,Voldemort,3,1,2,0,233.92000000000002,248.70000000000002,0.3333333333333333,-14.780000000000001
Buttermilk Puuump,malle_dips_pouches,4,2,2,0,431.78,368.18,0.5,63.599999999999966
Dillon Panthers,Big Sack Jack,1,1,0,0,120.84,106.58,1.0,14.260000000000005
Dillon Panthers,Ginger FC,2,0,2,0,214.7,222.88,0.0,-8.180000000000007
Dillon Panthers,Joe Mantegna,1,1,0,0,104.6,101.32,1.0,3.280000000000001
Dillon Panthers,Malle ❤️ 🐸,1,1,0,0,108.52,100.6,1.0,7.920000000000002
Dillon Panthers,Pop Lockett Drop it,1,1,0,0,122.9,83.4,1.0,39.5
Dillon Panthers,Post Mahomes,1,0,1,0,105.82,135.48,0.0,-29.659999999999997
Dillon Panthers,The Big Gronkowski,1,0,1,0,93.18,98.5,0.0,-5.319999999999993
Dillon Panthers,ThreatLevelMidnight,1,0,1,0,79.04,92.16,0.0,-13.11999999999999
Dillon Panthers,Uncle Rico,2,1,1,0,174.64,209.86,0.5,-35.22000000000003
Dillon Panthers,Voldemort,1,1,0,0,106.52,95.7,1.0,10.819999999999993
Dillon Panthers,malle_dips_pouches,1,0,1,0,94.8,111.4,0.0,-16.60000000000001
Ginger FC,Big Sack Jack,5,2,3,0,494.1,535.28,0.4,-41.17999999999995
Ginger FC,Buttermilk Puuump,5,3,2,0,528.34,525.82,0.6,2.519999999999982
Ginger FC,Dillon Panthers,2,2,0,0,222.88,214.7,1.0,8.180000000000007
Ginger FC,Joe Mantegna,9,3,6,0,883.02,981.84,0.3333333333333333,-98.82000000000005
Ginger FC,Malle ❤️ 🐸,9,5,4,0,1083.44,903.3,0.5555555555555556,180.1400000000001
Ginger FC,Patty Primetimes,9,1,8,0,899.28,1037.5,0.1111111111111111,-138.22000000000003
Ginger FC,Pop Lockett Drop it,13,5,8,0,1374.84,1478.66,0.38461538461538464,-103.82000000000016
Ginger FC,Post Mahomes,12,4,8,0,1237.54,1394.48,0.3333333333333333,-156.94000000000005
Ginger FC,The Big Gronkowski,9,4,5,0,932.7,896.74,0.4444444444444444,35.960000000000036
Ginger FC,ThreatLevelMidnight,11,4,7,0,1066.68,1134.18,0.36363636363636365,-67.5
Ginger FC,Uncle Rico,8,2,6,0,832.0,1014.3199999999999,0.25,-182.31999999999994
Ginger FC,Voldemort,8,2,6,0,744.26,961.06,0.25,-216.79999999999995
Ginger FC,malle_dips_pouches,9,7,2,0,967.02,856.56,0.7777777777777778,110.46000000000004
Joe Mantegna,Big Sack Jack,7,3,4,0,718.5,664.6,0.42857142857142855,53.89999999999998
Joe Mantegna,Buttermilk Puuump,4,3,1,0,458.06,411.1,0.75,46.95999999999998
Joe Mantegna,Dillon Panthers,1,0,1,0,101.32,104.6,0.0,-3.280000000000001
Joe Mantegna,Ginger FC,9,6,3,0,981.84,883.02,0.6666666666666666,98.82000000000005
