year,week,team,opponent,points_for,points_against,result
2021,5,Uncle Rico,Post Mahomes,191.08,103.96,W
2022,5,Ginger FC,Malle ❤️ 🐸,182.3,76.16,W
2020,12,Voldemort,Uncle Rico,176.74,171.52,W
2024,14,Voldemort,ThreatLevelMidnight,176.08,148.6,W
2024,5,Post Mahomes,Uncle Rico,173.32,93.64,W
2020,12,Uncle Rico,Voldemort,171.52,176.74,L
2021,6,Post Mahomes,The Big Gronkowski,171.26,119.74,W
2025,8,Patty Primetimes,Pop Lockett Drop it,169.62,97.72,W
2022,2,malle_dips_pouches,Uncle Rico,168.52,95.5,W
2025,7,Ginger FC,Malle ❤️ 🐸,165.7,86.04,W
2022,4,ThreatLevelMidnight,Uncle Rico,164.68,115.86,W
2020,8,Ginger FC,Malle ❤️ 🐸,162.94,96.56,W
2021,11,Joe Mantegna,Big Sack Jack,161.38,71.4,W
2022,8,ThreatLevelMidnight,Big Sack Jack,161.18,128.28,W
2024,5,ThreatLevelMidnight,malle_dips_pouches,160.9,127.76,W
2021,5,Ginger FC,malle_dips_pouches,160.66,96.48,W
2024,6,malle_dips_pouches,Pop Lockett Drop it,160.44,134.58,W
2020,3,The Big Gronkowski,Joe Mantegna,160.22,112.36,W
2018,4,Pop Lockett Drop it,Uncle Rico,158.96,84.62,W
2024,13,Pop Lockett Drop it,Buttermilk Puuump,158.18,139.74,W
2022,3,malle_dips_pouches,Voldemort,157.92,82.0,W
2025,2,Joe Mantegna,Ginger FC,157.44,98.98,W
2023,11,ThreatLevelMidnight,Pop Lockett Drop it,156.98,95.34,W
2024,1,Patty Primetimes,Uncle Rico,156.68,71.34,W
2024,7,Post Mahomes,Malle ❤️ 🐸,156.64,104.66,W
