year,week,team,opponent,points_for,points_against,result
2021,14,malle_dips_pouches,Pop Lockett Drop it,47.68,88.76,L
2021,13,Uncle Rico,Joe Mantegna,49.72,144.18,L
2025,13,Voldemort,Malle ❤️ 🐸,50.62,91.96,L
2020,9,Patty Primetimes,Uncle Rico,51.94,73.4,L
2023,1,Uncle Rico,malle_dips_pouches,52.38,80.64,L
2018,13,Malle ❤️ 🐸,malle_dips_pouches,54.72,72.58,L
2019,6,The Big Gronkowski,Pop Lockett Drop it,55.0,100.0,L
2023,3,Ginger FC,Malle ❤️ 🐸,55.28,127.68,L
2019,12,Pop Lockett Drop it,Uncle Rico,55.4,112.9,L
2018,3,Ginger FC,Pop Lockett Drop it,56.9,127.26,L
2024,14,Joe Mantegna,malle_dips_pouches,57.44,126.18,L
2025,7,malle_dips_pouches,ThreatLevelMidnight,57.74,125.42,L
2019,9,Malle ❤️ 🐸,Ginger FC,58.04,115.7,L
2019,13,The Big Gronkowski,Voldemort,59.4,69.7,L
2019,11,Big Sack Jack,Voldemort,60.34,107.08,L
2021,12,malle_dips_pouches,Joe Mantegna,60.42,102.12,L
2023,11,Ginger FC,Voldemort,60.44,119.96,L
2018,12,Big Sack Jack,Voldemort,61.04,106.22,L
2019,6,Uncle Rico,Joe Mantegna,61.2,109.14,L
2022,3,ThreatLevelMidnight,Post Mahomes,61.54,82.24,L
2024,6,The Big Gronkowski,Malle ❤️ 🐸,62.22,98.36,L
2019,4,Ginger FC,Post Mahomes,62.54,81.4,L
2019,7,Malle ❤️ 🐸,Pop Lockett Drop it,63.46,90.24,L
2020,7,Big Sack Jack,Uncle Rico,63.9,110.18,L
2020,8,Joe Mantegna,Pop Lockett Drop it,64.36,102.84,L
