year,team,games,wins,losses,ties,points_for,points_against,win_pct,point_diff
2017,Ginger FC,13,10,3,0,1194.24,1049.3999999999999,0.7692307692307693,144.84000000000015
2017,Voldemort,13,9,4,0,1343.02,1164.22,0.6923076923076923,178.79999999999995
2017,Pop Lockett Drop it,13,9,4,0,1093.78,1108.6399999999999,0.6923076923076923,-14.8599999999999
2017,Post Mahomes,13,8,5,0,1285.8600000000001,1111.46,0.6153846153846154,174.4000000000001
2017,malle_dips_pouches,13,7,6,0,1228.02,1106.42,0.5384615384615384,121.59999999999991
2017,Big Sack Jack,13,7,6,0,1199.3400000000001,1152.12,0.5384615384615384,47.220000000000255
2017,ThreatLevelMidnight,13,6,7,0,1193.04,1247.4,0.46153846153846156,-54.36000000000013
2017,The Big Gronkowski,13,5,8,0,1238.36,1270.28,0.38461538461538464,-31.920000000000073
2017,Hello Harvard,13,5,8,0,1090.98,1177.94,0.38461538461538464,-86.96000000000004
2017,Joe Mantegna,13,5,8,0,949.44,1124.28,0.38461538461538464,-174.83999999999992
2017,Dillon Panthers,13,4,9,0,1098.26,1103.26,0.3076923076923077,-5.0
2017,Malle ❤️ 🐸,13,3,10,0,1041.76,1340.68,0.23076923076923078,-298.9200000000001
2018,malle_dips_pouches,13,11,2,0,1360.18,1158.34,0.8461538461538461,201.84000000000015
2018,Pop Lockett Drop it,13,8,5,0,1480.2,1358.9,0.6153846153846154,121.29999999999995
2018,Big Sack Jack,13,8,5,0,1382.44,1392.1599999999999,0.6153846153846154,-9.7199999999998
2018,ThreatLevelMidnight,13,7,6,0,1353.82,1336.1399999999999,0.5384615384615384,17.680000000000064
2018,Voldemort,13,7,6,0,1326.32,1290.02,0.5384615384615384,36.299999999999955
2018,The Big Gronkowski,13,7,6,0,1262.4,1301.6,0.5384615384615384,-39.19999999999982
2018,Post Mahomes,13,6,7,0,1445.26,1344.48,0.46153846153846156,100.77999999999997
2018,Dillon Panthers,13,6,7,0,1325.56,1357.88,0.46153846153846156,-32.320000000000164
2018,Uncle Rico,13,6,7,0,1258.28,1269.3400000000001,0.46153846153846156,-11.060000000000173
2018,Joe Mantegna,13,4,9,0,1362.98,1331.04,0.3076923076923077,31.940000000000055
2018,Malle ❤️ 🐸,13,4,9,0,1207.54,1364.84,0.3076923076923077,-157.29999999999995
2018,Ginger FC,13,4,9,0,1185.84,1446.08,0.3076923076923077,-260.24
2019,Voldemort,13,12,1,0,1381.38,1018.1,0.9230769230769231,363.2800000000001
2019,Patty Primetimes,13,10,3,0,1473.08,1208.42,0.7692307692307693,264.65999999999985
2019,Pop Lockett Drop it,13,10,3,0,1361.3,1164.1399999999999,0.7692307692307693,197.16000000000008
2019,Post Mahomes,13,8,5,0,1322.84,1289.78,0.6153846153846154,33.059999999999945
2019,Big Sack Jack,13,7,6,0,1303.94,1300.72,0.5384615384615384,3.2200000000000273
2019,ThreatLevelMidnight,13,7,6,0,1275.96,1276.72,0.5384615384615384,-0.7599999999999909
2019,The Big Gronkowski,13,6,7,0,1161.42,1268.02,0.46153846153846156,-106.59999999999991
2019,Joe Mantegna,13,4,9,0,1203.44,1362.56,0.3076923076923077,-159.1199999999999
2019,Ginger FC,13,4,9,0,1181.24,1254.02,0.3076923076923077,-72.77999999999997
2019,malle_dips_pouches,13,4,9,0,1144.7,1317.1,0.3076923076923077,-172.39999999999986
2019,Malle ❤️ 🐸,13,4,9,0,1130.3,1329.96,0.3076923076923077,-199.66000000000008
2019,Uncle Rico,13,2,11,0,1167.28,1317.34,0.15384615384615385,-150.05999999999995
2020,Pop Lockett Drop it,13,10,3,0,1524.84,1454.32,0.7692307692307693,70.51999999999998
2020,Voldemort,13,9,4,0,1559.46,1341.8,0.6923076923076923,217.66000000000008
2020,Malle ❤️ 🐸,13,8,5,0,1613.8,1498.24,0.6153846153846154,115.55999999999995
2020,The Big Gronkowski,13,8,5,0,1456.5,1424.62,0.6153846153846154,31.88000000000011
2020,Uncle Rico,13,8,5,0,1397.84,1289.48,0.6153846153846154,108.3599999999999
2020,Joe Mantegna,13,7,6,0,1388.14,1429.74,0.5384615384615384,-41.59999999999991
2020,Post Mahomes,13,6,7,0,1437.74,1303.58,0.46153846153846156,134.16000000000008
2020,Big Sack Jack,13,6,7,0,1370.7,1360.7,0.46153846153846156,10.0
2020,Ginger FC,13,5,8,0,1457.8,1517.8,0.38461538461538464,-60.0
2020,malle_dips_pouches,13,5,8,0,1400.02,1525.52,0.38461538461538464,-125.5
2020,ThreatLevelMidnight,13,3,10,0,1444.0,1681.46,0.23076923076923078,-237.46000000000004
2020,Patty Primetimes,13,3,10,0,1264.36,1487.94,0.23076923076923078,-223.58000000000015
2021,ThreatLevelMidnight,14,11,3,0,1618.28,1468.22,0.7857142857142857,150.05999999999995
2021,Malle ❤️ 🐸,14,11,3,0,1586.24,1371.46,0.7857142857142857,214.77999999999997
2021,Voldemort,14,9,5,0,1683.0,1484.4,0.6428571428571429,198.5999999999999
2021,Joe Mantegna,14,9,5,0,1573.76,1410.58,0.6428571428571429,163.18000000000006
2021,Post Mahomes,14,8,6,0,1592.92,1606.62,0.5714285714285714,-13.699999999999818
2021,The Big Gronkowski,14,7,7,0,1696.54,1635.06,0.5,61.48000000000002
2021,Pop Lockett Drop it,14,7,7,0,1443.06,1407.3799999999999,0.5,35.680000000000064
2021,Patty Primetimes,14,6,8,0,1462.18,1615.56,0.42857142857142855,-153.37999999999988
2021,Ginger FC,14,5,9,0,1625.3999999999999,1695.5,0.35714285714285715,-70.10000000000014
2021,Uncle Rico,14,4,10,0,1505.98,1600.5,0.2857142857142857,-94.51999999999998
2021,malle_dips_pouches,14,4,10,0,1374.7,1601.42,0.2857142857142857,-226.72000000000003
2021,Big Sack Jack,14,3,11,0,1405.86,1671.22,0.21428571428571427,-265.3600000000001
2022,Voldemort,14,10,4,0,1744.96,1569.98,0.7142857142857143,174.98000000000002
2022,Big Sack Jack,14,10,4,0,1581.92,1469.26,0.7142857142857143,112.66000000000008
2022,The Big Gronkowski,14,9,5,0,1585.04,1542.28,0.6428571428571429,42.75999999999999
2022,malle_dips_pouches,14,8,6,0,1657.12,1441.28,0.5714285714285714,215.83999999999992
2022,Ginger FC,14,8,6,0,1547.14,1477.58,0.5714285714285714,69.56000000000017
2022,ThreatLevelMidnight,14,8,6,0,1495.22,1496.62,0.5714285714285714,-1.3999999999998636
2022,Joe Mantegna,14,8,6,0,1480.76,1435.44,0.5714285714285714,45.319999999999936
2022,Post Mahomes,14,7,7,0,1380.72,1418.88,0.5,-38.16000000000008
2022,Uncle Rico,14,5,9,0,1614.04,1769.76,0.35714285714285715,-155.72000000000003
