year,week,team,opponent,points_for,points_against,result,margin
2018,1,Big Sack Jack,Voldemort,123.04,121.58,W,1.460000000000008
2018,1,Dillon Panthers,Ginger FC,122.46,127.62,L,-5.160000000000011
2018,1,Ginger FC,Dillon Panthers,127.62,122.46,W,5.160000000000011
2018,1,Joe Mantegna,Uncle Rico,88.84,101.54,L,-12.700000000000003
2018,1,Malle ❤️ 🐸,The Big Gronkowski,79.84,83.66,L,-3.819999999999993
2018,1,Pop Lockett Drop it,malle_dips_pouches,80.14,98.42,L,-18.28
2018,1,Post Mahomes,ThreatLevelMidnight,122.36,98.66,W,23.700000000000003
2018,1,The Big Gronkowski,Malle ❤️ 🐸,83.66,79.84,W,3.819999999999993
2018,1,ThreatLevelMidnight,Post Mahomes,98.66,122.36,L,-23.700000000000003
2018,1,Uncle Rico,Joe Mantegna,101.54,88.84,W,12.700000000000003
2018,1,Voldemort,Big Sack Jack,121.58,123.04,L,-1.460000000000008
2018,1,malle_dips_pouches,Pop Lockett Drop it,98.42,80.14,W,18.28
2018,2,Big Sack Jack,Joe Mantegna,107.4,97.6,W,9.800000000000011
2018,2,Dillon Panthers,Uncle Rico,100.02,98.54,W,1.4799999999999898
2018,2,Ginger FC,ThreatLevelMidnight,83.04,127.1,L,-44.05999999999999
2018,2,Joe Mantegna,Big Sack Jack,97.6,107.4,L,-9.800000000000011
2018,2,Malle ❤️ 🐸,malle_dips_pouches,97.8,102.26,L,-4.460000000000008
2018,2,Pop Lockett Drop it,Post Mahomes,101.08,98.56,W,2.519999999999996
2018,2,Post Mahomes,Pop Lockett Drop it,98.56,101.08,L,-2.519999999999996
2018,2,The Big Gronkowski,Voldemort,94.74,103.96,L,-9.219999999999999
2018,2,ThreatLevelMidnight,Ginger FC,127.1,83.04,W,44.05999999999999
2018,2,Uncle Rico,Dillon Panthers,98.54,100.02,L,-1.4799999999999898
2018,2,Voldemort,The Big Gronkowski,103.96,94.74,W,9.219999999999999
2018,2,malle_dips_pouches,Malle ❤️ 🐸,102.26,97.8,W,4.460000000000008
2018,3,Big Sack Jack,Dillon Panthers,106.58,120.84,L,-14.260000000000005
2018,3,Dillon Panthers,Big Sack Jack,120.84,106.58,W,14.260000000000005
2018,3,Ginger FC,Pop Lockett Drop it,56.9,127.26,L,-70.36000000000001
2018,3,Joe Mantegna,The Big Gronkowski,108.16,87.74,W,20.42
2018,3,Malle ❤️ 🐸,Voldemort,96.5,82.22,W,14.280000000000001
2018,3,Pop Lockett Drop it,Ginger FC,127.26,56.9,W,70.36000000000001
2018,3,Post Mahomes,malle_dips_pouches,72.76,93.16,L,-20.39999999999999
2018,3,The Big Gronkowski,Joe Mantegna,87.74,108.16,L,-20.42
2018,3,ThreatLevelMidnight,Uncle Rico,98.84,86.6,W,12.240000000000009
2018,3,Uncle Rico,ThreatLevelMidnight,86.6,98.84,L,-12.240000000000009
2018,3,Voldemort,Malle ❤️ 🐸,82.22,96.5,L,-14.280000000000001
2018,3,malle_dips_pouches,Post Mahomes,93.16,72.76,W,20.39999999999999
2018,4,Big Sack Jack,ThreatLevelMidnight,130.98,154.38,L,-23.400000000000006
2018,4,Dillon Panthers,The Big Gronkowski,93.18,98.5,L,-5.319999999999993
2018,4,Ginger FC,Post Mahomes,110.52,152.36,L,-41.84000000000002
2018,4,Joe Mantegna,Malle ❤️ 🐸,131.56,77.46,W,54.10000000000001
2018,4,Malle ❤️ 🐸,Joe Mantegna,77.46,131.56,L,-54.10000000000001
2018,4,Pop Lockett Drop it,Uncle Rico,158.96,84.62,W,74.34
2018,4,Post Mahomes,Ginger FC,152.36,110.52,W,41.84000000000002
2018,4,The Big Gronkowski,Dillon Panthers,98.5,93.18,W,5.319999999999993
2018,4,ThreatLevelMidnight,Big Sack Jack,154.38,130.98,W,23.400000000000006
2018,4,Uncle Rico,Pop Lockett Drop it,84.62,158.96,L,-74.34
2018,4,Voldemort,malle_dips_pouches,93.16,112.2,L,-19.040000000000006
2018,4,malle_dips_pouches,Voldemort,112.2,93.16,W,19.040000000000006
2018,5,Big Sack Jack,Pop Lockett Drop it,102.22,100.88,W,1.3400000000000034
2018,5,Dillon Panthers,Malle ❤️ 🐸,108.52,100.6,W,7.920000000000002
2018,5,Ginger FC,malle_dips_pouches,88.24,95.54,L,-7.300000000000011
2018,5,Joe Mantegna,Voldemort,100.92,122.04,L,-21.120000000000005
2018,5,Malle ❤️ 🐸,Dillon Panthers,100.6,108.52,L,-7.920000000000002
2018,5,Pop Lockett Drop it,Big Sack Jack,100.88,102.22,L,-1.3400000000000034
2018,5,Post Mahomes,Uncle Rico,114.6,94.98,W,19.61999999999999
2018,5,The Big Gronkowski,ThreatLevelMidnight,93.86,86.94,W,6.920000000000002
2018,5,ThreatLevelMidnight,The Big Gronkowski,86.94,93.86,L,-6.920000000000002
2018,5,Uncle Rico,Post Mahomes,94.98,114.6,L,-19.61999999999999
2018,5,Voldemort,Joe Mantegna,122.04,100.92,W,21.120000000000005
2018,5,malle_dips_pouches,Ginger FC,95.54,88.24,W,7.300000000000011
2018,6,Big Sack Jack,Post Mahomes,122.68,118.9,W,3.780000000000001
2018,6,Dillon Panthers,Voldemort,106.52,95.7,W,10.819999999999993
2018,6,Ginger FC,Uncle Rico,81.08,124.1,L,-43.019999999999996
2018,6,Joe Mantegna,malle_dips_pouches,116.08,70.24,W,45.84
2018,6,Malle ❤️ 🐸,ThreatLevelMidnight,95.06,92.92,W,2.1400000000000006
2018,6,Pop Lockett Drop it,The Big Gronkowski,125.6,88.58,W,37.019999999999996
2018,6,Post Mahomes,Big Sack Jack,118.9,122.68,L,-3.780000000000001
2018,6,The Big Gronkowski,Pop Lockett Drop it,88.58,125.6,L,-37.019999999999996
2018,6,ThreatLevelMidnight,Malle ❤️ 🐸,92.92,95.06,L,-2.1400000000000006
2018,6,Uncle Rico,Ginger FC,124.1,81.08,W,43.019999999999996
2018,6,Voldemort,Dillon Panthers,95.7,106.52,L,-10.819999999999993
2018,6,malle_dips_pouches,Joe Mantegna,70.24,116.08,L,-45.84
2018,7,Big Sack Jack,Ginger FC,111.78,80.1,W,31.680000000000007
2018,7,Dillon Panthers,Joe Mantegna,104.6,101.32,W,3.280000000000001
2018,7,Ginger FC,Big Sack Jack,80.1,111.78,L,-31.680000000000007
2018,7,Joe Mantegna,Dillon Panthers,101.32,104.6,L,-3.280000000000001
2018,7,Malle ❤️ 🐸,Pop Lockett Drop it,107.34,142.86,L,-35.52000000000001
2018,7,Pop Lockett Drop it,Malle ❤️ 🐸,142.86,107.34,W,35.52000000000001
2018,7,Post Mahomes,The Big Gronkowski,86.66,87.64,L,-0.980000000000004
2018,7,The Big Gronkowski,Post Mahomes,87.64,86.66,W,0.980000000000004
2018,7,ThreatLevelMidnight,Voldemort,119.34,111.38,W,7.960000000000008
2018,7,Uncle Rico,malle_dips_pouches,73.24,93.78,L,-20.540000000000006
2018,7,Voldemort,ThreatLevelMidnight,111.38,119.34,L,-7.960000000000008
2018,7,malle_dips_pouches,Uncle Rico,93.78,73.24,W,20.540000000000006
2018,8,Big Sack Jack,Uncle Rico,98.9,111.24,L,-12.33999999999999
2018,8,Dillon Panthers,malle_dips_pouches,94.8,111.4,L,-16.60000000000001
