year,player,final_owner,ownership_confidence,ownership_evidence,snapshot_owner,snapshot_week
2017,Brandin Cooks,Big Sack Jack,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Big Sack Jack,13.0
2017,Chris Boswell,Big Sack Jack,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Big Sack Jack,13.0
2017,Chris Thompson,Big Sack Jack,Snapshot Only,Final regular-season roster snapshot (Week 13),Big Sack Jack,13.0
2017,DeMarco Murray,Big Sack Jack,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Post Mahomes,Post Mahomes,13.0
2017,Doug Martin,Big Sack Jack,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Big Sack Jack,13.0
2017,Hunter Henry,Big Sack Jack,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Big Sack Jack,13.0
2017,Kirk Cousins,Big Sack Jack,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Big Sack Jack,13.0
2017,Mark Ingram II,Big Sack Jack,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Big Sack Jack,13.0
2017,Marvin Jones Jr.,Big Sack Jack,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Big Sack Jack,13.0
2017,Peyton Barber,Big Sack Jack,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Philip Rivers,Big Sack Jack,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Big Sack Jack,13.0
2017,Robert Woods,Big Sack Jack,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Big Sack Jack,13.0
2017,Saints,Big Sack Jack,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Saints - DEF,Big Sack Jack,Snapshot Only,Final regular-season roster snapshot (Week 13),Big Sack Jack,13.0
2017,Terrance Williams,Big Sack Jack,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Big Sack Jack,13.0
2017,Tyreek Hill,Big Sack Jack,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Big Sack Jack,13.0
2017,Vikings,Big Sack Jack,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Vikings - DEF,Big Sack Jack,Snapshot Only,Final regular-season roster snapshot (Week 13),Big Sack Jack,13.0
2017,Austin Seferian-Jenkins,Dillon Panthers,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Dillon Panthers,13.0
