keeper_year,team,player,eligible,eligibility_status,keeper_round,keeper_number,keeper_status,acquisition_basis,prior_year_round,prior_was_keeper,prior_draft_team,waiver_acquisition_type,waiver_acquisition_date,end_of_prior_season_owner,ownership_confidence,ownership_evidence
2026,Buttermilk Puuump,Josh Jacobs,True,Eligible — Round 1,1.0,1,1st-Year Keeper,Prior Draft,1.0,False,Buttermilk Puuump,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Breece Hall,True,Eligible — Round 2,2.0,1,1st-Year Keeper,Prior Draft,3.0,False,Buttermilk Puuump,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,George Pickens,True,Eligible — Round 3,3.0,1,1st-Year Keeper,Prior Draft,4.0,False,Buttermilk Puuump,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Aaron Jones Sr.,True,Eligible — Round 5,5.0,1,1st-Year Keeper,Prior Draft,6.0,False,Buttermilk Puuump,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Evan Engram,True,Eligible — Round 6,6.0,1,1st-Year Keeper,Prior Draft,7.0,False,Buttermilk Puuump,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Deebo Samuel Sr.,True,Eligible — Round 7,7.0,1,1st-Year Keeper,Prior Draft,8.0,False,Buttermilk Puuump,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Matthew Golden,True,Eligible — Round 7,7.0,1,1st-Year Keeper,Prior Draft,8.0,False,Uncle Rico,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Jared Goff,True,Eligible — Round 8,8.0,1,1st-Year Keeper,Prior Draft,9.0,False,Buttermilk Puuump,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Nick Chubb,True,Eligible — Round 9,9.0,1,1st-Year Keeper,Prior Draft,10.0,False,Buttermilk Puuump,,,Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
2026,Buttermilk Puuump,Darius Slayton,True,Eligible — Round 10,10.0,1,1st-Year Keeper,Waiver / Free Agent,,False,,Waiver,"Nov 5, 3:31 am",Buttermilk Puuump,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Uncle Rico
