year,team,player,prior_season,prior_season_end_owner,end_of_season_eligible,end_of_season_eligibility,prior_ownership_confidence,prior_ownership_evidence,round_kept_in,keeper_status,acquisition_basis,rule_status
2020,Big Sack Jack,Melvin Gordon III,2019,Big Sack Jack,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,5,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2020,Joe Mantegna,Miles Sanders,2019,Joe Mantegna,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,10,1st-Year Keeper,Prior Draft,Historical Round Exception
2020,Malle ❤️ 🐸,Kareem Hunt,2019,Malle ❤️ 🐸,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,7,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2020,Patty Primetimes,Lamar Jackson,2019,Patty Primetimes,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,8,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2020,Pop Lockett Drop it,Josh Jacobs,2019,Pop Lockett Drop it,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,3,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2020,Post Mahomes,Kyler Murray,2019,Post Mahomes,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,9,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2020,Uncle Rico,Derrick Henry,2019,Uncle Rico,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,3,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2020,Voldemort,Terry McLaurin,2019,Voldemort,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,10,1st-Year Keeper,Waiver / Free Agent,Matches Keeper Rule
2021,Big Sack Jack,Patrick Mahomes,2020,Big Sack Jack,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,1,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2021,Ginger FC,DK Metcalf,2020,Ginger FC,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,4,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2021,Joe Mantegna,Miles Sanders,2020,Joe Mantegna,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,9,2nd-Year Keeper — Final Year,Prior Keeper,Matches Keeper Rule
2021,Malle ❤️ 🐸,Damien Harris,2020,Malle ❤️ 🐸,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,14,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2021,Patty Primetimes,Josh Allen,2020,Uncle Rico,False,INELIGIBLE — Different End-of-Season Owner,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Patty Primetimes,6,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2021,Pop Lockett Drop it,Stefon Diggs,2020,Pop Lockett Drop it,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,4,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2021,Post Mahomes,Kyler Murray,2020,Post Mahomes,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,8,2nd-Year Keeper — Final Year,Prior Keeper,Matches Keeper Rule
2021,The Big Gronkowski,Darren Waller,2020,The Big Gronkowski,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,5,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2021,ThreatLevelMidnight,Mike Davis,2020,ThreatLevelMidnight,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,10,1st-Year Keeper,Waiver / Free Agent,Matches Keeper Rule
2021,Uncle Rico,Derrick Henry,2020,Uncle Rico,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,2,2nd-Year Keeper — Final Year,Prior Keeper,Matches Keeper Rule
2021,Voldemort,Justin Jefferson,2020,Pop Lockett Drop it,False,INELIGIBLE — Different End-of-Season Owner,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Voldemort,11,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2021,malle_dips_pouches,Jerry Jeudy,2020,malle_dips_pouches,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,8,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2022,Big Sack Jack,DJ Moore,2021,Big Sack Jack,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,3,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2022,Ginger FC,Leonard Fournette,2021,Ginger FC,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,7,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2022,Joe Mantegna,Justin Herbert,2021,Joe Mantegna,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,5,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2022,Malle ❤️ 🐸,Adam Thielen,2021,Malle ❤️ 🐸,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,3,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2022,Patty Primetimes,Travis Etienne Jr.,2021,Patty Primetimes,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,14,1st-Year Keeper,Prior Draft,Matches Keeper Rule
2022,Pop Lockett Drop it,Hollywood Brown,2021,Pop Lockett Drop it,True,Eligible — Held at End of Prior Season,Verified Agreement,Draft + transactions agrees with Week 14 roster snapshot,10,1st-Year Keeper,Prior Draft,Matches Keeper Rule
