year,team,player,round_kept_in,pick_in_round,overall_pick,keeper_number,keeper_status,keeper_limit_status,acquisition_basis,waiver_baseline,waiver_acquisition_type,waiver_acquisition_team,waiver_acquisition_date,previous_team,previous_year_round,previous_was_keeper,original_draft_year,original_draft_round,original_draft_team,expected_round,round_matches_rule,known_round_exception,rule_status,next_keeper_round,next_season_status
2020,Big Sack Jack,Melvin Gordon III,5,3,51,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Big Sack Jack,6.0,False,2019.0,6.0,Big Sack Jack,5,True,False,Matches Keeper Rule,4.0,Eligible — Round 4
2020,Joe Mantegna,Miles Sanders,10,6,114,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Joe Mantegna,5.0,False,2019.0,5.0,Joe Mantegna,4,False,True,Historical Round Exception,9.0,Eligible — Round 9
2020,Malle ❤️ 🐸,Kareem Hunt,7,5,77,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Malle ❤️ 🐸,8.0,False,2019.0,8.0,Malle ❤️ 🐸,7,True,False,Matches Keeper Rule,6.0,Eligible — Round 6
2020,Patty Primetimes,Lamar Jackson,8,2,86,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Patty Primetimes,9.0,False,2019.0,9.0,Patty Primetimes,8,True,False,Matches Keeper Rule,7.0,Eligible — Round 7
2020,Pop Lockett Drop it,Josh Jacobs,3,12,36,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Pop Lockett Drop it,4.0,False,2019.0,4.0,Pop Lockett Drop it,3,True,False,Matches Keeper Rule,2.0,Eligible — Round 2
2020,Post Mahomes,Kyler Murray,9,2,98,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Post Mahomes,10.0,False,2019.0,10.0,Post Mahomes,9,True,False,Matches Keeper Rule,8.0,Eligible — Round 8
2020,Uncle Rico,Derrick Henry,3,4,28,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Uncle Rico,4.0,False,2019.0,4.0,Uncle Rico,3,True,False,Matches Keeper Rule,2.0,Eligible — Round 2
2020,Voldemort,Terry McLaurin,10,5,113,1,1st-Year Keeper,Within Keeper Limit,Waiver / Free Agent,True,Waiver,Voldemort,"Sep 11, 4:42 am",,,False,,,,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2021,Big Sack Jack,Patrick Mahomes,1,7,7,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Big Sack Jack,2.0,False,2020.0,2.0,Big Sack Jack,1,True,False,Matches Keeper Rule,1.0,Eligible — Round 1
2021,Ginger FC,DK Metcalf,4,7,43,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Ginger FC,5.0,False,2020.0,5.0,Ginger FC,4,True,False,Matches Keeper Rule,3.0,Eligible — Round 3
2021,Joe Mantegna,Miles Sanders,9,2,98,2,2nd-Year Keeper — Final Year,Final Eligible Keeper Year,Prior Keeper,False,,,,Joe Mantegna,10.0,True,2019.0,5.0,Joe Mantegna,9,True,False,Matches Keeper Rule,,Must Return to Draft Pool
2021,Malle ❤️ 🐸,Damien Harris,14,8,164,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Malle ❤️ 🐸,15.0,False,2020.0,15.0,Malle ❤️ 🐸,14,True,False,Matches Keeper Rule,13.0,Eligible — Round 13
2021,Patty Primetimes,Josh Allen,6,10,70,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Uncle Rico,7.0,False,2020.0,7.0,Uncle Rico,6,True,False,Matches Keeper Rule,5.0,Eligible — Round 5
2021,Pop Lockett Drop it,Stefon Diggs,4,2,38,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Pop Lockett Drop it,5.0,False,2020.0,5.0,Pop Lockett Drop it,4,True,False,Matches Keeper Rule,3.0,Eligible — Round 3
2021,Post Mahomes,Kyler Murray,8,4,88,2,2nd-Year Keeper — Final Year,Final Eligible Keeper Year,Prior Keeper,False,,,,Post Mahomes,9.0,True,2019.0,10.0,Post Mahomes,8,True,False,Matches Keeper Rule,,Must Return to Draft Pool
2021,The Big Gronkowski,Darren Waller,5,12,60,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,The Big Gronkowski,6.0,False,2020.0,6.0,The Big Gronkowski,5,True,False,Matches Keeper Rule,4.0,Eligible — Round 4
2021,ThreatLevelMidnight,Mike Davis,10,3,111,1,1st-Year Keeper,Within Keeper Limit,Waiver / Free Agent,True,Waiver,ThreatLevelMidnight,"Sep 23, 4:25 am",,,False,,,,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2021,Uncle Rico,Derrick Henry,2,12,24,2,2nd-Year Keeper — Final Year,Final Eligible Keeper Year,Prior Keeper,False,,,,Uncle Rico,3.0,True,2019.0,4.0,Uncle Rico,2,True,False,Matches Keeper Rule,,Must Return to Draft Pool
2021,Voldemort,Justin Jefferson,11,8,128,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Pop Lockett Drop it,12.0,False,2020.0,12.0,Pop Lockett Drop it,11,True,False,Matches Keeper Rule,10.0,Eligible — Round 10
2021,malle_dips_pouches,Jerry Jeudy,8,9,93,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,malle_dips_pouches,9.0,False,2020.0,9.0,malle_dips_pouches,8,True,False,Matches Keeper Rule,7.0,Eligible — Round 7
2022,Big Sack Jack,DJ Moore,3,7,31,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Big Sack Jack,4.0,False,2021.0,4.0,Big Sack Jack,3,True,False,Matches Keeper Rule,2.0,Eligible — Round 2
2022,Ginger FC,Leonard Fournette,7,10,82,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Ginger FC,8.0,False,2021.0,8.0,Ginger FC,7,True,False,Matches Keeper Rule,6.0,Eligible — Round 6
2022,Joe Mantegna,Justin Herbert,5,12,60,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Joe Mantegna,6.0,False,2021.0,6.0,Joe Mantegna,5,True,False,Matches Keeper Rule,4.0,Eligible — Round 4
