year,week,table_index,row_index,side,fantasy_team,opponent,matchup_id,player,player_position,lineup_slot,is_starter,is_bench,is_ir,projected_points,fantasy_points,stat_summary,raw_player_text,raw_position,raw_cells,matchup_number,yahoo_team_id_used,team_score,opponent_score
2018,1,1,0,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,Philip Rivers,QB,QB,True,False,False,22.91,35.96,,Philip Rivers,QB,"["""", ""Philip Rivers"", ""22.91"", ""35.96"", ""QB"", ""QB"", ""QB"", ""18.24"", ""25.25"", ""Cam Newton"", """"]",1,1,83.66,79.84
2018,1,1,0,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Cam Newton,QB,QB,True,False,False,25.25,18.24,,Cam Newton,QB,"["""", ""Philip Rivers"", ""22.91"", ""35.96"", ""QB"", ""QB"", ""QB"", ""18.24"", ""25.25"", ""Cam Newton"", """"]",1,1,79.84,83.66
2018,1,1,1,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,JuJu Smith-Schuster,WR,WR,True,False,False,9.29,11.9,,JuJu Smith-Schuster,WR,"["""", ""JuJu Smith-Schuster"", ""9.29"", ""11.90"", ""WR"", ""WR"", ""WR"", ""20.70"", ""9.56"", ""Mike Evans"", """"]",1,1,83.66,79.84
2018,1,1,1,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Mike Evans,WR,WR,True,False,False,9.56,20.7,,Mike Evans,WR,"["""", ""JuJu Smith-Schuster"", ""9.29"", ""11.90"", ""WR"", ""WR"", ""WR"", ""20.70"", ""9.56"", ""Mike Evans"", """"]",1,1,79.84,83.66
2018,1,1,2,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,Larry Fitzgerald,WR,WR,True,False,False,9.35,7.6,,Larry Fitzgerald,WR,"["""", ""Larry Fitzgerald"", ""9.35"", ""7.60"", ""WR"", ""WR"", ""WR"", ""6.10"", ""8.80"", ""Allen Robinson"", """"]",1,1,83.66,79.84
2018,1,1,2,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Allen Robinson,WR,WR,True,False,False,8.8,6.1,,Allen Robinson,WR,"["""", ""Larry Fitzgerald"", ""9.35"", ""7.60"", ""WR"", ""WR"", ""WR"", ""6.10"", ""8.80"", ""Allen Robinson"", """"]",1,1,79.84,83.66
2018,1,1,3,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,Christian McCaffrey,RB,RB,True,False,False,15.37,7.5,,Christian McCaffrey,RB,"["""", ""Christian McCaffrey"", ""15.37"", ""7.50"", ""RB"", ""RB"", ""RB"", ""12.70"", ""19.30"", ""David Johnson"", """"]",1,1,83.66,79.84
2018,1,1,3,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,David Johnson,RB,RB,True,False,False,19.3,12.7,,David Johnson,RB,"["""", ""Christian McCaffrey"", ""15.37"", ""7.50"", ""RB"", ""RB"", ""RB"", ""12.70"", ""19.30"", ""David Johnson"", """"]",1,1,79.84,83.66
2018,1,1,4,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,Dalvin Cook,RB,RB,True,False,False,13.7,7.5,,Dalvin Cook,RB,"["""", ""Dalvin Cook"", ""13.70"", ""7.50"", ""RB"", ""RB"", ""RB"", ""6.60"", ""13.22"", ""Kenyan Drake"", """"]",1,1,83.66,79.84
2018,1,1,4,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Kenyan Drake,RB,RB,True,False,False,13.22,6.6,,Kenyan Drake,RB,"["""", ""Dalvin Cook"", ""13.70"", ""7.50"", ""RB"", ""RB"", ""RB"", ""6.60"", ""13.22"", ""Kenyan Drake"", """"]",1,1,79.84,83.66
2018,1,1,5,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,David Njoku,TE,TE,True,False,False,6.35,1.3,,David Njoku,TE,"["""", ""David Njoku"", ""6.35"", ""1.30"", ""TE"", ""TE"", ""TE"", ""0.00"", ""5.65"", ""Cameron Brate"", """"]",1,1,83.66,79.84
2018,1,1,5,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Cameron Brate,TE,TE,True,False,False,5.65,0.0,,Cameron Brate,TE,"["""", ""David Njoku"", ""6.35"", ""1.30"", ""TE"", ""TE"", ""TE"", ""0.00"", ""5.65"", ""Cameron Brate"", """"]",1,1,79.84,83.66
2018,1,1,6,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,Rex Burkhead,,W/R/T,True,False,False,12.18,6.9,,Rex Burkhead,W/R/T,"["""", ""Rex Burkhead"", ""12.18"", ""6.90"", ""W/R/T"", ""W/R/T"", ""W/R/T"", ""10.50"", ""8.84"", ""Tevin Coleman"", """"]",1,1,83.66,79.84
2018,1,1,6,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Tevin Coleman,,W/R/T,True,False,False,8.84,10.5,,Tevin Coleman,W/R/T,"["""", ""Rex Burkhead"", ""12.18"", ""6.90"", ""W/R/T"", ""W/R/T"", ""W/R/T"", ""10.50"", ""8.84"", ""Tevin Coleman"", """"]",1,1,79.84,83.66
2018,1,1,7,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,Matt Bryant,K,K,True,False,False,9.49,8.0,,Matt Bryant,K,"["""", ""Matt Bryant"", ""9.49"", ""8.00"", ""K"", ""K"", ""K"", ""9.00"", ""9.73"", ""Harrison Butker"", """"]",1,1,83.66,79.84
2018,1,1,7,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Harrison Butker,K,K,True,False,False,9.73,9.0,,Harrison Butker,K,"["""", ""Matt Bryant"", ""9.49"", ""8.00"", ""K"", ""K"", ""K"", ""9.00"", ""9.73"", ""Harrison Butker"", """"]",1,1,79.84,83.66
2018,1,1,8,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,Chargers - DEF,DEF,DEF,True,False,False,6.58,-3.0,,Chargers - DEF,DEF,"["""", ""Chargers - DEF"", ""6.58"", ""-3.00"", ""DEF"", ""DEF"", ""DEF"", ""-4.00"", ""8.09"", ""Saints - DEF"", """"]",1,1,83.66,79.84
2018,1,1,8,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Saints - DEF,DEF,DEF,True,False,False,8.09,-4.0,,Saints - DEF,DEF,"["""", ""Chargers - DEF"", ""6.58"", ""-3.00"", ""DEF"", ""DEF"", ""DEF"", ""-4.00"", ""8.09"", ""Saints - DEF"", """"]",1,1,79.84,83.66
2018,1,2,0,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,Brandin Cooks,,BN,False,True,False,9.56,9.3,,Brandin Cooks,BN,"["""", ""Brandin Cooks"", ""9.56"", ""9.30"", ""BN"", ""BN"", ""BN"", ""14.00"", ""21.64"", ""Ben Roethlisberger"", """"]",1,1,83.66,79.84
2018,1,2,0,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Ben Roethlisberger,,BN,False,True,False,21.64,14.0,,Ben Roethlisberger,BN,"["""", ""Brandin Cooks"", ""9.56"", ""9.30"", ""BN"", ""BN"", ""BN"", ""14.00"", ""21.64"", ""Ben Roethlisberger"", """"]",1,1,79.84,83.66
2018,1,2,1,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,Jack Doyle,,BN,False,True,False,6.25,4.0,,Jack Doyle,BN,"["""", ""Jack Doyle"", ""6.25"", ""4.00"", ""BN"", ""BN"", ""BN"", ""0.00"", ""0.00"", ""Alshon Jeffery"", """"]",1,1,83.66,79.84
2018,1,2,1,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Alshon Jeffery,,BN,False,True,False,0.0,0.0,,Alshon Jeffery,BN,"["""", ""Jack Doyle"", ""6.25"", ""4.00"", ""BN"", ""BN"", ""BN"", ""0.00"", ""0.00"", ""Alshon Jeffery"", """"]",1,1,79.84,83.66
2018,1,2,2,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,Alex Smith,,BN,False,True,False,19.82,23.6,,Alex Smith,BN,"["""", ""Alex Smith"", ""19.82"", ""23.60"", ""BN"", ""BN"", ""BN"", ""4.80"", ""7.35"", ""Sterling Shepard"", """"]",1,1,83.66,79.84
2018,1,2,2,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Sterling Shepard,,BN,False,True,False,7.35,4.8,,Sterling Shepard,BN,"["""", ""Alex Smith"", ""19.82"", ""23.60"", ""BN"", ""BN"", ""BN"", ""4.80"", ""7.35"", ""Sterling Shepard"", """"]",1,1,79.84,83.66
2018,1,2,3,left,Malle ❤️ 🐸,The Big Gronkowski,2018-W01-M01,Tyrell Williams,,BN,False,True,False,8.26,6.8,,Tyrell Williams,BN,"["""", ""Tyrell Williams"", ""8.26"", ""6.80"", ""BN"", ""BN"", ""BN"", ""0.00"", ""0.00"", ""Marlon Mack"", """"]",1,1,83.66,79.84
2018,1,2,3,right,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-M01,Marlon Mack,,BN,False,True,False,0.0,0.0,,Marlon Mack,BN,"["""", ""Tyrell Williams"", ""8.26"", ""6.80"", ""BN"", ""BN"", ""BN"", ""0.00"", ""0.00"", ""Marlon Mack"", """"]",1,1,79.84,83.66
