year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2020,1,2020-W01-M01,1,1,Malle ❤️ 🐸,The Big Gronkowski,85.4,147.86,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=1&mid1=1
2020,1,2020-W01-M02,2,3,Voldemort,Uncle Rico,91.28,91.14,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=1&mid1=3
2020,1,2020-W01-M03,3,4,malle_dips_pouches,Joe Mantegna,124.72,115.36,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=1&mid1=4
2020,1,2020-W01-M04,4,5,Week 1 Recap (Won),ThreatLevelMidnight,135.8,115.44,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=1&mid1=5
2020,1,2020-W01-M05,5,6,Pop Lockett Drop it,Ginger FC,149.56,137.88,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=1&mid1=6
2020,1,2020-W01-M06,6,7,Patty Primetimes,Post Mahomes,100.4,105.7,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=1&mid1=7
2020,2,2020-W02-M01,1,1,The Big Gronkowski,Voldemort,96.88,144.0,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=2&mid1=1
2020,2,2020-W02-M02,2,2,Patty Primetimes,Malle ❤️ 🐸,151.48,110.96,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=2&mid1=2
2020,2,2020-W02-M03,3,4,Joe Mantegna,Uncle Rico,112.2,94.7,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=2&mid1=4
2020,2,2020-W02-M04,4,5,malle_dips_pouches,ThreatLevelMidnight,97.02,151.46,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=2&mid1=5
2020,2,2020-W02-M05,5,6,Week 2 Recap (Lost),Pop Lockett Drop it,89.9,131.38,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=2&mid1=6
2020,2,2020-W02-M06,6,7,Post Mahomes,Ginger FC,126.44,145.92,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=2&mid1=7
2020,3,2020-W03-M01,1,1,Joe Mantegna,The Big Gronkowski,160.22,112.36,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=3&mid1=1
2020,3,2020-W03-M02,2,2,Malle ❤️ 🐸,Voldemort,133.28,123.38,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=3&mid1=2
2020,3,2020-W03-M03,3,5,ThreatLevelMidnight,Uncle Rico,130.04,119.62,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=3&mid1=5
2020,3,2020-W03-M04,4,6,malle_dips_pouches,Pop Lockett Drop it,122.12,109.24,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=3&mid1=6
2020,3,2020-W03-M05,5,7,Week 3 Recap (Lost),Post Mahomes,113.4,121.8,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=3&mid1=7
