year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2024,1,2024-W01-M01,1,1,ThreatLevelMidnight,The Big Gronkowski,94.86,95.38,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=1&mid1=1
2024,1,2024-W01-M02,2,2,Malle ❤️ 🐸,Buttermilk Puuump,92.62,79.98,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=1&mid1=2
2024,1,2024-W01-M03,3,3,malle_dips_pouches,Voldemort,104.08,120.32,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=1&mid1=3
2024,1,2024-W01-M04,4,4,Joe Mantegna,Post Mahomes,89.26,132.92,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=1&mid1=4
2024,1,2024-W01-M05,5,6,Pop Lockett Drop it,Ginger FC,142.16,105.9,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=1&mid1=6
2024,1,2024-W01-M06,6,10,Patty Primetimes,Uncle Rico,71.34,156.68,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=1&mid1=10
2024,2,2024-W02-M01,1,1,The Big Gronkowski,Ginger FC,120.64,99.94,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=2&mid1=1
2024,2,2024-W02-M02,2,2,Malle ❤️ 🐸,Uncle Rico,120.44,154.42,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=2&mid1=2
2024,2,2024-W02-M03,3,3,Joe Mantegna,Voldemort,117.26,109.92,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=2&mid1=3
2024,2,2024-W02-M04,4,5,ThreatLevelMidnight,Post Mahomes,133.44,105.18,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=2&mid1=5
2024,2,2024-W02-M05,5,6,Buttermilk Puuump,Pop Lockett Drop it,130.9,83.48,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=2&mid1=6
2024,2,2024-W02-M06,6,9,malle_dips_pouches,Patty Primetimes,89.0,83.86,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=2&mid1=9
2024,3,2024-W03-M01,1,1,Buttermilk Puuump,The Big Gronkowski,106.46,89.46,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=3&mid1=1
2024,3,2024-W03-M02,2,2,Patty Primetimes,Malle ❤️ 🐸,115.74,83.98,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=3&mid1=2
2024,3,2024-W03-M03,3,3,ThreatLevelMidnight,Voldemort,133.52,87.58,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=3&mid1=3
2024,3,2024-W03-M04,4,4,malle_dips_pouches,Joe Mantegna,113.36,86.72,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=3&mid1=4
2024,3,2024-W03-M05,5,6,Pop Lockett Drop it,Uncle Rico,120.08,68.5,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=3&mid1=6
2024,3,2024-W03-M06,6,7,Post Mahomes,Ginger FC,125.58,105.62,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=3&mid1=7
2024,4,2024-W04-M01,1,1,The Big Gronkowski,Uncle Rico,91.4,114.98,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=4&mid1=1
2024,4,2024-W04-M02,2,2,malle_dips_pouches,Malle ❤️ 🐸,96.82,68.38,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=4&mid1=2
2024,4,2024-W04-M03,3,3,Voldemort,Ginger FC,98.4,110.56,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=4&mid1=3
2024,4,2024-W04-M04,4,4,Joe Mantegna,ThreatLevelMidnight,92.54,103.78,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=4&mid1=4
2024,4,2024-W04-M05,5,6,Patty Primetimes,Pop Lockett Drop it,117.0,143.72,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=4&mid1=6
2024,4,2024-W04-M06,6,7,Buttermilk Puuump,Post Mahomes,97.04,120.36,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=4&mid1=7
2024,5,2024-W05-M01,1,1,Patty Primetimes,The Big Gronkowski,133.18,114.02,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=5&mid1=1
2024,5,2024-W05-M02,2,2,Malle ❤️ 🐸,Pop Lockett Drop it,114.86,109.04,30,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=5&mid1=2
2024,5,2024-W05-M03,3,3,Buttermilk Puuump,Voldemort,79.04,79.26,32,2,https://football.fantasysports.yahoo.com/2024/f1/673480/matchup?week=5&mid1=3
