fantasy_team,team_weeks,actual_points,optimal_points,points_left_on_bench,avg_weekly_points_left,avg_lineup_efficiency_pct,worst_week_points_left,avoidable_starts,all_time_efficiency_pct,efficiency_rank
Ginger FC 🏆🏆,2,268.36,293.56,25.2,12.6,90.64,16.4,5,91.42,1
Post Mahomes,111,12281.64,13479.92,1198.28,10.8,91.17,38.64,168,91.11,2
PickUpYourBratsMalle,26,2546.86,2808.46,261.6,10.06,91.53,32.16,37,90.69,3
Ginger FC,122,12413.44,13750.36,1336.92,10.96,90.28,63.7,179,90.28,4
Pop Lockett Drop it,124,13147.24,14603.56,1456.32,11.74,90.13,51.1,184,90.03,5
Buttermilk Puuump,30,3289.64,3678.6,388.96,12.97,89.22,31.6,48,89.43,6
Big Sack Jack,80,8244.2,9219.66,975.46,12.19,89.76,41.32,141,89.42,7
ThreatLevelMidnight,98,10990.9,12343.98,1353.08,13.81,89.02,50.6,149,89.04,8
Voldemort,124,13700.36,15404.64,1704.28,13.74,88.95,52.8,218,88.94,9
Malle ❤️ 🐸,124,12680.86,14325.36,1644.5,13.26,88.56,41.02,222,88.52,10
Uncle Rico,111,11742.32,13302.62,1560.3,14.06,88.18,40.5,190,88.27,11
Patty Primetimes,98,10008.4,11343.9,1335.5,13.63,88.42,43.84,185,88.23,12
Joe Mantegna,111,11843.2,13435.18,1591.98,14.34,88.38,49.6,207,88.15,13
The Big Gronkowski,124,13145.36,14920.3,1774.94,14.31,88.19,50.1,223,88.1,14
malle_dips_pouches,124,12737.3,14463.16,1725.86,13.92,88.01,48.5,240,88.07,15
Little Red Fournette,13,1285.86,1475.26,189.4,14.57,87.48,38.6,23,87.16,16
Dillon Panthers,26,2423.82,2796.86,373.04,14.35,86.86,44.6,56,86.66,17
You Better Park It,14,1430.48,1661.94,231.46,16.53,85.86,34.72,28,86.07,18
Hello Harvard,13,1090.98,1281.08,190.1,14.62,85.39,46.7,24,85.16,19
Ur The Best Bellows,13,949.44,1115.6,166.16,12.78,84.83,27.18,26,85.11,20
