year,week,fantasy_team,opponent,decision_type,player,player_position,lineup_slot,fantasy_points
2017,1,Big Sack Jack,Voldemort,Should Have Benched,Kirk Cousins,QB,QB,13.6
2017,1,Big Sack Jack,Voldemort,Should Have Benched,Hunter Henry,TE,TE,0.0
2017,1,Big Sack Jack,Voldemort,Should Have Benched,Martavis Bryant,WR,W/R/T,1.4
2017,1,Big Sack Jack,Voldemort,Should Have Started,Marvin Jones Jr.,WR,BN,9.7
2017,1,Big Sack Jack,Voldemort,Should Have Started,Philip Rivers,QB,BN,24.68
2017,1,Big Sack Jack,Voldemort,Should Have Started,C.J. Fiedorowicz,TE,BN,4.6
2017,1,Dillon Panthers,Ginger FC,Should Have Benched,Patriots - DEF,DEF,DEF,1.0
2017,1,Dillon Panthers,Ginger FC,Should Have Benched,Derrick Henry,RB,RB,2.5
2017,1,Dillon Panthers,Ginger FC,Should Have Benched,Emmanuel Sanders,WR,WR,2.6
2017,1,Dillon Panthers,Ginger FC,Should Have Started,James White,RB,BN,6.8
2017,1,Dillon Panthers,Ginger FC,Should Have Started,Ravens - DEF,DEF,BN,25.0
2017,1,Dillon Panthers,Ginger FC,Should Have Started,Theo Riddick,RB,BN,8.6
2017,1,Ginger FC,Dillon Panthers,Should Have Benched,Broncos - DEF,DEF,DEF,5.0
2017,1,Ginger FC,Dillon Panthers,Should Have Benched,Jimmy Graham,TE,TE,0.8
2017,1,Ginger FC,Dillon Panthers,Should Have Started,Jack Doyle,TE,BN,4.1
2017,1,Ginger FC,Dillon Panthers,Should Have Started,Rams - DEF,DEF,BN,28.0
2017,1,Hello Harvard,Ur The Best Bellows,Should Have Benched,Rob Kelley,FLEX,W/R/T,3.0
2017,1,Hello Harvard,Ur The Best Bellows,Should Have Started,Adam Thielen,WR,BN,15.7
2017,1,Little Red Fournette,Pop Lockett Drop it,Should Have Benched,Doug Baldwin,WR,WR,6.0
2017,1,Little Red Fournette,Pop Lockett Drop it,Should Have Started,Stefon Diggs,WR,BN,20.7
2017,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Benched,Russell Wilson,QB,QB,8.32
2017,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Benched,Eric Decker,WR,WR,1.0
2017,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Started,Carson Wentz,QB,BN,23.88
2017,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Started,Terrance West,RB,BN,14.0
2017,1,Pop Lockett Drop it,Little Red Fournette,Should Have Benched,Kevin White,WR,WR,0.6
2017,1,Pop Lockett Drop it,Little Red Fournette,Should Have Started,Danny Amendola,WR,BN,10.0
2017,1,The Big Gronkowski,Malle ❤️ 🐸,Should Have Benched,Davante Adams,WR,WR,4.7
2017,1,The Big Gronkowski,Malle ❤️ 🐸,Should Have Started,Mike Gillislee,RB,BN,22.5
2017,1,Ur The Best Bellows,Hello Harvard,Should Have Benched,Adrian Peterson,RB,RB,1.8
2017,1,Ur The Best Bellows,Hello Harvard,Should Have Benched,Odell Beckham Jr.,WR,WR,0.0
2017,1,Ur The Best Bellows,Hello Harvard,Should Have Started,Randall Cobb,WR,BN,8.5
2017,1,Ur The Best Bellows,Hello Harvard,Should Have Started,Sammy Watkins,WR,BN,5.8
2017,1,Voldemort,Big Sack Jack,Should Have Benched,Tom Brady,QB,QB,10.68
2017,1,Voldemort,Big Sack Jack,Should Have Benched,Paul Perkins,FLEX,W/R/T,2.5
2017,1,Voldemort,Big Sack Jack,Should Have Benched,Allen Robinson,WR,WR,1.7
2017,1,Voldemort,Big Sack Jack,Should Have Started,Chris Hogan,WR,BN,2.5
2017,1,Voldemort,Big Sack Jack,Should Have Started,Donte Moncrief,WR,BN,5.0
