year,fantasy_team,weeks,actual_points,optimal_points,points_left_on_bench,avg_weekly_points_left,avg_lineup_efficiency_pct,worst_week_points_left,avoidable_starts,season_efficiency_pct
2018,Big Sack Jack,13,1382.44,1580.88,198.44,15.26,87.29,28.9,25,87.45
2018,Dillon Panthers,13,1325.56,1465.72,140.16,10.78,90.26,23.7,26,90.44
2018,Ginger FC 🏆🏆,13,1185.84,1349.24,163.4,12.57,88.01,43.84,22,87.89
2018,Joe Mantegna,13,1362.98,1650.08,287.1,22.08,82.78,49.6,31,82.6
2018,Malle ❤️ 🐸,13,1207.54,1409.88,202.34,15.56,85.57,31.92,32,85.65
2018,Pop Lockett Drop it,13,1480.2,1539.3,59.1,4.55,95.93,9.6,17,96.16
2018,Post Mahomes,13,1445.26,1597.02,151.76,11.67,90.29,23.6,20,90.5
2018,The Big Gronkowski,13,1262.4,1455.06,192.66,14.82,87.0,31.66,24,86.76
2018,ThreatLevelMidnight,13,1353.82,1505.1,151.28,11.64,89.94,24.0,24,89.95
2018,Uncle Rico,13,1258.28,1450.62,192.34,14.8,87.45,31.1,20,86.74
2018,Voldemort,13,1326.32,1507.62,181.3,13.95,88.08,30.22,27,87.97
2018,malle_dips_pouches,13,1360.18,1561.08,200.9,15.45,86.97,26.7,25,87.13
2019,Big Sack Jack,13,1303.94,1421.84,117.9,9.07,92.13,40.7,16,91.71
2019,Ginger FC 🏆🏆,13,1181.24,1335.72,154.48,11.88,88.35,38.68,23,88.43
2019,Joe Mantegna,13,1203.44,1415.76,212.32,16.33,85.45,48.12,30,85.0
2019,Malle ❤️ 🐸,13,1130.3,1346.14,215.84,16.6,84.36,41.02,32,83.97
2019,Patty Primetimes,13,1473.08,1597.64,124.56,9.58,92.42,33.2,20,92.2
2019,Pop Lockett Drop it,13,1361.3,1591.96,230.66,17.74,85.69,36.1,24,85.51
2019,Post Mahomes,13,1322.84,1481.66,158.82,12.22,89.71,38.64,22,89.28
2019,The Big Gronkowski,13,1161.42,1390.04,228.62,17.59,83.18,41.4,22,83.55
2019,ThreatLevelMidnight,13,1275.96,1524.28,248.32,19.1,83.86,36.5,25,83.71
2019,Uncle Rico,13,1167.28,1356.64,189.36,14.57,86.36,30.2,21,86.04
2019,Voldemort,13,1381.38,1589.42,208.04,16.0,87.09,52.8,24,86.91
2019,malle_dips_pouches,13,1144.7,1282.6,137.9,10.61,89.21,21.9,28,89.25
2020,Big Sack Jack,13,1370.7,1569.92,199.22,15.32,88.34,37.6,26,87.31
2020,Ginger FC 🏆🏆,13,1457.8,1635.5,177.7,13.67,88.91,31.4,24,89.13
2020,Joe Mantegna,13,1388.14,1517.92,129.78,9.98,91.2,22.1,20,91.45
2020,Malle ❤️ 🐸,13,1613.8,1788.14,174.34,13.41,89.78,39.36,20,90.25
2020,Patty Primetimes,13,1264.36,1550.34,285.98,22.0,80.88,41.68,34,81.55
2020,Pop Lockett Drop it,13,1524.84,1727.66,202.82,15.6,88.63,39.4,19,88.26
2020,Post Mahomes,13,1437.74,1559.52,121.78,9.37,91.93,23.58,17,92.19
2020,The Big Gronkowski,13,1456.5,1670.12,213.62,16.43,87.23,50.1,36,87.21
2020,ThreatLevelMidnight,13,1444.0,1619.6,175.6,13.51,89.31,36.8,20,89.16
2020,Uncle Rico,13,1397.84,1586.92,189.08,14.54,87.45,27.4,20,88.09
2020,Voldemort,13,1559.46,1803.88,244.42,18.8,86.36,46.8,26,86.45
