year,week,fantasy_team,opponent,actual_score,yahoo_team_score,optimal_score,points_left_on_bench,lineup_efficiency_pct,avoidable_start_count,missed_start_count,should_have_benched,should_have_started
2018,1,Big Sack Jack,Voldemort,123.04,123.04,127.94,4.9,96.17,2,2,Derrick Henry (RB) | Robert Woods (WR),Latavius Murray (RB) | Mike Williams (WR)
2018,1,Dillon Panthers,Ginger FC,122.46,122.46,123.36,0.9,99.27,1,1,Trey Burton (TE),Austin Hooper (TE)
2018,1,Ginger FC,Dillon Panthers,127.62,127.62,127.62,0.0,100.0,0,0,,
2018,1,Joe Mantegna,Uncle Rico,88.84,88.84,118.54,29.7,74.95,4,4,Jaguars - DEF (DEF) | Deshaun Watson (QB) | Zach Ertz (TE) | Jamison Crowder (WR),Bears - DEF (DEF) | Patrick Mahomes (QB) | George Kittle (TE) | O.J. Howard (TE)
2018,1,Malle ❤️ 🐸,The Big Gronkowski,79.84,79.84,92.74,12.9,86.09,2,2,Saints - DEF (DEF) | Cameron Brate (TE),Ricky Seals-Jones (TE) | Falcons - DEF (DEF)
2018,1,PickUpYourBratsMalle,Post Mahomes,98.66,98.66,107.76,9.1,91.56,2,2,Greg Olsen (TE) | LeSean McCoy (RB),Ben Watson (TE) | Chris Godwin Jr. (WR)
2018,1,Pop Lockett Drop it,malle_dips_pouches,80.14,80.14,87.44,7.3,91.65,2,2,Kareem Hunt (RB) | Royce Freeman (RB),Josh Gordon (WR) | James White (RB)
2018,1,Post Mahomes,PickUpYourBratsMalle,122.36,122.36,145.36,23.0,84.18,2,2,Marquise Goodwin (FLEX) | T.Y. Hilton (WR),Isaiah Crowell (RB) | Kenny Golladay (WR)
2018,1,The Big Gronkowski,Malle ❤️ 🐸,83.66,83.66,88.76,5.1,94.25,2,2,David Njoku (TE) | Rex Burkhead (RB),Brandin Cooks (WR) | Jack Doyle (TE)
2018,1,Uncle Rico,Joe Mantegna,101.54,101.54,132.24,30.7,76.78,2,2,Doug Baldwin (WR) | Chris Hogan (WR),Robbie Chosen (WR) | Kenny Stills (WR)
2018,1,Voldemort,Big Sack Jack,121.58,121.58,123.48,1.9,98.46,1,1,Devonta Freeman (RB),Peyton Barber (RB)
2018,1,malle_dips_pouches,Pop Lockett Drop it,98.42,98.42,124.12,25.7,79.29,2,2,Leonard Fournette (RB) | Amari Cooper (WR),Cooper Kupp (WR) | Randall Cobb (WR)
2018,2,Big Sack Jack,Joe Mantegna,107.4,107.4,109.2,1.8,98.35,1,1,Jarvis Landry (WR),Mike Williams (WR)
2018,2,Dillon Panthers,Uncle Rico,100.02,100.02,109.02,9.0,91.74,2,2,Trey Burton (TE) | Antonio Brown (WR),Tyler Lockett (WR) | Austin Hooper (TE)
2018,2,Ginger FC,PickUpYourBratsMalle,83.04,83.04,87.74,4.7,94.64,1,1,Jamaal Williams (RB),DJ Moore (WR)
2018,2,Joe Mantegna,Big Sack Jack,97.6,97.6,144.64,47.04,67.48,3,3,Deshaun Watson (QB) | Jamison Crowder (WR) | Corey Davis (WR),Patrick Mahomes (QB) | O.J. Howard (TE) | Keelan Cole Sr. (WR)
2018,2,Malle ❤️ 🐸,malle_dips_pouches,97.8,97.8,109.88,12.08,89.01,2,2,Cam Newton (QB) | Cameron Brate (TE),Ben Roethlisberger (QB) | Ricky Seals-Jones (TE)
2018,2,PickUpYourBratsMalle,Ginger FC,127.1,127.1,137.8,10.7,92.24,2,2,LeSean McCoy (RB) | Marvin Jones Jr. (WR),Will Fuller V (WR) | Chris Godwin Jr. (WR)
2018,2,Pop Lockett Drop it,Post Mahomes,101.08,101.08,108.18,7.1,93.44,2,2,Adrian Peterson (RB) | Odell Beckham Jr. (WR),Royce Freeman (RB) | James White (RB)
2018,2,Post Mahomes,Pop Lockett Drop it,98.56,98.56,111.96,13.4,88.03,2,2,Joe Mixon (RB) | Isaiah Crowell (RB),Kenny Golladay (WR) | Phillip Lindsay (RB)
2018,2,The Big Gronkowski,Voldemort,94.74,94.74,118.34,23.6,80.06,3,3,David Njoku (TE) | Rex Burkhead (RB) | Larry Fitzgerald (WR),Brandin Cooks (WR) | Jack Doyle (TE) | Calvin Ridley (WR)
2018,2,Uncle Rico,Dillon Panthers,98.54,98.54,122.04,23.5,80.74,1,1,Aaron Rodgers (QB),Blake Bortles (QB)
2018,2,Voldemort,The Big Gronkowski,103.96,103.96,126.16,22.2,82.4,2,2,T.J. Yeldon (RB) | Demaryius Thomas (WR),Matt Breida (RB) | Quincy Enunwa (WR)
2018,2,malle_dips_pouches,Malle ❤️ 🐸,102.26,102.26,104.26,2.0,98.08,1,1,Dion Lewis (RB),Cooper Kupp (WR)
2018,3,Big Sack Jack,Dillon Panthers,106.58,106.58,123.68,17.1,86.17,2,2,Latavius Murray (RB) | Tyreek Hill (WR),Derrick Henry (RB) | Mike Williams (WR)
2018,3,Dillon Panthers,Big Sack Jack,120.84,120.84,129.84,9.0,93.07,2,2,Antonio Brown (WR) | A.J. Green (WR),Mohamed Sanu (WR) | Tyler Lockett (WR)
