fantasy_team,seasons,games,wins,losses,ties,actual_win_value,expected_wins,points_for,points_against,all_play_wins,all_play_losses,all_play_ties,opponent_top_3_weeks,opponent_bottom_3_weeks,close_games_5,close_game_5_win_value,close_games_10,close_game_10_win_value,schedule_luck_wins,actual_win_pct,expected_win_pct,all_play_win_pct,avg_opponent_score,close_game_5_win_pct,close_game_10_win_pct,luck_rank,luck_label
Big Sack Jack,6,80,41.0,39.0,0.0,41.0,41.81818181818182,8244.2,8346.18,460,420,0,15,16,8,7.0,24,15.0,-0.8181818181818201,51.24999999999999,52.27272727272727,52.27272727272727,104.32725,87.5,62.5,14,Neutral
Buttermilk Puuump,2,28,9.0,19.0,0.0,9.0,12.545454545454545,2917.42,3081.6800000000003,138,170,0,8,5,4,2.0,8,3.0,-3.545454545454545,32.142857142857146,44.8051948051948,44.8051948051948,110.06000000000002,50.0,37.5,18,Cursed
Dillon Panthers,2,26,10.0,16.0,0.0,10.0,12.181818181818182,2423.8199999999997,2461.1400000000003,134,152,0,8,5,4,2.0,8,3.0,-2.1818181818181817,38.46153846153847,46.85314685314685,46.85314685314685,94.65923076923079,50.0,37.5,17,Unlucky
Ginger FC,9,122,54.0,68.0,0.0,54.0,54.27272727272727,12460.34,12983.84,597,745,0,31,23,12,8.0,33,18.0,-0.2727272727272734,44.26229508196721,44.48584202682564,44.48584202682564,106.42491803278689,66.66666666666666,54.54545454545454,11,Neutral
Hello Harvard,1,13,5.0,8.0,0.0,5.0,4.909090909090909,1090.98,1177.94,54,89,0,5,5,3,1.0,4,2.0,0.09090909090909083,38.46153846153847,37.76223776223776,37.76223776223776,90.61076923076924,33.33333333333333,50.0,9,Neutral
Joe Mantegna,8,109,56.0,53.0,0.0,56.0,53.09090909090909,11515.94,11330.44,584,615,0,27,32,15,8.0,27,15.0,2.9090909090909065,51.37614678899083,48.70725604670559,48.70725604670559,103.94899082568807,53.333333333333336,55.55555555555556,3,Extremely Lucky
Little Red Fournette,1,13,8.0,5.0,0.0,8.0,8.454545454545455,1285.8600000000001,1111.46,93,50,0,2,4,1,1.0,3,2.0,-0.45454545454545503,61.53846153846154,65.03496503496504,65.03496503496503,85.49692307692308,100.0,66.66666666666666,13,Neutral
Malle ❤️ 🐸,9,122,54.0,68.0,0.0,54.0,56.04545454545454,12429.26,13107.66,616,725,1,34,30,15,8.0,30,15.0,-2.0454545454545396,44.26229508196721,45.93889716840536,45.93889716840536,107.43983606557377,53.333333333333336,50.0,16,Unlucky
Patty Primetimes,7,96,47.0,49.0,0.0,47.0,47.45454545454545,10220.78,10090.0,522,534,0,20,21,12,4.0,33,15.0,-0.45454545454545325,48.95833333333333,49.43181818181818,49.43181818181818,105.10416666666667,33.33333333333333,45.45454545454545,12,Neutral
PickUpYourBratsMalle,2,26,13.0,13.0,0.0,13.0,13.90909090909091,2546.8599999999997,2583.54,153,133,0,7,6,3,0.0,7,3.0,-0.9090909090909101,50.0,53.4965034965035,53.4965034965035,99.36692307692307,0.0,42.857142857142854,15,Neutral
Pop Lockett Drop it,9,122,67.0,55.0,0.0,67.0,61.81818181818181,12860.0,12712.42,680,662,0,30,33,14,9.0,28,18.0,5.181818181818187,54.91803278688525,50.67064083457525,50.670640834575266,104.20016393442623,64.28571428571429,64.28571428571429,2,Extremely Lucky
Post Mahomes,8,109,62.0,47.0,0.0,62.0,62.22727272727273,12223.94,11453.18,684,514,1,27,25,12,4.0,27,12.0,-0.22727272727272663,56.88073394495413,57.08924103419516,57.08924103419516,105.07504587155964,33.33333333333333,44.44444444444444,10,Neutral
The Big Gronkowski,9,122,62.0,60.0,0.0,62.0,60.68181818181818,12832.8,12984.92,667,674,1,28,29,14,7.0,30,14.0,1.3181818181818201,50.81967213114754,49.739195230998504,49.73919523099851,106.43377049180327,50.0,46.666666666666664,5,Lucky
ThreatLevelMidnight,7,96,57.0,39.0,0.0,57.0,56.18181818181818,10734.72,10447.74,618,438,0,27,19,12,7.0,20,13.0,0.8181818181818201,59.375,58.52272727272727,58.52272727272727,108.830625,58.333333333333336,65.0,6,Neutral
Uncle Rico,8,109,42.0,67.0,0.0,42.0,50.18181818181818,11416.96,11871.380000000001,552,647,0,30,29,5,1.0,18,2.0,-8.18181818181818,38.53211009174312,46.038365304420346,46.038365304420346,108.91174311926606,20.0,11.11111111111111,19,Cursed
Ur The Best Bellows,1,13,5.0,8.0,0.0,5.0,3.5454545454545454,949.44,1124.28,39,104,0,2,4,1,1.0,3,2.0,1.4545454545454546,38.46153846153847,27.27272727272727,27.27272727272727,86.48307692307692,100.0,66.66666666666666,4,Lucky
Voldemort,9,122,73.0,49.0,0.0,73.0,72.4090909090909,13494.62,12513.58,796,545,1,28,39,19,6.0,29,12.0,0.5909090909090935,59.83606557377049,59.35171385991058,59.35171385991058,102.57032786885246,31.57894736842105,41.37931034482759,7,Neutral
You Better Park It,1,14,6.0,8.0,0.0,6.0,5.7272727272727275,1430.48,1454.44,63,91,0,3,4,3,2.0,3,2.0,0.2727272727272725,42.857142857142854,40.909090909090914,40.909090909090914,103.88857142857144,66.66666666666666,66.66666666666666,8,Neutral
malle_dips_pouches,9,122,61.0,61.0,0.0,61.0,54.54545454545455,12382.86,12625.46,600,742,0,34,37,17,9.0,29,16.0,6.454545454545453,50.0,44.70938897168406,44.70938897168406,103.48737704918032,52.94117647058824,55.172413793103445,1,Extremely Lucky
