year,fantasy_team,games,wins,losses,ties,actual_win_value,expected_wins,points_for,points_against,avg_points_for,strength_of_schedule,all_play_wins,all_play_losses,all_play_ties,opponent_top_3_weeks,opponent_bottom_3_weeks,own_top_3_weeks,own_bottom_3_weeks,close_games_5,close_games_10,close_game_5_win_value,close_game_10_win_value,schedule_luck_wins,actual_win_pct,expected_win_pct,all_play_win_pct,close_game_5_win_pct,close_game_10_win_pct,sos_percentile,sos_rank_hardest,luck_rank,luck_label
2018,Big Sack Jack,13,8.0,5.0,0.0,8.0,8.454545454545455,1382.44,1392.1599999999999,106.34153846153846,107.08923076923075,93,50,0,2,3,5,1,4,5,4.0,5.0,-0.45454545454545503,61.53846153846154,65.03496503496504,65.03496503496503,100.0,100.0,91.66666666666666,2,7,Neutral
2018,Dillon Panthers,13,6.0,7.0,0.0,6.0,6.818181818181818,1325.56,1357.88,101.96615384615384,104.4523076923077,75,68,0,4,1,4,3,3,6,2.0,3.0,-0.8181818181818183,46.15384615384615,52.44755244755245,52.44755244755245,66.66666666666666,50.0,66.66666666666666,5,9,Neutral
2018,Ginger FC,13,4.0,9.0,0.0,4.0,3.909090909090909,1185.84,1446.08,91.21846153846153,111.23692307692308,43,100,0,7,1,1,7,1,3,1.0,2.0,0.09090909090909083,30.76923076923077,30.069930069930074,30.069930069930066,100.0,66.66666666666666,100.0,1,5,Neutral
2018,Joe Mantegna,13,4.0,9.0,0.0,4.0,6.636363636363637,1362.98,1331.04,104.84461538461538,102.3876923076923,73,70,0,5,3,2,2,3,4,0.0,0.0,-2.6363636363636367,30.76923076923077,51.048951048951054,51.048951048951054,0.0,0.0,41.66666666666667,8,12,Cursed
2018,Malle ❤️ 🐸,13,4.0,9.0,0.0,4.0,4.545454545454546,1207.54,1364.84,92.8876923076923,104.9876923076923,50,93,0,4,4,1,5,3,4,1.0,1.0,-0.5454545454545459,30.76923076923077,34.96503496503497,34.96503496503497,33.33333333333333,25.0,83.33333333333334,3,8,Neutral
2018,PickUpYourBratsMalle,13,7.0,6.0,0.0,7.0,6.7272727272727275,1353.82,1336.1399999999999,104.14,102.77999999999999,74,69,0,1,3,5,3,1,4,0.0,2.0,0.2727272727272725,53.84615384615385,51.74825174825175,51.74825174825175,0.0,50.0,50.0,7,4,Neutral
2018,Pop Lockett Drop it,13,8.0,5.0,0.0,8.0,8.909090909090908,1480.2,1358.9,113.86153846153846,104.53076923076924,98,45,0,5,4,6,2,4,4,3.0,3.0,-0.9090909090909083,61.53846153846154,68.53146853146852,68.53146853146853,75.0,75.0,75.0,4,10,Neutral
2018,Post Mahomes,13,6.0,7.0,0.0,6.0,8.272727272727273,1445.26,1344.48,111.17384615384616,103.42153846153846,91,52,0,3,1,5,2,5,6,0.0,0.0,-2.2727272727272734,46.15384615384615,63.63636363636365,63.63636363636363,0.0,0.0,58.333333333333336,6,11,Unlucky
2018,The Big Gronkowski,13,7.0,6.0,0.0,7.0,4.545454545454545,1262.4,1301.6,97.10769230769232,100.12307692307692,50,93,0,4,4,1,5,3,6,2.0,4.0,2.454545454545455,53.84615384615385,34.96503496503497,34.96503496503497,66.66666666666666,66.66666666666666,33.33333333333333,9,2,Lucky
2018,Uncle Rico,13,6.0,7.0,0.0,6.0,5.181818181818182,1258.28,1269.3400000000001,96.79076923076923,97.64153846153847,57,86,0,2,4,2,4,1,1,0.0,0.0,0.8181818181818183,46.15384615384615,39.86013986013986,39.86013986013986,0.0,0.0,16.666666666666664,11,3,Neutral
2018,Voldemort,13,7.0,6.0,0.0,7.0,7.090909090909091,1326.32,1290.02,102.02461538461537,99.23230769230769,78,65,0,2,3,3,3,3,5,2.0,3.0,-0.09090909090909083,53.84615384615385,54.54545454545454,54.54545454545454,66.66666666666666,60.0,25.0,10,6,Neutral
2018,malle_dips_pouches,13,11.0,2.0,0.0,11.0,6.909090909090909,1360.18,1158.34,104.62923076923077,89.10307692307691,76,67,0,0,8,4,2,1,2,1.0,2.0,4.090909090909091,84.61538461538461,53.14685314685315,53.14685314685315,100.0,100.0,8.333333333333332,12,1,Extremely Lucky
2019,Big Sack Jack,13,7.0,6.0,0.0,7.0,7.181818181818182,1303.94,1300.72,100.30307692307693,100.05538461538461,79,64,0,3,0,4,3,2,5,1.0,2.0,-0.18181818181818166,53.84615384615385,55.24475524475524,55.24475524475524,50.0,40.0,66.66666666666666,5,7,Neutral
2019,Ginger FC,13,4.0,9.0,0.0,4.0,4.7272727272727275,1181.24,1254.02,90.86461538461539,96.46307692307693,52,91,0,1,4,2,5,1,3,1.0,1.0,-0.7272727272727275,30.76923076923077,36.36363636363637,36.36363636363637,100.0,33.33333333333333,33.33333333333333,9,9,Neutral
2019,Joe Mantegna,13,4.0,9.0,0.0,4.0,5.818181818181818,1203.44,1362.56,92.5723076923077,104.81230769230768,64,79,0,6,3,2,2,0,1,0.0,0.0,-1.8181818181818183,30.76923076923077,44.75524475524475,44.75524475524475,,0.0,100.0,1,11,Unlucky
2019,Malle ❤️ 🐸,13,4.0,9.0,0.0,4.0,4.363636363636363,1130.3,1329.96,86.94615384615385,102.30461538461539,48,95,0,2,1,1,5,1,2,1.0,1.0,-0.3636363636363633,30.76923076923077,33.56643356643356,33.56643356643357,100.0,50.0,91.66666666666666,2,8,Neutral
2019,Patty Primetimes,13,10.0,3.0,0.0,10.0,9.636363636363637,1473.08,1208.42,113.31384615384614,92.95538461538462,106,37,0,2,1,6,0,2,4,1.0,2.0,0.3636363636363633,76.92307692307693,74.12587412587412,74.12587412587412,50.0,50.0,25.0,10,5,Neutral
2019,Pop Lockett Drop it,13,10.0,3.0,0.0,10.0,8.181818181818182,1361.3,1164.1399999999999,104.71538461538461,89.54923076923076,90,53,0,4,7,5,1,1,1,1.0,1.0,1.8181818181818183,76.92307692307693,62.93706293706294,62.93706293706294,100.0,100.0,16.666666666666664,11,2,Lucky
2019,Post Mahomes,13,8.0,5.0,0.0,8.0,7.545454545454546,1322.84,1289.78,101.75692307692307,99.21384615384615,83,60,0,4,3,5,3,0,2,0.0,2.0,0.45454545454545414,61.53846153846154,58.04195804195804,58.04195804195804,,100.0,58.333333333333336,6,4,Neutral
2019,The Big Gronkowski,13,6.0,7.0,0.0,6.0,4.818181818181818,1161.42,1268.02,89.34,97.53999999999999,53,90,0,2,4,3,7,1,1,1.0,1.0,1.1818181818181817,46.15384615384615,37.06293706293706,37.06293706293706,100.0,100.0,41.66666666666667,8,3,Lucky
2019,ThreatLevelMidnight,13,7.0,6.0,0.0,7.0,6.727272727272727,1275.96,1276.72,98.15076923076923,98.20923076923077,74,69,0,5,4,2,3,1,3,0.0,2.0,0.2727272727272734,53.84615384615385,51.74825174825174,51.74825174825175,0.0,66.66666666666666,50.0,7,6,Neutral
2019,Uncle Rico,13,2.0,11.0,0.0,2.0,5.090909090909091,1167.28,1317.34,89.79076923076923,101.33384615384615,56,87,0,4,2,2,3,1,1,0.0,0.0,-3.090909090909091,15.384615384615385,39.16083916083916,39.16083916083916,0.0,0.0,83.33333333333334,3,12,Cursed
2019,Voldemort,13,12.0,1.0,0.0,12.0,8.636363636363637,1381.38,1018.1,106.26,78.31538461538462,95,48,0,1,8,6,2,0,1,0.0,1.0,3.3636363636363633,92.3076923076923,66.43356643356644,66.43356643356644,,100.0,8.333333333333332,12,1,Extremely Lucky
2019,malle_dips_pouches,13,4.0,9.0,0.0,4.0,5.2727272727272725,1144.7,1317.1,88.05384615384615,101.3153846153846,58,85,0,5,2,1,5,4,6,1.0,2.0,-1.2727272727272725,30.76923076923077,40.55944055944056,40.55944055944056,25.0,33.33333333333333,75.0,4,10,Unlucky
2020,Big Sack Jack,13,6.0,7.0,0.0,6.0,5.363636363636363,1370.7,1360.7,105.43846153846154,104.66923076923078,59,84,0,1,4,2,5,1,2,1.0,2.0,0.6363636363636367,46.15384615384615,41.25874125874125,41.25874125874126,100.0,100.0,33.33333333333333,9,6,Neutral
2020,Ginger FC,13,5.0,8.0,0.0,5.0,6.454545454545455,1457.8,1517.8,112.13846153846154,116.75384615384615,71,72,0,4,1,4,4,2,3,1.0,1.0,-1.454545454545455,38.46153846153847,49.65034965034965,49.65034965034965,50.0,33.33333333333333,83.33333333333334,3,10,Unlucky
2020,Joe Mantegna,13,7.0,6.0,0.0,7.0,5.818181818181818,1388.14,1429.74,106.78,109.98,64,79,0,3,2,3,5,0,1,0.0,1.0,1.1818181818181817,53.84615384615385,44.75524475524475,44.75524475524475,,100.0,50.0,7,4,Lucky
