year,week,matchup_id,left_team,right_team,left_score,right_score,score_key,views_with_same_score_pair,contains_recap_label
2019,9,2019-W09-M01,Week 9 Recap (Lost),The Big Gronkowski,91.78,129.3,"(91.78, 129.3)",2,True
2019,9,2019-W09-M06,Week 9 Recap (Won),Big Sack Jack,129.3,91.78,"(91.78, 129.3)",2,True
2020,8,2020-W08-M01,Week 8 Recap (Won),The Big Gronkowski,133.3,113.74,"(113.74, 133.3)",2,True
2020,8,2020-W08-M06,Week 8 Recap (Lost),Big Sack Jack,113.74,133.3,"(113.74, 133.3)",2,True
2020,9,2020-W09-M02,Week 9 Recap (Lost),Malle ❤️ 🐸,81.76,113.68,"(81.76, 113.68)",2,True
2020,9,2020-W09-M06,Week 9 Recap (Won),Big Sack Jack,113.68,81.76,"(81.76, 113.68)",2,True
2021,8,2021-W08-M01,Week 8 Recap (Won),The Big Gronkowski,148.6,69.1,"(69.1, 148.6)",2,True
2021,8,2021-W08-M06,Week 8 Recap (Lost),Big Sack Jack,69.1,148.6,"(69.1, 148.6)",2,True
2021,9,2021-W09-M02,Week 9 Recap (Won),Malle ❤️ 🐸,82.98,75.24,"(75.24, 82.98)",2,True
2021,9,2021-W09-M06,Week 9 Recap (Lost),Big Sack Jack,75.24,82.98,"(75.24, 82.98)",2,True
2022,1,2022-W01-M05,Week 1 Recap (Lost),Pop Lockett Drop it,100.0,105.02,"(100.0, 105.02)",2,True
2022,1,2022-W01-M06,Week 1 Recap (Won),Big Sack Jack,105.02,100.0,"(100.0, 105.02)",2,True
2022,2,2022-W02-M01,Week 2 Recap (Lost),The Big Gronkowski,109.84,145.66,"(109.84, 145.66)",2,True
2022,2,2022-W02-M06,Week 2 Recap (Won),Big Sack Jack,145.66,109.84,"(109.84, 145.66)",2,True
2022,3,2022-W03-M02,Week 3 Recap (Won),Malle ❤️ 🐸,132.7,85.5,"(85.5, 132.7)",2,True
2022,3,2022-W03-M06,Week 3 Recap (Lost),Big Sack Jack,85.5,132.7,"(85.5, 132.7)",2,True
2022,12,2022-W12-M05,Week 12 Recap (Lost),Pop Lockett Drop it,112.84,118.6,"(112.84, 118.6)",2,True
2022,12,2022-W12-M06,Week 12 Recap (Won),Big Sack Jack,118.6,112.84,"(112.84, 118.6)",2,True
2022,13,2022-W13-M01,Week 13 Recap (Lost),The Big Gronkowski,80.62,147.24,"(80.62, 147.24)",2,True
2022,13,2022-W13-M06,Week 13 Recap (Won),Big Sack Jack,147.24,80.62,"(80.62, 147.24)",2,True
2022,14,2022-W14-M02,Week 14 Recap (Lost),Malle ❤️ 🐸,94.98,113.26,"(94.98, 113.26)",2,True
2022,14,2022-W14-M06,Week 14 Recap (Won),Big Sack Jack,113.26,94.98,"(94.98, 113.26)",2,True
2023,1,2023-W01-M05,Week 1 Recap (Lost),Ginger FC,85.26,85.42,"(85.26, 85.42)",2,True
2023,1,2023-W01-M06,Week 1 Recap (Won),You Better Park It,85.42,85.26,"(85.26, 85.42)",2,True
2023,3,2023-W03-M01,Week 3 Recap (Lost),The Big Gronkowski,105.5,127.76,"(105.5, 127.76)",2,True
2023,3,2023-W03-M06,Week 3 Recap (Won),You Better Park It,127.76,105.5,"(105.5, 127.76)",2,True
2023,5,2023-W05-M02,Week 5 Recap (Won),Voldemort,78.54,66.72,"(66.72, 78.54)",2,True
2023,5,2023-W05-M06,Week 5 Recap (Lost),You Better Park It,66.72,78.54,"(66.72, 78.54)",2,True
2023,12,2023-W12-M05,Week 12 Recap (Lost),Ginger FC,95.3,122.34,"(95.3, 122.34)",2,True
2023,12,2023-W12-M06,Week 12 Recap (Won),You Better Park It,122.34,95.3,"(95.3, 122.34)",2,True
2023,14,2023-W14-M01,Week 14 Recap (Won),The Big Gronkowski,103.74,87.34,"(87.34, 103.74)",2,True
2023,14,2023-W14-M06,Week 14 Recap (Lost),You Better Park It,87.34,103.74,"(87.34, 103.74)",2,True
