year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url,_score_key
2019,1,2019-W01-M03,3,4,Week 1 Recap (Won),Joe Mantegna,105.82,79.54,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=1&mid1=4,"(79.54, 105.82)"
2019,2,2019-W02-M04,4,5,Week 2 Recap (Won),Patty Primetimes,122.38,115.66,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=2&mid1=5,"(115.66, 122.38)"
2019,3,2019-W03-M04,4,6,Week 3 Recap (Won),ThreatLevelMidnight,93.12,85.64,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=3&mid1=6,"(85.64, 93.12)"
2019,4,2019-W04-M05,5,7,Week 4 Recap (Won),Pop Lockett Drop it,110.4,107.7,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=4&mid1=7,"(107.7, 110.4)"
2019,5,2019-W05-M05,5,8,Week 5 Recap (Won),Post Mahomes,153.04,134.12,32,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=5&mid1=8,"(134.12, 153.04)"
2019,6,2019-W06-M06,6,9,Week 6 Recap (Lost),Ginger FC,87.2,92.36,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=6&mid1=9,"(87.2, 92.36)"
2019,7,2019-W07-M06,6,10,Week 7 Recap (Lost),Uncle Rico,78.68,97.46,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=7&mid1=10,"(78.68, 97.46)"
2019,8,2019-W08-M06,6,10,Week 8 Recap (Won),Big Sack Jack,110.26,94.9,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=8&mid1=10,"(94.9, 110.26)"
2019,9,2019-W09-M01,1,1,Week 9 Recap (Lost),The Big Gronkowski,91.78,129.3,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=1,"(91.78, 129.3)"
2019,9,2019-W09-M06,6,10,Week 9 Recap (Won),Big Sack Jack,129.3,91.78,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=10,"(91.78, 129.3)"
2019,10,2019-W10-M02,2,2,Week 10 Recap (Lost),Malle ❤️ 🐸,92.78,112.42,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=10&mid1=2,"(92.78, 112.42)"
2019,11,2019-W11-M03,3,3,Week 11 Recap (Won),Voldemort,107.08,60.34,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=11&mid1=3,"(60.34, 107.08)"
2019,12,2019-W12-M03,3,4,Week 12 Recap (Lost),Joe Mantegna,81.64,93.0,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=12&mid1=4,"(81.64, 93.0)"
2019,13,2019-W13-M04,4,5,Week 13 Recap (Lost),Patty Primetimes,81.9,86.14,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=13&mid1=5,"(81.9, 86.14)"
2020,1,2020-W01-M04,4,5,Week 1 Recap (Won),ThreatLevelMidnight,135.8,115.44,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=1&mid1=5,"(115.44, 135.8)"
