year,week,target_team_1,target_team_1_score,target_team_2,target_team_2_score,yahoo_team_id,source_url,table_index,row_index,lineup_slot,player,fantasy_points_best_effort,is_starter,is_bench,is_ir,raw_row_text
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,1,1,QB,Lamar Jackson ,25.52,True,False,False,Lamar Jackson  | 25.11 | 18.60 | QB | QB | QB | 12.44 | 25.52 | Matthew Stafford
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,1,2,WR,Diontae Johnson,16.02,True,False,False,Diontae Johnson | 11.49 | 11.10 | WR | WR | WR | 6.00 | 16.02 | Tyler Lockett
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,1,3,WR,Michael Thomas,12.08,True,False,False,Michael Thomas | 15.04 | 7.60 | WR | WR | WR | 2.80 | 12.08 | DJ Moore
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,1,4,RB,Derrick Henry ,10.81,True,False,False,Derrick Henry  | 16.71 | 6.80 | RB | RB | RB | 11.20 | 10.81 | D'Andre Swift
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,1,5,RB,Antonio Gibson,8.46,True,False,False,Antonio Gibson | 12.40 | 11.00 | RB | RB | RB | 2.30 | 8.46 | Phillip Lindsay
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,1,6,TE,Robert Tonyan,9.83,True,False,False,Robert Tonyan | 8.84 | 1.00 | TE | TE | TE | 0.70 | 9.83 | Rob Gronkowski
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,1,7,W/R/T,JaMycal Hasty,10.16,True,False,False,JaMycal Hasty | 11.20 | 2.30 | W/R/T | W/R/T | W/R/T | 4.50 | 10.16 | J.K. Dobbins
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,1,8,K,Jason Sanders,8.33,True,False,False,Jason Sanders | 8.10 | 14.00 | K | K | K | 7.00 | 8.33 | Daniel Carlson
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,1,9,DEF,Buccaneers - DEF,8.65,True,False,False,Buccaneers - DEF | 6.17 | 1.00 | DEF | DEF | DEF | 5.00 | 8.65 | Commanders - DEF
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,2,1,BN,Nelson Agholor,26.41,False,True,False,Nelson Agholor | 6.61 | 12.50 | BN | BN | BN | 42.00 | 26.41 | Josh Allen
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,2,2,BN,Boston Scott,0.0,False,True,False,Boston Scott | 0.00 | 0.00 | BN | BN | BN | 0.00 | 0.00 | Jamaal Williams
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,2,3,BN,Jamison Crowder,0.0,False,True,False,Jamison Crowder | 10.43 | 9.60 | BN | BN | BN | 0.00 | 0.00 | Travis Fulgham
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,2,4,BN,Chris Godwin Jr.,8.62,False,True,False,Chris Godwin Jr. | 13.10 | 5.60 | BN | BN | BN | 5.80 | 8.62 | Adrian Peterson
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,2,5,BN,Christian Kirk,9.32,False,True,False,Christian Kirk | 9.67 | 20.80 | BN | BN | BN | 6.00 | 9.32 | Noah Fant
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,2,6,BN,Baker Mayfield,7.52,False,True,False,Baker Mayfield | 0.00 | 0.00 | BN | BN | BN | 4.80 | 7.52 | Nyheim Miller-Hines
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,2,7,IR,Austin Ekeler,0.0,False,False,True,Austin Ekeler | 0.00 | 0.00 | IR | IR | IR | – | 0.00 | (Empty)
