year,week,fantasy_team,opponent,team_score,opponent_score,side,lineup_slot,player,projection,fantasy_points,stat_summary,is_starter,is_bench,is_ir,source_url,source_table,source_row
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,QB,Josh Allen,22.27,19.6,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,1
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,QB,Aaron Rodgers,26.64,14.94,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,1
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,WR,Davante Adams,11.48,4.1,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,2
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,WR,Julian Edelman,10.61,6.9,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,2
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,WR,Christian Kirk,7.15,1.6,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,3
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,WR,Emmanuel Sanders,8.64,17.2,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,3
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,RB,Derrick Henry,11.12,21.9,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,4
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,RB,Carlos Hyde,9.56,14.0,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,4
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,RB,LeSean McCoy,6.67,0.9,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,5
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,RB,Ezekiel Elliott,16.94,13.9,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,5
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,TE,Evan Engram,8.35,5.0,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,6
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,TE,Eric Ebron,5.81,1.6,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,6
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,W/R/T,DJ Moore,7.35,10.1,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,7
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,W/R/T,Sterling Shepard,0.0,0.0,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,7
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,K,Robbie Gould,8.73,4.0,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,8
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,K,Adam Vinatieri,7.29,4.0,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,8
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,DEF,Eagles - DEF,8.78,6.0,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,9
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,DEF,Seahawks - DEF,7.44,3.0,,True,False,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,starters,9
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,BN,Damien Williams,4.48,18.8,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,1
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,BN,Delanie Walker,0.0,0.0,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,1
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,BN,Matt Breida,5.21,9.2,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,2
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,BN,Brandin Cooks,0.0,,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,2
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,BN,Julio Jones,0.0,0.0,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,3
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,BN,Joe Mixon,0.0,0.0,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,3
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,BN,Teddy Bridgewater,0.0,0.0,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,4
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,BN,Tarik Cohen,5.02,1.6,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,4
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,BN,Greg Olsen,4.78,4.0,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,5
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,BN,Tyler Boyd,0.0,0.0,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,5
2019,9,Uncle Rico,malle_dips_pouches,73.2,75.54,left,BN,Cam Newton,0.0,0.0,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,6
2019,9,malle_dips_pouches,Uncle Rico,75.54,73.2,right,BN,Peyton Barber,5.61,1.5,,False,True,False,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,bench,6
