year,week,fantasy_team,opponent,team_score,opponent_score,side,lineup_slot,player,projection,fantasy_points,stat_summary,is_starter,is_bench,is_ir,source_url,source_table,source_row
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,QB,Patrick Mahomes,29.01,28.78,"3 Pass TD, 352 Pass Yds, 3 Int",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,1
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,QB,Jared Goff,22.24,32.1,"3 Pass TD, 330 Pass Yds, 9 Rush Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,1
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,WR,Christian Kirk,12.05,7.0,"45 Rec Yds, 5 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,2
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,WR,DK Metcalf,12.8,15.6,"71 Rec Yds, 1 Rec TD, 5 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,2
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,WR,Ja'Marr Chase,15.83,23.5,"119 Rec Yds, 1 Rec TD, 10 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,3
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,WR,Van Jefferson Bye,7.32,11.4,"1 Rec TD, 44 Rec Yds, 2 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,3
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,RB,Saquon Barkley,11.57,5.8,"28 Rush Yds, 20 Rec Yds, 2 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,4
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,RB,Derrick Henry,17.27,19.0,"121 Rush Yds, 1 Rush TD, 2 Fum Lost",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,4
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,RB,Isiah Pacheco,11.89,10.8,"70 Rush Yds, 23 Rec Yds, 3 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,5
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,RB,Travis Etienne Jr.  Bye,11.64,3.2,32 Rush Yds,True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,5
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,TE,Evan Engram,6.23,33.7,"162 Rec Yds, 2 Rec TD, 11 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,6
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,TE,Tyler Conklin,5.08,5.3,"28 Rec Yds, 5 Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,6
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,W/R/T,Najee Harris,12.28,12.0,"1 Rush TD, 33 Rush Yds, 17 Rec Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,7
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,W/R/T,Isaiah McKenzie,7.55,4.3,"21 Rec Yds, 3 Rec, 7 Rush Yds",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,7
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,K,Robbie Gould,6.94,5.0,5 PAT Made,True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,8
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,K,Greg Zuerlein,6.35,4.0,"1 FG 20-29, 1 PAT Made",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,8
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,DEF,Eagles - DEF,7.23,9.0,"7 Sack, 1 Fum Rec",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,9
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,DEF,Seahawks - DEF,7.63,1.0,"2 Sack, Pts Allow 28-34",True,False,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,starters,9
2022,14,Uncle Rico,Patty Primetimes,135.58,95.9,left,BN,Cole Kmet Bye,0.0,,,False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,1
2022,14,Patty Primetimes,Uncle Rico,95.9,135.58,right,BN,Terry McLaurin Bye,0.0,,,False,True,False,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,bench,1
