table_index,row_index,cell_index,tag,class,data_pos,text
0,0,0,TH,,,
0,1,0,TH,,,
0,2,0,TD,Fz-xxl Ta-end Pend-lg,,95.50
0,2,1,TH,Fz-xxs Ta-c Px-sm Nowrap,,Points
0,2,2,TD,Fz-xxl Ta-start Pstart-lg,,168.52
0,3,0,TD,F-shade Ta-end Pend-lg Fz-med Ptop-med,,125.14
0,3,1,TH,F-shade Ta-c  Fz-xxs Px-sm Ptop-med Nowrap,,Orig Proj
0,3,2,TD,F-shade Ta-start Pstart-lg Fz-med Ptop-med,,120.96
1,0,0,TH,Alt Ta-start Pend-sm Fz-xxs Px-lg,,Stats
1,0,1,TH,Ta-start,,Player
1,0,2,TH,Alt Ta-end F-shade Va-top,,Proj
1,0,3,TH,Pend-lg Ta-end Fw-b Nowrap Va-top,,Fan Pts
1,0,4,TH,Alt Hidden,,Pos
1,0,5,TH,Va-top Ta-c Bdrstart Bdrend Fw-b,,Pos
1,0,6,TH,Alt Hidden Hidden,,Pos
1,0,7,TH,No-pstart Ta-end Fw-b Nowrap Va-top,,Fan Pts
1,0,8,TH,Alt Pend-med Ta-end F-shade Va-top,,Proj
1,0,9,TH,Last Ta-start,,Player
1,0,10,TH,Alt Ta-start Pend-sm Fz-xxs Px-lg,,Stats
1,1,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"2 Pass TD, 235 Pass Yds, -1 Rush Yds"
1,1,1,TD,Ta-start,,Patrick Mahomes Final W 27-24 vs LAC
1,1,2,TD,Alt Ta-end F-shade Va-top,,29.59
1,1,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,21.30
1,1,4,TD,Alt Bg-shade Hidden,,QB
1,1,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,QB
1,1,6,TD,Alt Hidden Hidden,,QB
1,1,7,TD,Ta-end Fw-b Nowrap Va-top,,48.62
1,1,8,TD,Alt Pend-med Ta-end F-shade Va-top,,25.98
1,1,9,TD,Last Ta-start,,Lamar Jackson Final L 38-42 vs Mia
1,1,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"3 Pass TD, 318 Pass Yds, 119 Rush Yds"
1,2,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"54 Rec Yds, 5 Rec, 4 Rush Yds"
1,2,1,TD,Ta-start,,Ja'Marr Chase  Final L 17-20 @ Dal
