selector,index,tag,class,href,data_pos,data_tst,text
[data-tst],0,DIV,Mt(5px) nav-wrapper D(n)--mweb,,,product-switcher,FantasyNetworkGet Fantasy Plus
[data-tst],1,DIALOG,_ys_17bhdbw _ys_1hf9fck _ys_1g6kj78,,,plus-upsell-modal,
[data-tst],2,DIALOG,_ys_17bhdbw _ys_1hf9fck _ys_1g6kj78,,,plus-tier-upsell-modal,
[data-tst],3,DIALOG,_ys_17bhdbw _ys_1hf9fck _ys_1g6kj78,,,plus-upsell-app-only-modal,"Subscribe in the appYahoo Fantasy Plus isn't available for purchase on web in your region. You may be able to subscribe in the Yahoo Fantasy app. Once subscribed, you can still use Yahoo Fantasy Plus features on web."
[data-pos],0,SPAN,pos-label Miwpx-40 Block Nowrap,,QB,,QB
[data-pos],1,SPAN,pos-label Miwpx-40 Block Nowrap,,QB,,QB
[data-pos],2,SPAN,pos-label Miwpx-40 Block Nowrap,,WR,,WR
[data-pos],3,SPAN,pos-label Miwpx-40 Block Nowrap,,WR,,WR
[data-pos],4,SPAN,pos-label Miwpx-40 Block Nowrap,,WR,,WR
[data-pos],5,SPAN,pos-label Miwpx-40 Block Nowrap,,WR,,WR
[data-pos],6,SPAN,pos-label Miwpx-40 Block Nowrap,,RB,,RB
[data-pos],7,SPAN,pos-label Miwpx-40 Block Nowrap,,RB,,RB
[data-pos],8,SPAN,pos-label Miwpx-40 Block Nowrap,,RB,,RB
[data-pos],9,SPAN,pos-label Miwpx-40 Block Nowrap,,RB,,RB
[data-pos],10,SPAN,pos-label Miwpx-40 Block Nowrap,,TE,,TE
[data-pos],11,SPAN,pos-label Miwpx-40 Block Nowrap,,TE,,TE
[data-pos],12,SPAN,pos-label Miwpx-40 Block Nowrap,,W/R/T,,W/R/T
[data-pos],13,SPAN,pos-label Miwpx-40 Block Nowrap,,W/R/T,,W/R/T
[data-pos],14,SPAN,pos-label Miwpx-40 Block Nowrap,,K,,K
[data-pos],15,SPAN,pos-label Miwpx-40 Block Nowrap,,K,,K
[data-pos],16,SPAN,pos-label Miwpx-40 Block Nowrap,,DEF,,DEF
[data-pos],17,SPAN,pos-label Miwpx-40 Block Nowrap,,DEF,,DEF
[data-pos],18,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[data-pos],19,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[data-pos],20,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[data-pos],21,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[data-pos],22,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[data-pos],23,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[data-pos],24,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[data-pos],25,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[data-pos],26,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[data-pos],27,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[data-pos],28,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[data-pos],29,SPAN,pos-label Miwpx-40 Block Nowrap,,BN,,BN
[class*='player'],0,DIV,ysf-player-name Nowrap Relative Lh-xs,,,,Patrick Mahomes
[class*='player'],1,SPAN,player-status D-ib Pstart-sm Nowrap,,,,
[class*='player'],2,DIV,ysf-player-detail Nowrap Fz-xxs Lh-xs,,,,Final W 27-24 vs LAC
[class*='player'],3,DIV,ysf-player-name Nowrap Relative Lh-xs,,,,Lamar Jackson
[class*='player'],4,SPAN,player-status D-ib Pstart-sm Nowrap,,,,
[class*='player'],5,DIV,ysf-player-detail Nowrap Fz-xxs Lh-xs,,,,Final L 38-42 vs Mia
[class*='player'],6,DIV,ysf-player-name Nowrap Relative Lh-xs,,,,Ja'Marr Chase 
[class*='player'],7,SPAN,player-status D-ib Pstart-sm Nowrap,,,,
[class*='player'],8,DIV,ysf-player-detail Nowrap Fz-xxs Lh-xs,,,,Final L 17-20 @ Dal
[class*='player'],9,DIV,ysf-player-name Nowrap Relative Lh-xs,,,,Jaylen Waddle
[class*='player'],10,SPAN,player-status D-ib Pstart-sm Nowrap,,,,
[class*='player'],11,DIV,ysf-player-detail Nowrap Fz-xxs Lh-xs,,,,Final W 16-9 vs Hou
[class*='player'],12,DIV,ysf-player-name Nowrap Relative Lh-xs,,,,Brandon Aiyuk
[class*='player'],13,SPAN,player-status D-ib Pstart-sm Nowrap,,,,
[class*='player'],14,DIV,ysf-player-detail Nowrap Fz-xxs Lh-xs,,,,Final W 27-7 vs Sea
[class*='player'],15,DIV,ysf-player-name Nowrap Relative Lh-xs,,,,Amari Cooper
[class*='player'],16,SPAN,player-status D-ib Pstart-sm Nowrap,,,,
[class*='player'],17,DIV,ysf-player-detail Nowrap Fz-xxs Lh-xs,,,,Final W 41-7 vs Ten
[class*='player'],18,DIV,ysf-player-name Nowrap Relative Lh-xs,,,,Saquon Barkley
[class*='player'],19,SPAN,player-status D-ib Pstart-sm Nowrap,,,,
[class*='player'],20,DIV,ysf-player-detail Nowrap Fz-xxs Lh-xs,,,,Final W 24-7 vs Min
[class*='player'],21,DIV,ysf-player-name Nowrap Relative Lh-xs,,,,Christian McCaffrey
[class*='player'],22,SPAN,player-status D-ib Pstart-sm Nowrap,,,,
[class*='player'],23,DIV,ysf-player-detail Nowrap Fz-xxs Lh-xs,,,,Final W 27-7 vs Sea
[class*='player'],24,DIV,ysf-player-name Nowrap Relative Lh-xs,,,,Nick Chubb
