year,week,team_1,team_1_score,team_2,team_2_score,yahoo_team_id,source_url,rows_saved,file
2019,9,Uncle Rico,73.2,malle_dips_pouches,75.54,11,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=9&mid1=11,15,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2019_week_09_Uncle_Rico_vs_malle_dips_pouches_rescue.csv
2020,8,Uncle Rico,79.02,malle_dips_pouches,86.36,10,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=8&mid1=10,16,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2020_week_08_Uncle_Rico_vs_malle_dips_pouches_rescue.csv
2020,9,Uncle Rico,73.4,Patty Primetimes,51.94,11,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=11,16,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2020_week_09_Uncle_Rico_vs_Patty_Primetimes_rescue.csv
2021,8,Uncle Rico,73.96,malle_dips_pouches,107.6,10,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=8&mid1=10,16,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2021_week_08_Uncle_Rico_vs_malle_dips_pouches_rescue.csv
2021,9,Uncle Rico,102.94,Patty Primetimes,110.76,11,https://football.fantasysports.yahoo.com/2021/f1/410355/matchup?week=9&mid1=11,16,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2021_week_09_Uncle_Rico_vs_Patty_Primetimes_rescue.csv
2022,1,malle_dips_pouches,106.32,Patty Primetimes,104.7,10,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=10,2,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2022_week_01_malle_dips_pouches_vs_Patty_Primetimes_rescue.csv
2022,2,Uncle Rico,95.5,malle_dips_pouches,168.52,10,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=2&mid1=10,0,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2022_week_02_Uncle_Rico_vs_malle_dips_pouches_rescue.csv
2022,3,Uncle Rico,114.08,Patty Primetimes,89.66,11,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=11,1,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2022_week_03_Uncle_Rico_vs_Patty_Primetimes_rescue.csv
2022,12,malle_dips_pouches,142.66,Patty Primetimes,72.0,10,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=12&mid1=10,1,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2022_week_12_malle_dips_pouches_vs_Patty_Primetimes_rescue.csv
2022,13,Uncle Rico,128.12,malle_dips_pouches,93.44,10,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=13&mid1=10,0,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2022_week_13_Uncle_Rico_vs_malle_dips_pouches_rescue.csv
2022,14,Uncle Rico,135.58,Patty Primetimes,95.9,11,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=14&mid1=11,4,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2022_week_14_Uncle_Rico_vs_Patty_Primetimes_rescue.csv
2023,1,Uncle Rico,52.38,malle_dips_pouches,80.64,10,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=1&mid1=10,2,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2023_week_01_Uncle_Rico_vs_malle_dips_pouches_rescue.csv
2023,3,Uncle Rico,116.06,Patty Primetimes,122.66,11,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=3&mid1=11,2,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2023_week_03_Uncle_Rico_vs_Patty_Primetimes_rescue.csv
2023,5,malle_dips_pouches,112.96,Patty Primetimes,110.92,10,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=5&mid1=10,1,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2023_week_05_malle_dips_pouches_vs_Patty_Primetimes_rescue.csv
2023,12,Uncle Rico,89.68,malle_dips_pouches,90.26,10,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=12&mid1=10,2,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2023_week_12_Uncle_Rico_vs_malle_dips_pouches_rescue.csv
2023,14,Uncle Rico,75.22,Patty Primetimes,85.8,11,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=14&mid1=11,3,/Users/user/Documents/FantasyFootballLeague/data/matchups/player_week_stats/historical_rescues/2023_week_14_Uncle_Rico_vs_Patty_Primetimes_rescue.csv
