year,week,player,player_position,match_player,nfl_name,nfl_team,nfl_position,gsis_id,yahoo_id,match_method
2017,1,A.J. Green,WR,a j green,A.J. Green,CIN,WR,00-0027942,24791,exact_week_normalized
2017,1,Aaron Rodgers,QB,aaron rodgers,Aaron Rodgers,GB,QB,00-0023459,7200,exact_week_normalized
2017,1,Adam Thielen,,adam thielen,Adam Thielen,MIN,WR,00-0030035,27277,exact_week_normalized
2017,1,Adam Vinatieri,K,adam vinatieri,Adam Vinatieri,IND,K,00-0016919,3727,exact_week_normalized
2017,1,Adrian Peterson,RB,adrian peterson,Adrian Peterson,NO,RB,00-0025394,8261,exact_week_normalized
2017,1,Allen Hurns,,allen hurns,Allen Hurns,JAX,WR,00-0030821,27874,exact_week_normalized
2017,1,Allen Robinson,WR,allen robinson,Allen Robinson,JAX,WR,00-0031428,27589,exact_week_normalized
2017,1,Alshon Jeffery,WR,alshon jeffery,Alshon Jeffery,PHI,WR,00-0029137,25755,exact_week_normalized
2017,1,Amari Cooper,WR,amari cooper,Amari Cooper,OAK,WR,00-0031544,28392,exact_week_normalized
2017,1,Ameer Abdullah,,ameer abdullah,Ameer Abdullah,DET,RB,00-0032104,28442,exact_week_normalized
2017,1,Andrew Luck,,andrew luck,Andrew Luck,IND,QB,00-0029668,25711,exact_week_normalized
2017,1,Andy Dalton,,andy dalton,Andy Dalton,CIN,QB,00-0027973,24822,exact_week_normalized
2017,1,Antonio Brown,WR,antonio brown,Antonio Brown,PIT,WR,00-0027793,24171,exact_week_normalized
2017,1,Antonio Gates,,antonio gates,Antonio Gates,LAC,TE,00-0021547,6663,exact_week_normalized
2017,1,Austin Hooper,TE,austin hooper,Austin Hooper,ATL,TE,00-0032392,29315,exact_week_normalized
2017,1,Ben Roethlisberger,QB,ben roethlisberger,Ben Roethlisberger,PIT,QB,00-0022924,6770,exact_week_normalized
2017,1,Bilal Powell,,bilal powell,Bilal Powell,NYJ,RB,00-0028064,24913,exact_week_normalized
2017,1,Brandin Cooks,WR,brandin cooks,Brandin Cooks,NE,WR,00-0031236,27548,exact_week_normalized
2017,1,Brandon Marshall,,brandon marshall,Brandon Marshall,NYG,WR,00-0024334,7868,exact_week_normalized
2017,1,C.J. Anderson,RB,c j anderson,C.J. Anderson,DEN,RB,00-0029854,26878,exact_week_normalized
2017,1,C.J. Fiedorowicz,,c j fiedorowicz,C.J. Fiedorowicz,HOU,TE,00-0031302,27593,exact_week_normalized
2017,1,C.J. Prosise,,c j prosise,C.J. Prosise,SEA,RB,00-0032393,29324,exact_week_normalized
2017,1,Cairo Santos,K,cairo santos,Cairo Santos,KC,K,00-0031203,28227,exact_week_normalized
